##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B,  1.5432457240677e+00, -3.4239777452358e+00,  1.4483762501037e+00,                    B, -2.0268291427817e+00, -2.5177423317098e-01, -1.3033777773290e+00,                    A, -2.1667134592982e+00,  6.7997343482960e-01,  5.9434322044591e-01,                    A,  1.7213928313066e+00,  2.0607734665950e+00, -7.4901445780184e-01,                    A,  1.2398913422176e+00, -2.9644097243105e+00, -1.4028590478498e+00,                    B,  1.6752475875198e+00, -2.1075852368592e+00, -2.3548846750692e-01
                    B,  6.6810930705499e-01,  1.9024919937422e+00,  1.3972970050164e+00,                    A,  2.7028061831537e+00, -1.0396364609239e-01,  1.8281576745592e-01,                    A,  2.7392668472230e+00,  3.8818205926249e-01, -5.3797169687307e-01,                    A,  1.1563062282623e+00,  4.7636779780288e-01, -1.0671730318380e+00,                    B,  5.4179089760881e-01, -1.6504608185384e+00,  1.4258786761818e+00,                    B, -2.6441622364847e-01,  6.5060802577436e-02,  2.0136300701054e+00
                    A,  7.2456737146096e-01, -2.7724759448994e+00, -2.2741573124418e-01,                    A,  4.8543871228228e-01, -4.8191086635454e-01,  2.8983569757394e-01,                    B, -3.2994275542502e-01,  1.9927403136378e+00,  1.1506553535449e+00,                    B,  4.6633645909410e-01, -5.1955648410546e-01, -1.3798740861543e+00,                    A,  1.3102449999470e+00,  9.6059655896560e-01, -2.3358328169365e+00,                    B,  2.6635646531649e+00, -5.3668461492871e-01, -1.9164626871636e-02
                    A, -2.2668645700087e+00,  3.2368044541399e+00,  9.6397153333914e-01,                    B, -1.4833766920107e+00,  1.8741137183880e+00,  9.0833556463818e-01,                    A, -1.6156946946953e+00,  1.2814434312241e+00, -9.2019788982735e-01,                    B, -6.6388452028380e-02, -6.5065191399964e-02, -1.3489371530545e+00,                    A,  4.7327624060541e-01,  4.7781067012318e-01,  2.2733726176232e+00,                    B, -4.5933388203210e-01,  2.7869665656737e-01, -1.7332704660164e+00
                    A, -1.3479846439209e+00, -1.9935918781891e+00,  2.1511625841000e+00,                    B, -1.2960461462227e+00,  3.5266405000388e+00, -3.5860577360337e+00,                    A, -1.0059140882098e-01,  1.1694892245956e+00, -1.2495217221649e+00,                    B, -5.8526839425553e-01, -6.3840960946669e-01,  7.0807948017304e-01,                    B, -2.0848009783062e-01,  2.5305532280141e+00, -7.0330609802464e-01,                    A, -1.5783685181818e+00, -1.1841784608934e+00,  1.2010467937810e+00
                    B,  7.4680251295247e-01, -1.5366617774495e+00,  3.2420659256393e-01,                    A, -3.5755355511891e-01, -1.4153999549907e+00, -3.5830319770462e-01,                    B,  1.7808885052940e+00,  1.8199131058919e+00, -1.2894480626786e+00,                    A, -4.9060045499705e-01,  2.5210930272229e+00,  1.0641142431602e+00,                    A,  3.4927356904508e-01,  1.1542623122382e+00, -1.3858949095047e+00,                    B, -3.1039284846603e-01,  8.8265772611280e-01,  8.9456094298280e-01
                    A,  1.4813819602585e+00, -1.4550720599170e+00,  2.5626313227749e+00,                    B,  5.0413127327685e-01, -9.4655255519467e-01,  2.0350800299537e+00,                    B, -1.8948979384011e+00,  1.9589536826297e+00, -2.9977168971188e+00,                    A,  1.5404092508309e+00, -1.4009113489409e-01,  9.6473488773171e-03,                    B, -1.3123765342903e-01,  2.9542419873239e-01, -2.1362687894634e+00,                    A, -8.5539094771939e-01, -2.0651127129831e+00,  1.2644211311286e+00
                    A,  1.9502047536722e-01, -2.7819079657538e-01,  5.1066187986799e-01,                    B,  1.0507313298340e+00,  9.3762535230615e-01, -1.2992816630049e+00,                    A,  9.7712319647897e-01, -4.7065894831513e-01,  5.0211015558640e-01,                    B,  2.0560242898701e+00, -4.7610238841273e-01,  1.3913907214181e+00,                    A,  6.3255966187826e-01, -1.4028931969864e+00, -1.2214406585229e-01,                    B,  1.1620096964615e+00,  1.3091914355089e+00,  3.9842764259282e-01
                    B, -2.0039712830537e+00,  2.7984582812950e+00,  1.3807353280550e+00,                    B, -5.7937700062029e-01, -8.5242082623139e-01, -1.2431434316686e-01,                    A,  8.3604573369870e-01,  5.0811370887076e-01,  2.9490655267841e+00,                    B, -7.4880629381540e-01, -4.8312620926642e-01, -1.2614546173473e+00,                    A,  2.0711674178160e+00,  8.1396975198702e-01,  1.7415143766324e+00,                    A, -1.9351127481243e+00, -3.4831868965935e+00,  2.2649784101558e+00
                    B, -1.1435345252169e+00, -1.3431612333556e+00, -2.3960030379823e+00,                    A,  1.8081876670200e+00,  2.4532039343665e+00,  1.3533589573274e+00,                    B, -7.2422568336987e-01,  1.0534445241668e+00, -1.1398568793084e+00,                    A,  3.3551771644889e-01,  2.2713028714135e+00, -1.5960858024132e+00,                    B,  2.3028268349804e+00,  5.1326920638977e-01, -1.8543539824174e+00,                    A,  2.4243111122765e-01, -6.3644000994027e-02, -2.0157429384133e-01
