#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 3.119416662351e+00, 4.833441660545e+00, 4.282423097935e+00,                  B,-5.483429733664e-01, 1.812462331871e+00, 7.614275556245e-01
                  B, 2.970018116498e+00, 9.641739345760e-01,-3.082940127747e-01,                  A, 1.706661820475e+00,-2.083282551403e+00, 2.068577596326e+00
                  A, 1.859879075794e-01, 1.774171797659e+00, 1.351980135951e-01,                  B,-4.915868199792e-01, 8.996906200621e-01, 2.684547767162e+00
                  A,-1.719921520312e+00,-3.679360086652e-01, 3.808696642287e+00,                  B,-1.665753982377e+00, 3.399506162392e+00,-7.655070971785e-01
                  B, 3.291284147512e-01,-3.042479731828e-01,-1.706335396455e+00,                  A,-3.805058051719e+00, 1.066625082886e+00,-2.584959094706e+00
