##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -2.1423111033748e+00, -1.9798739773270e+00,  1.2478976201331e+00,                    B, -9.5595235242918e-01,  1.7632359381501e+00,  1.5095446322014e+00,                    B,  3.3416044487877e+00,  2.3401303756213e-02, -1.8569880389769e-01,                    A, -1.5578113366754e+00, -1.8238378879929e+00, -1.3802067721153e+00,                    A,  3.4117555228659e+00, -1.9468100400669e+00,  1.7738877015526e+00,                    B,  2.4681207667405e-01, -1.8149411324153e-02,  1.9405414069888e+00,                    B, -1.7309347143347e+00, -9.4097570710243e-01,  1.9125527834712e+00,                    A, -7.2365888878333e-01,  1.4386655668068e+00,  2.8228178955878e-01
                    B, -2.3686200747201e+00,  2.4542411997313e+00,  6.0258783445468e-01,                    B,  1.3482199268022e+00, -1.2280866442920e-01, -8.2203379202744e-01,                    A, -2.0030406660968e+00,  1.2705991996235e+00,  8.9439117588045e-01,                    B, -2.3477408457199e-01, -2.0053495331093e+00, -2.8955310613319e+00,                    A, -4.9441971757361e-01, -5.9675068765064e-02,  1.0181864513139e+00,                    A,  2.0280287268107e+00,  1.8975109199865e+00,  3.5240225565099e-01,                    A,  1.7028312435318e+00,  5.9310096419531e-02,  1.3312828970685e+00,                    B, -2.7171756935333e+00, -9.9721208958245e-02,  2.6513557604119e+00
                    A,  2.4638824598539e-01, -9.2824115271496e-01, -6.4148192657977e-01,                    A,  3.3138198730878e-01, -1.5633497785405e+00, -1.5445771091578e+00,                    B, -6.5162445521505e-01,  6.6166629366616e-01,  1.8842229663210e+00,                    A,  2.2821337902907e+00,  2.2518801039981e+00,  8.3162619102389e-01,                    B,  6.0013267355415e-01,  1.2629380414401e+00, -4.2312997966249e+00,                    B, -2.1075182942488e+00, -2.7436263372393e+00,  7.6821845986250e-01,                    B, -2.4154961532937e+00,  1.0222273379244e+00, -8.7255748327884e-01,                    A,  5.3991917360495e-01,  1.3033569266530e+00,  7.7787150937814e-01
                    B,  3.0879742999957e+00, -6.5785511969884e-01,  2.8104710269293e+00,                    A, -4.8658308043282e-01,  3.1268109927240e-01,  1.7781817100909e+00,                    A,  5.3570628379694e-02, -1.7786194253329e+00, -8.2976174561366e-01,                    B, -1.3514602920236e+00, -2.1700424209430e+00,  1.0524022107515e+00,                    A, -1.7577810452873e+00,  1.2057133540897e+00,  9.6662147430487e-02,                    B,  6.7744434765890e-01,  2.7475791765873e+00,  1.8091178592645e-01,                    B, -7.6607279642214e-01,  1.3983248925536e+00, -8.1899632754656e-01,                    A,  3.3733735490029e-01, -4.5414802806916e-01, -1.0198241795448e+00
                    B,  1.5811482737853e+00,  1.5937057886578e+00,  1.5108709354529e-01,                    A,  1.1192459320612e+00, -5.0691501882141e-01,  2.1642387123739e+00,                    B, -1.7135092215015e+00, -1.9122733838501e+00,  1.3055114272838e+00,                    B, -7.4548001436288e-01,  1.0965032593592e+00, -2.1390953737982e+00,                    A, -1.0634066705367e+00,  3.9055419220272e+00, -2.0090894041825e+00,                    B, -2.6215534390962e-02,  2.9049735722006e-01, -1.2222862490804e+00,                    A,  1.2284228030614e-01, -1.4404260479683e+00, -3.6577282334495e-01,                    A, -1.2756489055514e-01,  6.7844256159086e-01,  3.1181061568650e-01
                    A,  2.6803605210811e+00, -6.7008406615959e-01,  5.5056544733816e-01,                    B,  2.8556727971735e+00,  1.3142437260727e-01, -1.0065258246868e-01,                    A,  8.6571115717837e-01,  6.6370864446834e-01,  1.4230716691094e+00,                    B, -1.6934379546743e+00,  8.4036437682864e-01,  1.6309012771245e+00,                    B,  1.6835251142940e+00, -1.5844687896468e+00,  1.4101863192323e+00,                    B, -3.8051299589195e-01, -1.4301747496023e+00, -1.3951079537191e+00,                    A, -2.1186617033735e+00,  2.7379009936074e-02,  3.0915980222134e+00,                    A,  6.6672486832833e-01,  5.7158092437574e-01, -2.6499890149086e-01
                    A, -2.5905428637949e-01, -2.2436793560487e+00, -6.6794838540902e-01,                    A, -8.4008283333428e-01, -1.3653751026212e+00, -2.5572755801103e+00,                    A, -7.0866576775755e-01,  1.6008006825133e+00,  4.2120678160679e+00,                    B, -5.7769383767001e-02, -1.2413265295534e+00,  1.8654176762597e-01,                    A,  1.6085119143985e+00,  7.9694286483226e-01, -7.7640826768563e-01,                    B,  9.3139108061841e-01,  8.7707097213494e-02,  4.3192286716407e+00,                    B,  1.5364546068481e+00,  4.1135701177279e-01,  2.5607931530093e+00,                    B,  1.3982848968756e+00, -3.0574363794374e-01,  1.9060998721389e-01
                    A,  2.0239010096358e+00, -1.3146910608572e+00, -6.5572985092795e-01,                    B,  4.3911099048686e-01,  2.0867427542391e-01,  2.1462778050810e+00,                    B,  3.3267126073856e-01,  1.0279553734153e+00, -1.0526053001555e+00,                    A, -1.6763108246884e+00, -9.7970496837358e-01, -8.1345970986633e-01,                    B,  6.6851794916523e-01, -3.3407117318661e+00,  1.4638715675523e+00,                    A, -2.7283390413552e+00, -2.4643777873470e-01, -1.7017745614790e+00,                    A, -4.6892775174186e-01, -4.0730358324092e-01,  2.6091150758326e+00,                    B,  1.5398531298482e+00, -5.9204452483584e-01,  8.1030795279164e-01
                    B,  9.6877653724970e-01,  2.5056030570898e+00,  5.8898669593912e-01,                    B, -1.8989310848712e+00,  2.4679527430119e+00, -3.8277995570352e-01,                    B,  1.0711289015626e+00, -6.3803990634366e-01,  2.0008183362864e+00,                    B, -1.6703949668268e+00, -6.1663836038908e-01,  2.4062298662803e+00,                    A, -3.3812551317178e-01,  1.7806836641840e+00, -3.1409683339622e-01,                    A,  1.5766040091113e+00,  3.3335679459509e-02,  3.4949753117574e+00,                    A, -2.3504415877466e+00, -2.1871369677864e+00, -6.2851384173406e-02,                    A,  2.9569714763169e+00, -5.0072851238690e-01,  1.9075181980378e+00
                    B, -5.4326362722513e-01,  4.0296056394336e-01, -1.3418335423097e+00,                    A,  7.5644441716965e-01, -1.0400901336980e+00,  3.3332274299320e-01,                    B, -1.9421273376462e+00,  9.4894916808449e-01,  1.3155545275888e-01,                    B, -1.1655294156614e+00,  2.2213682171088e-02, -4.3628491809140e+00,                    B,  4.7198145751190e-01,  1.5159624117957e+00,  2.3336720629203e+00,                    A, -5.5043237186512e-01,  9.0968832715700e-01,  3.3769201114456e-01,                    A,  1.6253194693760e+00, -4.5907854583815e+00, -3.2032847146730e+00,                    A, -1.5784390216062e+00,  3.5441894947579e+00,  8.1348697156096e-01
