##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -9.1668010617968e-01, -1.1619542333726e-01, -1.7692006464234e-01,                    B,  2.1269829151731e+00, -4.4214503912910e-01,  1.8472481949605e-01,                    A,  4.7142107678651e-02,  2.5546340238920e+00,  1.9077101621844e-01,                    A, -1.3683039762358e+00,  1.8493430457596e+00,  2.1934728216594e-01,                    A,  1.2787852058353e+00,  8.8175752449805e-01, -3.9711304465306e-01,                    B, -8.8514088810566e-01, -1.0079343726159e+00, -1.3075917178935e+00
                    B,  2.7878890486939e-01, -6.4227701120065e-02, -1.0838149263671e+00,                    B,  4.8251292255386e-01, -1.3456401121927e+00,  8.0500592107951e-01,                    A, -1.2383272675396e+00, -5.0924333005311e-01, -1.7006308056694e+00,                    A,  1.1132232521003e+00,  1.7691813917478e-01,  5.8215695663732e-01,                    A,  3.7404360112041e-01,  2.4937114502032e+00,  1.1231939303682e+00,                    B,  4.2745180179604e-01,  1.9265254694570e-01, -2.1627011253413e+00
                    A, -1.5074615471699e+00, -7.8767541048751e-01, -1.9500920016259e-01,                    A,  2.0552059445144e+00,  2.7444001609873e-01,  4.9645353824113e-01,                    A,  5.2203907359604e-01, -1.9333963216508e+00,  1.8262305267048e-01,                    B,  1.7283159256741e+00, -1.0769962563328e+00,  1.8654607287684e+00,                    B, -2.1829981265914e-01,  1.3358607864787e+00, -2.6033290299910e+00,                    B, -2.2846773983116e-01,  1.8725060728932e+00,  8.2055269206028e-01
                    B,  1.2718262888668e+00, -7.3961556306365e-01, -9.0146877482710e-02,                    A, -2.4210763430175e+00,  1.5808942998047e+00, -9.3481048001458e-01,                    B,  7.1102733336568e-01,  9.6114235209089e-02,  1.5072620967594e+00,                    A,  1.0471956176645e+00,  2.0813991808705e+00, -7.7892703522310e-01,                    B, -1.2628451834261e+00,  8.2313765254861e-01,  6.3787000637036e-01,                    A, -1.1771540506583e+00,  1.3626259293004e-01, -1.4572122284147e+00
                    B,  8.7831063408726e-01,  1.3846235328650e+00,  2.6504950839443e+00,                    B, -6.2700421278615e-01,  2.1959397443583e+00, -4.8903357386478e-01,                    B, -1.5076018732037e+00,  1.3269862796908e+00,  1.2716150466424e-03,                    A,  2.4698843460614e+00,  3.3302194476814e-01,  2.4086544813571e-01,                    A,  3.4879683811365e-01, -3.5013082253221e-01, -1.1132269982469e+00,                    A, -7.1638750940694e-01, -1.3508361113559e+00, -1.5549907946389e+00
                    B,  1.8136898908256e+00,  6.9613662326282e-01,  1.6495508300072e+00,                    A, -6.2071970734970e-01, -1.5481101540274e+00,  2.6357830320747e-01,                    A,  1.6079241427693e+00, -1.3953247507780e+00, -8.0639224609391e-01,                    B,  2.0529051051958e-01, -1.4192619960698e-01, -1.2978387794458e+00,                    B,  8.2836701525480e-01,  2.0636934658292e+00,  8.3629829789629e-01,                    A, -2.2165598520340e+00, -9.6691891148178e-01, -2.6166992220122e-01
                    B, -2.0546691608807e+00,  1.3892684037853e+00,  6.5569547364600e-01,                    B,  1.7404612140398e+00,  1.5922294240908e+00,  7.0132560412083e-01,                    B,  2.4977656547136e-01,  1.9147282284843e+00,  2.1091191244746e-01,                    A, -1.2586572501071e+00,  1.4978862859808e-01,  3.9010184302554e-01,                    A,  2.7070553297238e-01, -2.0214293054931e-01,  1.4936713216435e+00,                    A,  1.8045465666553e+00, -1.0414817029461e+00,  1.7956207255838e-02
                    A, -1.9074488660311e+00, -1.3812127327942e+00, -6.6556952670593e-01,                    A, -7.3758720745670e-01, -2.2474229323063e-01,  3.0762629399658e-01,                    B,  1.1542373919262e+00,  3.6643832481098e-01,  1.6352841328928e-01,                    B,  1.2817846677869e+00, -4.4986229865626e-01, -7.8219865923379e-01,                    A,  2.1836711624927e+00, -1.1136560758544e+00,  7.1828246582512e-02,                    B,  7.4395474159337e-02,  2.4984179361564e+00, -1.1352848704291e+00
                    B, -1.3308174179451e+00, -7.1259331470751e-01, -1.3416186263616e+00,                    B,  1.6346405245489e+00,  5.0632995358217e-01, -1.5287193155839e+00,                    A, -9.2652563793205e-01, -1.3852398666223e+00,  1.6687378746906e+00,                    A,  1.1545331742884e+00, -3.6843630408123e-01,  9.8391366375007e-01,                    A, -2.6288256228562e-01, -8.0193841960544e-02, -3.4010713778072e-01,                    B,  6.4764714524982e-01,  1.6081429628331e+00,  5.0444688017545e-01
                    B,  1.4564457489861e+00,  2.8341745636469e-01,  1.7882873342138e+00,                    A, -1.7490871982094e+00, -2.9387500128666e-01, -6.5665294474955e-01,                    A,  1.2288302210288e+00, -1.2836481885062e+00,  1.0130347002714e+00,                    A, -3.1629604633183e-01,  4.8902276404168e-01,  5.5644024292361e-01,                    B,  1.0564996101123e+00,  1.2430984146231e+00,  1.1323370223869e+00,                    B,  1.1742064630025e+00,  1.0418167560100e+00, -8.4747619931966e-01
