##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -5.3339667718085e-01, -7.8343797897300e-01,  9.4370938020964e-01,                    B,  3.4126303123411e-01,  2.7877563968377e+00, -9.9249484203722e-01,                    A, -1.2465945308641e+00, -3.2393130331717e+00,  2.7457402965297e+00,                    B,  1.1073513084550e+00, -3.1329415839466e-01,  1.2360793589823e+00,                    A,  7.0435241892025e-01, -2.3895107598332e+00,  9.5328674773803e-02,                    B, -1.2269845400769e+00,  8.8917664881336e-01,  4.1765771851264e+00,                    B,  1.3854865281622e+00,  2.1080772556057e-01, -8.4760655610398e-01,                    A,  4.0665873552904e-01, -2.3235608247982e+00, -1.5451937232468e+00
                    B,  3.0461451778400e+00, -2.1651146019166e-01,  2.0293837185464e+00,                    A,  2.6150552730992e-01, -1.3587953148377e-01,  1.3024966339887e+00,                    A,  7.5143242833070e-01,  2.0958956258062e-01, -7.2053589592217e-02,                    B,  1.2407878966854e+00,  2.4263230072431e+00, -5.0660501385721e-01,                    B, -1.4656814151559e+00,  2.8948361467375e-02,  4.8473046071892e-01,                    A, -4.7393770635928e-01,  3.2469539822314e-01, -1.0201974157442e+00,                    A,  4.7213007372455e-01, -1.8776211593254e+00,  1.6330292787857e+00,                    B, -3.6514258482554e-01,  9.5878922202017e-01, -1.9855968671516e+00
                    A,  2.0135452414938e+00,  5.6007504437692e-01, -9.8353710808888e-01,                    B, -5.8400290338763e-01,  1.0142530293162e+00, -8.6731666875276e-01,                    B,  2.3515291160882e+00, -1.1276821771970e+00,  3.5510926512297e-01,                    B,  6.0413512787274e-01, -5.9044938292884e-01,  1.0037665033173e+00,                    B,  2.4545462705734e+00, -1.6007492920559e+00, -2.2339766285278e+00,                    A,  1.1917064519214e-01,  1.5689519366120e+00, -1.1913254380536e-01,                    A, -1.3727871006340e+00, -6.5569301524339e-01, -5.1153671821099e-01,                    A, -9.2693676394796e-01, -2.0451106053833e+00,  1.2996915992120e+00
                    A, -1.4841452845504e+00,  1.8014571526823e+00,  2.1668311032323e+00,                    B, -3.5228881314817e-01,  9.2824995765553e-02, -5.5895508198235e-01,                    A, -1.1263028422470e+00, -8.7082650974854e-01,  9.0083117616686e-01,                    B, -1.3243869260136e-01,  3.3323542565731e+00, -5.6593203336428e-01,                    B,  7.7038052178666e-01,  1.0608404650718e+00, -1.1901866503138e-01,                    A, -9.0660415259402e-01, -2.7559603120951e+00,  5.6873489919207e-02,                    B,  2.2277715149523e+00,  1.2087906929238e+00,  5.6138349811953e-01,                    A,  2.9034315184304e+00, -7.6547078963970e-01, -8.5607229982583e-01
                    A,  1.2480833052574e+00,  2.1025550883346e+00,  1.3835247380247e+00,                    B, -3.2137474183593e+00,  2.7634838406436e-02,  4.7945318438567e-01,                    B,  3.9603862960188e-01, -4.7541754703872e-01,  1.1395396064804e+00,                    A, -4.3497899070173e-01,  1.6826458851751e+00, -1.3686792327305e+00,                    A,  3.1387075349347e+00, -2.8032668365945e+00,  1.1974393927981e+00,                    B, -4.2393916884174e-01,  2.5102618117285e+00,  2.4274071841866e+00,                    A, -2.1348074390754e+00,  3.8220947709815e-01, -1.5894900472993e+00,                    B, -8.1565590090295e-01, -9.3109509324200e-01,  2.0762466265791e-01
                    B, -2.7476834626159e+00, -9.9115195551400e-01, -1.0852601602277e+00,                    A, -2.0341943268965e-01, -4.1804242251839e-01,  6.8707013736571e-01,                    A,  1.1500422849182e+00, -1.4416979507326e+00, -3.8876325829098e-01,                    A,  2.3513862585743e+00,  3.1607214645311e-01,  3.0240489711710e-01,                    B,  6.2499897520202e-01,  1.4840965106394e+00, -4.8762678719743e-01,                    A, -6.7763218007668e-01,  7.3403557577166e-01,  8.6738445899464e-01,                    B, -4.7990536351516e-01, -7.6540717076921e-02, -2.0445151950689e+00,                    B, -1.1198738014482e+00, -1.2083149607757e+00, -5.3003710670688e-01
                    B, -2.0509453153758e+00, -1.9652972199446e-01,  1.0408384277643e+00,                    A, -1.5528235931001e+00,  2.4953477653386e+00, -2.3400591893862e-01,                    B,  5.3213081901201e-01, -2.2511455980748e+00,  8.5333291380445e-01,                    A,  1.9111041323688e+00, -2.9889901238793e-01,  1.4232650105228e+00,                    B,  2.8098450574981e+00,  1.5476754736418e+00, -1.6332231169282e+00,                    A,  1.8728303655517e+00,  8.4615949491033e-01, -1.3454376434068e+00,                    A,  1.0129792669003e-01, -2.2249899954641e-01,  1.6822867988490e+00,                    B, -4.5830630325443e-01,  2.8576888010077e+00, -1.2567135524497e+00
                    B,  2.4126884230188e+00,  3.8669638991346e-01, -7.7671521835076e-01,                    A,  6.0909971371092e-02, -2.0602393638264e+00,  1.4411540492237e+00,                    B, -2.7703911770302e+00, -5.1327697591637e-03, -1.2155438184911e+00,                    B,  7.4347498613815e-02,  6.2828324691453e-01,  6.3345111662584e-01,                    A, -1.0191884960931e+00, -2.3543174529664e+00, -1.3843376607820e+00,                    A, -9.1909185140652e-01, -7.8605638408796e-01, -1.5022590744662e-01,                    B,  2.3299850798751e+00,  7.2692093216179e-01,  1.5541908663034e+00,                    A,  1.5626348371399e+00, -4.1153753563476e-01, -1.3627731063439e+00
                    A, -2.7026509465059e+00, -5.7174014573098e-01,  2.3526751073103e+00,                    B, -1.1081458479975e-03, -3.4021693817571e-02, -3.1179622769280e-01,                    B,  1.6678917770790e+00,  1.6054787201528e+00,  6.0621518780546e-01,                    A,  4.7630557051685e-01,  7.5440365170291e-01, -2.3878886061270e+00,                    B,  2.5565196126229e+00, -9.0757107392152e-02, -7.5205264829171e-01,                    A,  7.8010911958991e-01,  1.4081111509554e+00,  4.0625405817931e+00,                    A,  1.7008711566609e+00,  1.5009592263295e+00,  1.8207698063597e+00,                    B, -2.4203404850988e-01, -2.2679309218911e+00, -8.4385336168284e-01
                    A,  9.8818806506198e-01, -1.5032121716706e+00, -2.8085285397047e-01,                    B,  2.0956354288389e+00, -3.1805889594600e+00, -1.1150884266522e-01,                    B, -1.5524809503664e+00,  7.1849689809010e-01, -8.2356580752616e-02,                    A, -9.1106985291248e-01, -6.5255296280001e-01,  1.2350132355394e+00,                    B, -2.1029834402686e+00,  2.1086830898511e+00,  1.4209194669221e+00,                    B, -6.5441517677156e-01, -3.1703740875251e-01, -1.1612966954839e+00,                    A, -3.0230594507623e+00, -4.2958979175670e-01,  8.3458029665287e-01,                    A,  1.4057457581917e+00,  2.1981887953741e+00, -1.2718364311671e+00
