##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B,  2.5802527861897e-01,  9.0974504902535e-01,  1.0745435448798e+00,                    A,  1.3462338046134e+00, -2.8079384775213e+00, -1.6544120376767e+00,                    A, -2.1952889004540e-01, -2.8578683923559e-01, -2.7933794349798e+00,                    B,  3.7657456863230e-01, -1.8878956078171e+00, -2.9912273044811e+00
                    A, -3.1005335401290e+00,  5.7340070931566e-01,  5.2505557443906e-02,                    B,  5.9962027804689e-01, -1.9267442798413e-01, -1.4322808925298e+00,                    B,  4.3575428597158e-01,  1.1433636019723e+00, -2.0143066965899e+00,                    A, -1.9182402943567e+00, -2.2334304947030e+00,  6.7643154319541e-01
                    B, -2.2174457254278e+00, -3.4591652576531e+00,  2.0392982269596e+00,                    A, -2.1847423927294e-01,  3.6396866364581e-02, -4.3771555826209e-01,                    A,  6.9882579450265e-01, -6.9158144052676e-01, -1.4490528878971e+00,                    B,  2.1913177990432e-01,  1.3718119620549e+00, -8.3339068773809e-01
                    B, -7.0510674938507e-01, -1.2337211981570e+00, -7.6070040577521e-01,                    B,  2.3172883878922e+00, -5.8732571040281e-02,  7.8993991166307e-01,                    A, -1.0571715095047e+00, -1.1782427737870e+00,  1.1665980973115e+00,                    A, -1.0037694545138e+00, -3.1632571620822e+00,  7.5551539212159e-02
                    A,  8.2425057423173e-01, -5.7114438183916e-01,  6.2921579644536e-01,                    B, -4.6128577904140e-01,  2.4296373864846e+00,  1.2757115346504e+00,                    A, -1.3040941520268e+00,  1.1383161320752e-01,  5.1804414525532e-01,                    B, -1.2454515502900e+00,  8.5169123768273e-01, -1.6467425412676e+00
                    A, -1.4593992536851e+00, -7.1871597057447e-01, -1.2946472928600e+00,                    B, -2.1231584144932e+00, -1.4098336434058e+00,  7.1014773671550e-01,                    B, -7.3108825456948e-01,  4.2210723299056e-01,  8.4768967777187e-01,                    A,  8.8732318839469e-01,  1.8717961823698e+00, -5.6862635019280e-02
                    B,  3.2465717342697e+00, -1.8623553014372e+00, -6.3679261393202e-01,                    A,  1.5615550334278e+00, -2.2595832918195e+00, -1.2364951354441e+00,                    B, -4.7336817942584e-01,  1.0324183865573e+00, -2.6532259052827e+00,                    A,  2.2587387266828e-01, -9.0630123271852e-01, -3.0499195270241e+00
                    A, -1.0689470153613e+00,  1.6199426684597e+00, -1.3901239065421e+00,                    B,  9.0176035101494e-02, -3.3323208059394e+00,  2.7548529687140e+00,                    A,  2.1625747785984e+00, -7.8025475313653e-01, -4.9027488342665e-01,                    B, -9.1351149659503e-01,  1.1985540383140e-01, -3.1922541038234e+00
                    B, -1.1248319062225e+00,  1.5447063551009e+00,  1.0891415562069e+00,                    B,  1.1566931906204e+00,  1.8393948754893e+00, -3.3987920003079e-02,                    A, -1.1332212825232e+00,  1.0845107046054e+00, -1.4790454807758e+00,                    A, -9.2243502134370e-01,  7.2930006333553e-01,  3.5540290168908e+00
                    A, -6.1329360724668e-01,  1.7776426200724e+00, -6.5493991714765e-02,                    B,  7.9895980188511e-01, -1.8785425631285e+00,  3.5923601832492e-02,                    A, -1.6885024844234e+00, -4.6572250523370e-01,  9.1681941348281e-02,                    B,  1.6276822323187e+00,  1.1697034407568e+00,  1.2899980022861e+00
