#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 2.129057656257e+00,-4.622598845886e-02, 1.940102960084e+00,                  A,-2.789113783326e+00,-8.653448094515e-01, 1.412284775110e+00,                  A, 3.625823127045e-01,-1.839076056864e+00,-6.093272137382e-02,                  B,-2.192835965871e-01, 3.925585202292e-01,-3.961831646992e-01,                  B,-2.149729677563e-01,-1.395996212468e-01, 1.118319612794e+00,                  A, 1.481706938236e+00, 6.615995535896e-01, 1.621773500896e-01,                  A, 3.382135934395e-01, 1.508334367823e+00, 4.108461553524e-01,                  B,-1.954056046120e-01, 2.175407757352e+00,-1.174909512985e+00
                  B, 1.112717199591e+00,-6.249267433084e-01, 2.148346812375e+00,                  A,-9.267926652464e-02, 2.116786299052e+00,-1.389411216028e-02,                  B, 5.356361481788e-01, 1.325093878132e-01,-1.197618065315e+00,                  B,-7.053125503507e-01,-4.418917196021e-01,-5.977686854091e-01,                  A,-5.287026380565e-01, 1.853051827442e+00,-2.163534688158e+00,                  A, 8.946061560301e-01,-1.531178894194e+00,-1.131274303805e+00,                  B, 1.574247777068e+00, 1.766827861010e-01,-2.238107081718e-01,                  A, 2.266416615795e-01, 2.488384106154e-01, 2.714804055506e+00
                  B, 1.203977231160e+00, 1.003015876064e+00, 2.352780845010e+00,                  B,-3.855715059980e-01,-7.519637541341e-01, 1.092227196168e+00,                  B,-9.452442231118e-01, 9.735405669697e-01, 1.811518394222e-01,                  B, 5.266955165578e-01,-1.780708977544e+00,-2.006778820194e-01,                  A,-1.922051062809e+00,-8.122249680477e-01,-9.797386751404e-01,                  A,-1.683092644369e-01, 1.949133536066e+00, 2.422498864079e+00,                  A,-7.306177329273e-01,-1.245962559600e+00,-1.740544396041e+00,                  A,-1.199955559291e+00, 1.178532708276e+00,-1.623104135216e+00
                  A, 2.888683167798e-01, 6.397136207789e-01,-2.130018313797e-01,                  A, 9.053625028324e-01, 1.129551072414e+00,-1.625075295061e+00,                  A,-1.246143478513e+00,-1.327492056183e+00,-3.921665752829e-01,                  A, 1.367805633016e+00, 4.365554473816e-01, 2.008376376944e+00,                  B,-5.790010497475e-01, 1.416782009808e+00,-8.120517637081e-01,                  B,-3.420565490099e-01, 1.669012664644e+00, 6.286512382903e-01,                  B, 1.005498638083e+00,-5.507500669982e-01, 2.335907468757e-01,                  B,-1.117853893270e-01,-2.886629523331e-01,-6.061363303022e-01
                  B, 1.010891827342e+00, 1.478704424997e+00, 8.277106344015e-01,                  B, 1.055802371216e-01, 8.381959636302e-02, 2.004125812861e+00,                  A,-1.381632022322e+00, 1.869845850646e-01,-1.571897201366e-01,                  A, 1.967533908132e+00,-1.817120587947e+00, 2.627787610346e-01,                  B,-1.080474156033e+00,-1.394901709074e-01,-1.616485705559e+00,                  A,-3.598684224637e+00, 7.484527484326e-01,-1.160734389107e+00,                  B,-2.175660671818e+00,-5.868727653677e-01,-9.499246136217e-01,                  A, 7.028748645615e-02, 1.717494634185e+00,-2.055829344786e+00
