#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 3.469580533619e-01, 1.140527671416e+00,-3.747083281340e+00,                  B,-3.972636294513e+00, 3.016643331972e+00, 1.201528674309e-01,                  B,-1.047574109876e+00,-1.661005265187e+00, 4.766204289391e-02,                  A,-4.539681013438e-01,-2.097461172744e+00, 5.438771798448e+00,                  A, 5.221038730648e+00,-1.505257290998e-01, 1.568863129291e+00,                  A,-2.918854882582e+00, 1.652707070773e+00,-2.530623159118e+00,                  B,-4.349109462891e+00,-1.023262351748e+01, 1.044515298526e+00,                  B, 4.241683087742e+00, 1.030488713208e+00,-1.222981594837e+00
                  A,-2.108131352692e+00, 1.082230355563e+00, 9.331187096363e-01,                  B, 3.508635520381e+00, 6.366077161740e+00, 5.885516223573e-01,                  A, 2.352451656126e+00, 3.786786792950e+00, 2.286208936904e+00,                  A,-3.115232141322e+00,-4.402941314007e-01, 1.886522255003e+00,                  A,-4.892792756836e+00,-3.193364114916e-01,-1.595316150048e+00,                  B,-3.519064424612e+00,-2.424599218004e+00, 5.847080300199e-01,                  B, 1.259305696048e-01, 4.354283062938e+00, 3.430694406021e+00,                  B,-3.539240904252e+00, 5.342020145338e+00,-4.341740301504e+00
                  B, 1.058577603511e+00,-3.414030355130e+00,-2.101975655670e+00,                  A, 6.495771718272e-01,-1.284878411502e+00, 6.418236214775e-01,                  B, 2.202881434389e+00,-9.993891771228e-01,-6.607259395356e-01,                  A, 4.213062732306e+00, 1.137803569726e+00,-2.340383936824e+00,                  B, 2.910199669892e+00, 3.138682009189e+00,-7.757304833792e-01,                  B, 2.841162227371e+00, 1.929905115399e-01, 4.144043975366e+00,                  A,-8.148600179460e-01, 2.328053499720e+00, 1.294763470591e+00,                  A,-9.209766981446e-01,-2.045436707546e+00, 2.979249632774e+00
                  A,-1.668003311678e+00, 2.819117784222e-01, 8.512507675386e-01,                  A, 3.564234992538e+00, 2.043179575903e+00, 8.981992358209e-01,                  B, 5.874566798268e+00,-5.367664814230e+00, 2.889433988874e+00,                  B,-5.020522086059e+00,-1.195428994378e+00,-8.665979805182e-01,                  A,-2.528543503158e+00,-4.892641938902e+00,-5.803366053028e-01,                  A, 2.289769483190e+00, 4.974632392764e-01,-4.996022583815e-01,                  B,-5.608997961509e-01, 6.626992468520e+00,-8.518357301123e-01,                  B, 8.007285835015e-01, 4.160625930252e+00, 1.852577518920e+00
                  B,-3.303907474254e+00,-4.132867771976e+00,-5.211661693371e+00,                  B, 4.844059468469e-01, 2.524726272355e+00, 1.268121186036e+00,                  A,-1.560348822597e+00,-3.684420914363e+00,-5.815993057865e-01,                  A, 7.422828204804e-01,-4.108481939333e+00, 1.458426546644e+00,                  A,-1.982847020468e+00,-1.119013844361e-01, 1.450683794278e+00,                  B,-2.450197843905e+00,-1.078690611058e+00,-3.684406490612e+00,                  B,-3.318628338323e+00,-3.226495922323e+00,-1.034170702845e+00,                  A, 3.669819837114e+00, 4.031026248909e+00, 1.291486508886e+00
