##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.9948181457097e+00, -5.2137322934507e-02, -3.7078785260785e-01,                    B,  5.0415440781919e-01, -5.2029827637747e+00, -2.1274772172805e+00,                    B, -6.5521904261849e-01,  9.8566808918368e-01,  1.5727482187484e+00,                    B,  2.1192314628220e+00,  1.0518533998345e+00, -2.7444005409133e+00,                    A, -1.9809402743469e+00,  2.0335212180797e+00, -1.2478949616335e+00,                    A, -1.9460688226719e+00, -2.9759218378214e-01, -1.7846014437266e+00,                    A,  2.7211118655961e-01,  5.9973112936885e-01, -3.4887518237179e+00,                    B,  1.0273859067701e-02,  1.3455266731231e+00, -3.1251085083146e-01
                    B, -1.3801901707168e+00, -2.9829203356485e+00,  5.7817574198207e-01,                    B, -1.8181421134875e-01,  1.0098944462275e+00, -2.7713954506708e+00,                    A, -1.6630425980527e+00, -1.1997846080624e-01, -1.3779314491411e-01,                    B,  9.6214097600681e-01,  1.3503111418838e+00, -3.0921159005058e-01,                    B, -1.8151433598314e+00, -5.7874014836708e-01,  6.8360767284079e-01,                    A, -6.9372025743670e-01, -2.7254016285097e+00, -7.7259249915283e-01,                    A,  5.5178172447035e-01, -1.3953256141726e-01,  1.9501161217835e-01,                    A,  1.8406438145219e+00, -7.4637435082977e-01,  1.1346492223181e+00
                    A, -8.1783252736261e-01,  1.9827776557898e+00, -6.2157450023127e-01,                    B, -5.4443813177414e-01,  4.9274983220485e-01,  2.3349167674219e+00,                    B, -1.7754352658407e+00, -9.4627869536347e-01,  2.5123546063525e-01,                    B,  2.8893123838508e+00, -2.1674371018933e-01,  7.2188139116756e-02,                    B,  8.1020386772491e-01, -2.6598798149573e+00, -1.0513824312492e+00,                    A,  7.3974443391942e-02, -6.4996893947484e-01, -1.0067485047773e+00,                    A,  1.8055877959040e+00, -2.4789688522892e-01, -2.7905309098722e+00,                    A, -9.7697276183653e-03,  1.7982629367539e+00,  1.1406757015171e+00
                    B,  1.4413119159062e+00,  1.1486402534247e+00, -2.2780310255125e+00,                    A,  8.9199019026854e-02, -5.4147653199835e-01, -1.1449774671770e+00,                    B, -6.7969577135911e-01,  5.5449188015700e-01, -7.0833365554176e-01,                    B, -5.4375908333647e-01, -2.3182569629119e+00,  9.5131285936374e-01,                    A,  6.4262228215517e-01, -1.4896095684817e+00, -4.0862414530641e+00,                    A,  9.7541037358992e-01,  3.5671092116349e+00, -2.2402004812190e-01,                    B,  4.0076123588857e-01, -9.7751206538318e-01,  2.3256158032271e-01,                    A,  2.3443262774240e+00,  2.8566938336029e-02,  9.0984914937925e-01
                    A, -7.2006193892028e-01,  2.3208423124704e+00,  1.4068097457179e+00,                    B,  3.0525072244362e+00, -4.7004985605553e-01, -6.1053369457345e-01,                    B, -1.4138784880240e+00, -2.3192202694891e+00,  1.2137590849982e+00,                    B,  1.6101839727855e+00,  2.2214534629046e+00,  3.1410855635329e+00,                    A, -2.0289478470698e-02,  8.4499272882263e-01,  1.0960719716181e+00,                    A, -1.9921393219788e+00,  5.6367704978741e-01, -4.0925954187099e-01,                    A,  1.1370908112111e+00,  2.1318970228650e+00,  4.4591523650554e-01,                    B, -1.9453812577897e-01, -2.3697827051620e+00, -1.6837500462395e+00
                    A,  1.1434004240219e+00, -7.5542655126845e-01,  3.3134723396685e+00,                    B,  3.6602013693366e+00,  8.7317247132562e-01,  4.4780671682534e-01,                    A, -3.8791735141309e-01,  1.6783847893334e-01,  2.1136496023821e+00,                    B, -1.4779799638117e+00, -4.3351420333551e-01,  1.4876936156814e+00,                    B, -1.5265434397764e+00,  2.8599307062841e-02,  3.3167682249252e+00,                    B,  2.3019206077633e-01, -9.3759677954614e-01, -6.4639889532749e-01,                    A,  1.1483772894167e+00, -2.7680933371612e+00, -8.5526303128612e-01,                    A,  5.1356216417230e-01, -2.8921899438042e+00,  3.1362641882321e-01
                    B,  4.3481183331313e-02, -8.2516896825636e-02,  4.2610019749208e+00,                    A, -3.1292291026793e-01, -2.3679995355123e+00, -4.9728365437502e-02,                    B,  7.4006005042341e-01, -2.5258528986200e+00, -6.8604843333536e-01,                    A, -9.1303047811295e-01, -3.0618185592135e+00, -2.5806747575488e+00,                    B, -2.6827637075363e-01, -3.1672932760106e+00,  1.2952732214383e+00,                    A, -9.9544879859504e-01,  2.2983758617306e+00,  3.0918000512723e+00,                    A,  2.0781777677637e+00, -6.6375159033270e-01, -4.5304857655433e-02,                    B,  1.4511302617693e+00, -1.2744074390881e+00,  1.0780114241970e+00
                    A, -2.5106753163234e+00, -5.4019802455208e-01,  1.7866376057170e+00,                    A, -1.6535820579533e+00,  5.6640755733509e-01, -4.2974526858644e-01,                    B,  9.3178700413967e-01, -3.3723778934339e+00,  1.6341546649694e+00,                    B,  2.4850037775896e+00,  5.1915431896220e-02,  6.7121779056139e-01,                    A,  6.4204639272260e-01,  5.1880104528697e-01,  1.9962437351366e+00,                    A,  1.4310058370704e+00,  1.4748249072830e+00,  4.5538596068116e-01,                    B,  3.5166110251308e-03,  2.0339252593916e+00,  4.8774540382509e-01,                    B,  1.4121390057222e+00,  5.2547767587787e+00,  1.5068353963911e+00
                    A, -3.0829059801706e-01, -1.2572966796195e+00, -2.8086498308369e+00,                    A, -2.6871978945797e-02, -7.6436563563250e-01, -4.4630123381506e-01,                    A,  5.6487315577370e-01,  1.4511445577278e+00, -2.3056919787142e+00,                    B, -5.1259997779111e-01,  1.7688141823254e-01, -2.3863119950267e+00,                    B, -8.8957568791940e-01, -4.0053841055657e+00, -2.2616433356809e+00,                    B, -4.4211802634817e-02, -1.9830868089928e+00,  8.4724051767454e-01,                    B,  2.2805676479209e+00,  2.5558812862192e+00, -1.1405145005091e+00,                    A, -1.9067543006910e+00, -1.4605404308770e-01,  7.2588856537777e-01
                    B, -2.2728291298837e+00,  7.2365146605578e-01, -1.0806726874210e+00,                    B,  6.4946078182137e-01,  9.8553308852611e-01,  2.4548194205649e-01,                    B, -1.0674461479015e-01,  3.8550811481421e+00,  1.9308622974743e+00,                    A, -1.2416253607398e+00, -1.3609734818263e+00,  1.9774475218341e-01,                    B,  2.7554617185650e+00,  3.1945767996072e+00, -1.4984161243045e+00,                    A,  1.5267913282899e+00,  1.3537520409745e+00, -1.1452949238660e+00,                    A,  2.4801029368102e+00, -2.1804566814376e+00, -1.8673710139211e+00,                    A,  1.7242880801024e+00,  1.0337304337813e+00,  9.1481249725877e-01
