#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-4.824402577229e-01,-2.318980642157e+00,-2.370771161750e+00,                  B, 2.435778381346e+00, 1.261927240974e+00,-5.388857487325e-01,                  A,-8.974623762542e-01,-1.539798732762e+00,-1.140514285360e+00,                  B, 4.238199740979e-01, 2.595211853347e-01, 5.006285196024e+00,                  B,-4.362932882091e-01, 2.784442370007e+00, 2.124741065062e+00,                  B, 1.661955856070e+00, 1.488377486144e+00,-3.145480235170e+00,                  A,-2.215265085983e+00,-1.901623751640e+00, 3.098586703568e-01,                  A,-1.434542603186e+00,-1.110012278127e+00,-1.981140427552e-01
                  A, 2.498310426399e+00, 1.568224612525e+00,-3.198466343198e-01,                  A, 1.702241823783e+00,-2.222076964643e-01,-1.142600137140e+00,                  A, 1.238864515695e+00,-1.766354384763e+00, 6.402855874571e-02,                  B,-1.588127664264e+00, 3.015146065747e+00,-1.904304427705e+00,                  B,-4.065992557233e+00, 1.416145334833e+00,-7.211190641784e-01,                  B,-1.342400668201e+00, 1.974911102490e+00, 5.091116379079e-01,                  B, 1.569978397120e+00,-1.290339762595e+00,-4.940920620636e+00,                  A, 1.169258043465e+00,-3.124432699236e+00,-2.733358650978e-02
                  B, 1.706385965843e+00, 2.089980529537e+00,-1.079415755158e+00,                  B,-5.566121920681e-01, 1.705263291050e+00,-1.589458869447e+00,                  A,-4.281821058736e-01,-2.157887568730e+00,-2.366997744421e+00,                  B, 3.258938801718e+00, 1.748360823892e+00,-8.211433413033e-01,                  B,-9.864518811253e-01, 1.241617154948e+00, 8.906150546311e-01,                  A,-4.348889345151e+00,-1.272165837876e+00,-2.022534551945e+00,                  A,-1.741451520273e+00,-7.991150648793e-01,-1.497906364855e+00,                  A, 8.388882728471e-01,-1.782486297333e+00, 1.866922123754e+00
                  A, 3.609041508189e+00, 1.963542363478e+00, 1.351410111747e-02,                  B,-1.923423687152e+00, 3.696134269235e-01, 8.646253333193e-01,                  B, 3.449710486187e-01,-1.543852464343e+00, 2.793590020604e+00,                  A, 4.467093074473e+00,-1.389334172049e+00, 2.785457085602e-01,                  B, 6.450780943719e-01,-1.139407377666e+00, 3.862002392887e+00,                  B,-1.165118396425e+00,-2.064343855058e+00, 3.531364937506e+00,                  A, 8.532364263087e-01,-1.077402964881e+00,-1.482034031144e+00,                  A,-1.083661417893e+00,-2.118501088090e+00,-7.953658958930e-01
                  B, 2.185050638399e+00,-1.585564145872e+00,-2.816951035300e+00,                  B, 4.242318518244e-02, 3.048155311771e+00, 6.088146317477e-01,                  A,-1.638734150449e+00,-2.588357219263e+00, 5.365758612083e-01,                  A,-1.961341946454e+00,-1.891333106582e+00,-2.117625025384e+00,                  B, 3.518410046652e-01, 1.854219718878e+00,-2.212288354919e+00,                  B, 1.716965850928e+00,-7.235082541946e-01, 2.703532034725e+00,                  A,-3.285653407730e+00,-1.512032229705e+00,-6.887230804921e-01,                  A,-8.026178740330e-01,-2.143618783518e+00,-8.629572231695e-01
                  B,-8.681780004530e-01, 2.050301488241e+00, 5.456443814163e-01,                  A,-6.225134661383e-01,-2.595784942405e+00, 2.962224487300e+00,                  A, 2.197536716816e+00, 4.197534014480e-01, 2.585210276440e+00,                  B, 3.311262679303e-01,-2.667346147067e+00,-6.315374505801e+00,                  B,-6.842277130424e-01, 3.134500983704e+00,-1.358537496573e+00,                  A, 2.247208623654e-01,-8.485281157010e-01,-4.627468617773e-02,                  A,-8.481502454629e-02, 5.122311925200e+00, 1.747534404566e+00,                  B, 1.495720141321e+00,-2.326034609939e+00,-2.409476815748e+00
                  B,-2.651158417348e-01, 4.143488153040e+00, 2.340343776828e+00,                  A,-1.671560027076e-01,-1.607206222937e+00,-1.051645136404e+00,                  B,-2.638333572979e-01,-2.507839865439e+00, 2.552631527404e+00,                  B, 1.121306869675e+00, 9.631182354870e-01, 2.088389528337e+00,                  A,-1.520859944837e+00, 5.079156430285e-01,-1.930243990057e+00,                  B, 5.504558817127e-01, 2.102509582108e+00, 1.063027431136e+00,                  A,-2.520062555982e-01,-5.882619789280e-01,-4.594589145429e+00,                  A, 2.937362312335e-01,-3.502562075182e-02,-1.583405635642e+00
                  A, 3.105397737845e+00, 2.471437016711e+00, 9.379756594565e-01,                  A, 2.821016526379e+00,-3.061353309862e+00,-9.258373214130e-01,                  B,-4.691802378388e+00, 5.240141109441e-01, 5.318899035675e-01,                  B, 3.132858560756e-01,-1.946714394791e+00, 2.736326646704e+00,                  A,-8.123190582260e-01,-1.702000866055e+00,-1.824879913162e+00,                  B,-2.584487982404e+00, 1.792579198547e+00, 7.310633473700e-01,                  B, 4.553255163396e-01,-1.687714160019e-01, 5.708089486562e-01,                  A, 1.094999433643e+00, 2.791848188728e+00,-7.262109708981e-01
                  B,-3.487737831106e+00,-3.114675222190e+00,-2.953815356181e+00,                  A, 1.150160923691e+00, 7.600357425582e-01, 1.740844829253e+00,                  A,-7.419897726686e-01,-6.218080412408e-01, 5.071845194910e-01,                  B, 3.551689479693e+00, 6.117397234266e-01,-1.900883652988e+00,                  B,-3.181457848392e-01, 3.041159581409e+00,-2.290056628413e+00,                  A,-9.160196827231e-01,-1.131768450199e+00,-2.235776691546e+00,                  A,-1.367810862716e+00,-2.964182814949e-01,-1.355664683632e-01,                  B, 1.956207176767e+00, 2.599927935312e+00,-9.365831865157e-01
                  A,-2.107409113639e+00, 5.392088004873e-01, 7.390669231623e-01,                  B,-1.556895906767e-01, 2.716524982211e+00,-1.308374180143e+00,                  A,-4.460191137314e+00, 2.211416907320e+00,-1.288771423039e+00,                  A, 6.169046639893e-01, 1.399232638830e+00, 3.062507508465e+00,                  A,-1.841963935627e+00, 4.527010730431e-01,-2.740372927187e+00,                  B, 2.307575875047e+00, 1.971894314879e-01,-5.925536016730e-01,                  B, 2.422828286952e+00,-2.109188897292e+00, 1.164306464042e+00,                  B, 2.025553037286e-01,-1.862637965973e+00,-3.774044824312e+00
