#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A,-1.311255995761e+00,-7.310324684637e-01, 4.200530553938e-01,                  A,-1.763464078787e+00, 2.105851047763e+00, 3.401154535862e+00,                  B,-4.846208242744e+00,-2.252705884165e+00, 1.787996054149e+00,                  A, 9.736072349490e-01, 1.658401852610e+00,-3.315868630519e+00,                  B, 3.925367523447e+00,-3.751317124496e-01,-4.869803948670e-01,                  B,-2.954349200594e+00, 2.705321911309e+00, 1.787855369618e-01,                  A, 1.167426323299e+00,-2.904890968536e+00,-1.354610540560e+00,                  B, 8.265759642549e-01, 1.453034319970e+00, 5.614313045007e+00
                  B,-3.046539514705e+00, 1.379595815555e+00,-1.161989366092e+00,                  A, 5.348852252549e-01,-2.188644062687e-01, 8.251604484582e-01,                  A,-4.393492310144e+00, 1.591625684469e+00, 3.375951137861e+00,                  B,-2.388168723444e+00, 1.004795605878e+00,-2.854272607376e+00,                  A, 3.594199633777e-01,-5.117218400508e-01,-1.568262833604e+00,                  A, 1.695189869550e+00, 6.431274953589e-01,-9.043867596048e-02,                  B,-5.535325240259e-01,-2.958245691078e+00,-1.008251219063e+00,                  B, 3.703108969221e+00,-6.001730303883e-01, 8.622776896165e-01
                  A, 2.918820914020e+00, 1.557337419637e+00,-4.189163231556e+00,                  A,-1.685182515263e+00, 4.945276195585e-01,-4.261007491023e+00,                  B, 4.526980219509e+00,-1.414706466489e-01,-3.428579356665e+00,                  A,-3.120626192462e+00,-1.829053702471e+00,-2.738406041779e+00,                  B,-9.229228350102e-01, 3.125396965402e+00, 1.288218948075e+00,                  B,-3.995043268388e-02,-2.694432496824e-01, 1.788419467456e+00,                  B,-5.876076019729e-01,-1.267867117919e+00,-3.562942746483e-01,                  A,-1.448458182232e+00, 4.942583689245e+00,-2.472564853628e+00
                  B, 1.027947242412e+00, 1.114118155120e+00, 2.043792976771e+00,                  B, 3.391417079159e+00, 1.528963120439e+00,-1.333768204648e+00,                  A, 2.315618768900e+00, 1.108917562131e+00,-8.433095309492e-01,                  A,-2.012849233231e+00,-3.654608019802e-01, 1.296840342433e+00,                  A,-6.932406885192e+00,-2.009561339891e+00, 4.121264796185e+00,                  B,-1.043656249766e+00,-5.235565416879e-01, 4.234858235097e+00,                  B, 5.264118026169e+00, 2.813621718729e-01,-2.664991659597e+00,                  A, 1.422967129105e+00,-1.890831274853e+00,-9.110430611831e-02
                  B,-1.884632446426e+00,-2.564226413266e+00,-2.854406756941e+00,                  B, 3.875971066853e-01,-3.414687551786e+00, 1.684492785212e-01,                  A, 2.390416124602e+00, 1.651999770867e+00,-1.008720833497e+00,                  A, 7.676993855464e-01, 1.220115417270e+00,-8.456689671169e-01,                  B,-1.660373932472e+00, 8.960644378797e-01,-1.940556986451e+00,                  A, 1.118110842220e+00, 2.273348581284e+00,-1.873948398982e+00,                  A,-1.548935321223e+00,-1.597460082458e+00, 1.136921845430e+00,                  B, 3.130375214235e+00,-4.955000959571e-01, 5.732329015947e+00
