#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 9.738429454523e-01,-6.238244099693e-01, 2.733726316673e+00,                  B, 1.316000402169e+00, 2.812875509815e+00, 1.101735461832e+00,                  B, 2.773482784272e-01,-1.852550519963e+00,-1.305821831026e+00,                  A,-1.708340608564e+00,-1.092490990735e-01,-3.982964626792e+00,                  A,-2.504732780951e+00, 1.162848371434e+00,-3.191271116296e+00,                  A,-2.170478432525e+00, 3.691471089948e+00, 3.757268728404e+00,                  B, 1.088884529311e+00, 1.574604770987e+00,-2.306733579150e+00,                  A,-1.019650985679e+00,-2.165592794342e+00, 3.237059868939e+00
                  A, 3.602728821350e+00, 4.325888989734e+00, 1.121111718760e-01,                  A, 6.949987139522e-02, 2.991198659266e+00, 3.760915729655e+00,                  B, 1.355602147564e+00, 1.896297749881e+00, 1.511046569372e+00,                  A, 5.623110814350e-01,-1.634959816369e+00,-2.731719850452e+00,                  A,-1.561765038238e-01, 4.099289346883e-01,-3.011768696811e+00,                  B, 1.101801369051e-01,-1.928128138732e+00, 3.053481746878e+00,                  B,-6.653133946044e-01,-2.739158104908e+00,-3.070229347792e-01,                  B, 2.968051303650e+00, 1.994354248053e+00, 3.585833141445e-02
                  B,-2.375236387434e+00,-1.104120702564e+00,-8.724036472838e-01,                  B, 2.491478795702e+00,-6.136298143268e+00,-5.458829679719e+00,                  A, 1.256612903277e+00, 6.722019501244e-01,-3.041707799667e+00,                  A, 1.479669063981e+00,-2.367664857864e+00,-1.389898190028e+00,                  B,-1.066235505326e+00,-6.965007185277e+00,-2.812595331790e+00,                  A,-1.430279993667e+00, 1.641572550899e+00, 2.505900566106e+00,                  A,-3.580620209076e+00, 3.087952705960e+00,-4.122951003595e+00,                  B,-1.253705318661e+00,-4.111499094195e-01,-5.586383277906e+00
                  B,-5.545260797923e+00,-8.458434121048e-01, 2.248628500338e+00,                  A,-1.680337436130e+00,-1.273875623462e+00,-4.649992093644e+00,                  A, 1.673220750438e+00,-3.711279665851e+00, 1.833505715921e+00,                  A, 1.271020598071e+00, 3.422904526299e+00, 2.265331239379e+00,                  B,-3.593108472437e+00, 1.455280103469e+00,-2.199775120828e+00,                  A,-1.117665525252e+00, 2.687824771224e+00, 1.033292162788e+00,                  B, 3.372159672923e+00, 7.145798042879e-01, 2.169667329166e+00,                  B,-2.666862817345e+00,-8.773531349460e-01, 2.332886562217e-01
                  B, 2.187841235520e+00,-3.646735533090e+00, 3.208837861743e-01,                  A, 3.476563536434e+00, 2.433431297689e+00, 9.156902660477e-01,                  A, 1.853787791252e-01, 5.054598048341e-01,-3.367426790468e+00,                  B,-1.274906881913e+00,-3.728106268958e+00,-3.133248058701e+00,                  A,-3.458775949057e+00,-4.761531814205e+00,-1.832530628412e+00,                  B,-2.580409572391e+00,-5.084258447114e-01,-2.194847462975e+00,                  B,-6.344995557502e-01, 3.965267493843e+00, 2.266566247991e+00,                  A,-2.866813719577e+00, 9.442975607874e-01,-5.663382285673e+00
