#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-2.443060662367e+00,-3.783707029912e+00, 1.133982914240e-01,                  A,-1.080991085845e-01, 4.738546689829e-01, 2.322188698681e+00
                  B,-1.870514278543e+00,-5.850927376334e-01, 8.843516821399e-01,                  A, 1.033750315952e+00,-4.491107274138e+00,-2.582772962632e-01
                  B, 1.019156384058e+00,-1.307758825896e+00,-3.326473608024e+00,                  A,-1.783699300405e+00,-6.256335714658e-01,-1.984743542790e-01
                  B,-8.289428824929e-01, 1.210374806450e+00, 2.229410321872e+00,                  A, 3.221044807030e-01,-5.853889841605e-01, 1.281337060672e-01
                  A, 5.810533542911e-01, 9.770237593906e-02, 9.407953327656e-02,                  B,-1.616365234847e+00, 7.527482853308e-01,-1.556812071471e+00
