#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-3.307450928663e+00,-1.292272712840e+00,-1.253892832560e+00,                  B,-2.320838819113e+00, 2.368245861284e+00,-1.143216630475e+00
                  A,-5.926846919257e-03,-1.472201834250e+00, 2.792162849202e-01,                  B, 3.325370341328e-02, 8.714536643675e-01,-2.698787635573e-03
                  A,-1.192214793865e+00, 2.450389035484e+00,-1.141082304573e+00,                  B, 7.274039967490e-01, 3.981079884545e-01,-8.478061148770e-01
                  A, 3.494902609094e-01, 3.167490497057e-02,-1.013609670952e+00,                  B,-1.666174589730e+00, 1.810941473937e+00,-2.247644103183e+00
                  A, 6.884639453247e-01,-1.847977539449e+00,-3.552249628424e-01,                  B,-7.320323677040e-01, 9.988994395555e-01,-1.342564511635e+00
