#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 7.210550023276e-01, 4.890750970632e-01,-1.571498543100e+00,                  B,-6.517896029780e-02, 1.613678495744e+00, 6.987184920283e-01,                  B, 3.634937999807e-02,-1.479425720767e+00, 5.460280073068e-02,                  A,-1.266442605096e+00, 3.908395783156e+00,-1.506566790184e+00,                  A,-3.999994377062e-01, 1.544528873519e-01,-8.725530380428e-01,                  A,-3.273161903147e-01, 1.256566429307e+00,-1.919938503077e+00,                  B, 1.502298462526e+00,-1.394698503163e+00,-1.338270027031e+00,                  B,-1.468198625787e+00,-2.548585941537e+00,-6.884684155985e-01
                  A,-2.453087807624e+00,-6.272015193258e-01, 1.168793944842e+00,                  B, 2.660171564001e+00,-3.831803468639e-01,-4.082918187066e-01,                  B,-5.386304133988e-01,-2.724690850586e+00,-2.703483632458e-01,                  B,-1.589995499700e+00, 8.428792704926e-02,-2.787990903327e-01,                  A, 1.891638804007e+00,-3.962711158523e-01, 9.716051178075e-01,                  A, 2.043303914980e-01,-1.859748210967e+00, 2.844180130482e-01,                  B,-2.880800802370e-01, 2.323913648427e-01, 1.271613804976e+00,                  A, 8.124401168947e-01, 1.094059108378e+00, 2.091341461774e-01
                  B, 3.529823886371e-01, 5.461553052853e-01, 1.297001002634e-01,                  A, 1.051542351467e+00, 2.759052026430e+00,-2.017468870191e+00,                  A, 1.126320757812e-01, 1.457839241273e+00,-1.184364825347e+00,                  B,-2.032459945788e+00, 2.397848052028e+00, 2.198718060530e+00,                  A, 3.318172570015e-01,-4.581721035880e-01, 1.618619694969e+00,                  B,-9.463684820652e-01,-2.052050312316e-01, 5.738827480449e-01,                  B,-1.868068413417e+00,-4.683246634945e-01,-3.038132025978e+00,                  A,-1.696683888942e+00,-1.438639676009e+00,-1.830933932812e+00
                  A, 2.657604780558e-01,-1.339750027029e+00, 1.653009383949e+00,                  A, 7.340097877887e-01,-2.736153601181e+00,-2.820229857634e+00,                  B,-1.661674944887e+00, 1.909118565789e+00,-1.286834380410e+00,                  B, 5.136971659645e-01,-1.350849969691e+00,-2.667256156414e-01,                  A, 9.536797900972e-01, 2.340995864115e-01, 4.331067399125e-01,                  B,-2.996301122146e+00, 3.782931062304e-01, 1.766309370281e+00,                  A, 2.625356286368e+00,-7.661535907901e-03,-2.363671078709e-01,                  B,-3.704368814756e-01, 8.646269019611e-01,-1.169172330934e+00
                  A,-9.710992638219e-02,-1.510860758888e+00, 6.072626378187e-01,                  A, 1.515528198627e+00,-2.531439547304e+00, 3.131175527845e+00,                  A, 1.724714411168e+00, 2.578558148196e+00,-3.562217716779e-01,                  B,-1.202950540066e+00,-1.097626780951e-01, 1.732453651088e+00,                  B,-6.374465244594e-01,-7.320007471902e-01,-2.874365669695e+00,                  B, 3.138861599083e+00,-2.605865094147e-01,-4.987450200799e-01,                  B,-1.405506585856e-01, 3.049514863772e+00, 8.014384820840e-01,                  A, 1.213172309093e+00,-1.342405803016e+00, 5.164920824189e-01
