#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 1.059005952773e+00,-7.515358384452e-01, 1.482564382644e+00,                  A,-3.119361281700e+00, 4.167416935952e+00, 2.805956993374e+00
                  B,-3.985737328442e+00, 4.656226660800e-01, 1.408788459991e+00,                  A,-8.559284929064e-01,-4.052275719984e+00, 2.643690879650e+00
                  A,-4.241413752958e-02,-4.564821350571e-01, 3.620613172055e+00,                  B,-1.340211591534e+00,-3.891806039277e+00,-3.918258796476e+00
                  A,-2.012730460979e+00, 1.551136068667e+00, 1.148097915320e-01,                  B,-4.795808890821e+00,-1.675388624544e+00, 2.659789763344e+00
                  A, 5.867615866799e+00,-3.095288065083e-01,-3.110105350484e-02,                  B,-2.691179508360e+00, 7.168416539796e+00,-1.893400651495e+00
