#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 2.765314309267e+00, 9.071781074887e+00,-2.291213139090e+00,                  B, 3.290482491004e-01,-3.174567847379e+00, 6.263314166494e+00,                  A, 2.567128112172e+00,-4.155061710648e+00, 9.727303602179e-01,                  B, 7.191860982345e+00,-1.893283405986e+00, 3.869295405324e+00,                  A, 5.551276400252e+00, 3.902019782881e+00,-4.967883432773e+00,                  B,-7.233813130834e+00, 6.611092598535e+00,-9.187017669000e+00,                  A, 7.219293462995e+00,-3.403235657479e-01, 4.483847288674e+00,                  B,-9.617235095496e+00,-6.882148785008e+00, 5.544448531831e+00
                  A, 2.765314309267e+00, 9.071781074887e+00,-2.291213139090e+00,                  B, 3.290482491004e-01,-3.174567847379e+00, 6.263314166494e+00,                  A, 2.567128112172e+00,-4.155061710648e+00, 9.727303602179e-01,                  B, 7.191860982345e+00,-1.893283405986e+00, 3.869295405324e+00,                  A, 5.551276400252e+00, 3.902019782881e+00,-4.967883432773e+00,                  B,-7.233813130834e+00, 6.611092598535e+00,-9.187017669000e+00,                  A, 7.219293462995e+00,-3.403235657479e-01, 4.483847288674e+00,                  B,-9.617235095496e+00,-6.882148785008e+00, 5.544448531831e+00
                  A, 2.765314309267e+00, 9.071781074887e+00,-2.291213139090e+00,                  B, 3.290482491004e-01,-3.174567847379e+00, 6.263314166494e+00,                  A, 2.567128112172e+00,-4.155061710648e+00, 9.727303602179e-01,                  B, 7.191860982345e+00,-1.893283405986e+00, 3.869295405324e+00,                  A, 5.551276400252e+00, 3.902019782881e+00,-4.967883432773e+00,                  B,-7.233813130834e+00, 6.611092598535e+00,-9.187017669000e+00,                  A, 7.219293462995e+00,-3.403235657479e-01, 4.483847288674e+00,                  B,-9.617235095496e+00,-6.882148785008e+00, 5.544448531831e+00
                  A, 2.765314309267e+00, 9.071781074887e+00,-2.291213139090e+00,                  B, 3.290482491004e-01,-3.174567847379e+00, 6.263314166494e+00,                  A, 2.567128112172e+00,-4.155061710648e+00, 9.727303602179e-01,                  B, 7.191860982345e+00,-1.893283405986e+00, 3.869295405324e+00,                  A, 5.551276400252e+00, 3.902019782881e+00,-4.967883432773e+00,                  B,-7.233813130834e+00, 6.611092598535e+00,-9.187017669000e+00,                  A, 7.219293462995e+00,-3.403235657479e-01, 4.483847288674e+00,                  B,-9.617235095496e+00,-6.882148785008e+00, 5.544448531831e+00
                  A, 2.765314309267e+00, 9.071781074887e+00,-2.291213139090e+00,                  B, 3.290482491004e-01,-3.174567847379e+00, 6.263314166494e+00,                  A, 2.567128112172e+00,-4.155061710648e+00, 9.727303602179e-01,                  B, 7.191860982345e+00,-1.893283405986e+00, 3.869295405324e+00,                  A, 5.551276400252e+00, 3.902019782881e+00,-4.967883432773e+00,                  B,-7.233813130834e+00, 6.611092598535e+00,-9.187017669000e+00,                  A, 7.219293462995e+00,-3.403235657479e-01, 4.483847288674e+00,                  B,-9.617235095496e+00,-6.882148785008e+00, 5.544448531831e+00
