#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 7.664555445512e-03,-1.677231424352e-01, 7.613906574789e-01,                  B,-4.169920112337e-01, 2.446366439970e+00, 1.608705554707e+00
                  A,-1.213121927617e-01, 3.476297510971e+00,-3.165919335290e-01,                  B, 2.579615721980e+00,-7.498485916198e-01,-1.266712009085e+00
                  A,-1.414498194540e+00, 7.632823852733e-01, 9.433884736252e-01,                  B, 1.092722993071e+00,-6.188145154781e-01,-1.456328021657e+00
                  A, 2.063111689762e+00,-1.861972627381e+00,-2.717180073631e+00,                  B,-7.006914380035e-01, 8.048541981614e-01, 7.852510502145e-01
                  A, 8.376784871160e-01, 9.059918566451e-01, 1.275376746977e+00,                  B, 2.219370472749e+00, 1.934242731907e+00,-3.003457376764e-01
