#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-1.419063685845e+00, 9.316807570081e-01,-1.128678595967e+00,                  A, 1.788240718338e+00,-8.042983109825e-01, 6.772723124442e-01
                  A, 1.756837455018e-01,-8.821793507820e-01,-1.289595612021e+00,                  B, 1.087746237390e-02, 3.757065698409e-01,-6.461757076349e-01
                  A, 2.224310118865e+00,-2.457689342205e+00, 2.371596027823e+00,                  B, 1.216664438256e+00, 1.164108966489e+00, 1.705066270866e+00
                  A, 9.252082322526e-01, 5.086020490626e-01, 5.471666493685e-01,                  B,-1.319804113954e+00, 1.554886196062e-01,-1.168537849324e+00
                  B, 4.986181742878e-01,-3.745191005889e-02, 1.348188892421e+00,                  A,-1.077341192107e+00,-2.087674323051e+00,-1.938508784283e+00
