#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A, 6.695174938139e-01, 1.775958954946e+00,-1.109093576465e+00,                  B,-3.559572405065e-01, 2.689452712593e-01, 2.420888302927e+00,                  B,-2.884523339755e+00, 1.408145111246e+00,-6.116105619810e-01,                  A,-2.235318373726e-01,-1.770482015388e+00, 3.449522311584e-01,                  A, 2.698938836316e-01, 5.698092162860e-02,-8.447076497296e-01,                  B, 1.755850169319e+00, 4.238037190180e-02, 1.277193528777e+00
                  A, 2.981949576933e+00, 5.048848551775e-01,-6.912724705257e-01,                  B,-3.491228437404e+00,-1.121484081050e+00,-1.014413706815e+00,                  A, 3.444156258560e+00,-2.112440801746e+00,-2.698553360607e-01,                  A, 8.445347425604e-01,-1.497238183566e+00,-3.625524504563e+00,                  B,-1.500458723484e+00, 1.921812158039e-01, 5.931000537319e-01,                  B, 1.282096558655e+00,-1.088734927918e+00, 3.159163743914e-01
                  B,-1.258248080547e+00,-1.842626383307e+00, 2.114190493842e+00,                  B, 1.849467327717e+00, 2.231617198098e-01, 2.025879461522e+00,                  A, 6.132483707060e-01,-2.890250441165e+00, 2.376564473123e+00,                  A, 1.495886902148e+00,-9.627889717886e-01,-1.072504949971e+00,                  B,-3.246078500041e-01, 4.927406334533e-01,-2.229978400051e-01,                  A,-2.545547573003e-01, 2.930325500408e-01, 2.003386578526e+00
                  B,-2.234389075857e+00,-6.176493158102e-01, 4.667173250291e-01,                  A,-8.117342997675e-01, 2.007697873238e+00,-1.862322076523e-01,                  B, 2.121817210141e+00, 1.474353502399e-01, 3.599994665281e-01,                  B,-3.965287182037e+00, 1.818204074250e+00, 9.398384205119e-01,                  A,-1.066563474078e+00,-1.034715254156e+00, 2.342672292439e+00,                  A, 1.853411955368e+00,-2.552628909823e+00,-1.146350299294e+00
                  A,-9.366808549768e-02, 3.211199325429e-01, 8.137203957072e-01,                  B,-2.206190996434e-01, 1.920602073661e+00,-8.373594022962e-01,                  B, 1.534526422493e+00, 3.951791520968e-01, 7.695868585906e-03,                  A, 5.013904597160e-01, 1.106216417639e+00,-1.641784826763e+00,                  A, 1.980890250042e+00, 1.941127212024e+00, 1.556518374286e+00,                  B, 4.168485996420e-01,-1.674126342079e+00,-4.262281471279e-01
