#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 3.594623013198e+00, 2.094527116556e+00, 3.309671208146e+00,                  B, 2.411837750889e+00,-1.217423211463e+00,-4.230244128418e+00,                  A,-5.394620757765e+00,-2.776769338121e+00,-1.650505273807e+00,                  A,-1.545114569868e+00, 1.624907861241e+00, 1.748665211099e+00
                  A,-1.216547544065e+00, 8.454160167376e-01, 6.700337794518e+00,                  A,-4.529565858244e+00,-2.854791357371e+00,-9.747037594215e-01,                  B, 7.539703834900e+00,-2.527098384909e+00, 1.193455112774e+00,                  B, 3.269718547562e+00, 2.745870867752e+00,-2.032084027838e+00
                  A, 3.181923398078e+00,-2.579526997251e+00,-2.063571490413e-01,                  B, 5.036622781132e+00, 1.485099899946e+00,-5.935933589108e+00,                  B, 9.994577512658e-03,-2.272042184202e+00,-1.847451510345e+00,                  A,-3.955242652735e-01, 5.136659699733e+00, 4.991957665340e+00
                  B, 3.533269000543e+00, 3.383328381703e+00, 2.121238594655e+00,                  B, 1.669854386359e+00, 3.918633373185e+00,-3.021203386013e+00,                  A, 2.397033566252e+00,-2.695228672619e+00,-5.441714161543e+00,                  A,-1.183651947753e+00,-2.232302679245e-01,-1.277446311451e+00
                  A,-8.758028794574e-01,-6.092194958841e-02, 3.309944624761e+00,                  A,-3.566397340920e+00,-2.122242514986e-01, 4.254744431370e-01,                  B,-2.773831966980e+00,-1.851136548796e+00,-2.439267945112e-01,                  B, 5.743113133558e-01,-9.836209826629e-01,-1.914120270304e+00
