#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-4.155167337877e-01, 3.344661695278e+00,-7.442672325814e-01,                  B, 4.210347123947e+00, 5.902110876013e-02, 4.258566702571e+00
                  B, 8.791273995700e-01,-9.177278479829e-01,-1.000978909222e+00,                  A,-2.438569667010e+00,-6.195157486960e+00, 3.758270514606e+00
                  B,-1.518712783178e+00,-3.277102878316e+00,-4.482117200273e+00,                  A, 4.246342593349e+00, 3.884257328456e+00,-1.142821490745e-01
                  B,-1.586677415413e-01, 1.431339184737e+00, 3.707219068198e-01,                  A,-1.551298365742e-01, 2.092659453164e+00,-4.425566895996e+00
                  A,-9.943260130210e-01, 1.409981399105e+00,-3.455406277542e+00,                  B,-1.970636707737e-01,-6.013206168548e+00, 1.026122872703e+00
