#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-1.755330962403e+00,-2.013237900363e+00, 3.810584365503e-01,                  B,-2.914872213948e-03, 4.744212406648e-01,-1.804296854982e+00,                  A, 2.505728876679e-01,-1.497250308468e+00,-8.005714181708e-02,                  A,-1.801931986259e-01,-1.124412220876e+00, 1.722923891179e+00
                  A, 1.946080218221e+00, 3.810473666263e-01,-2.078476979860e+00,                  B,-6.639251222273e-01,-6.917389785810e-01, 1.212073053510e+00,                  B, 3.085391563514e-01,-1.428970497868e+00, 3.778197950158e-01,                  A, 1.482944854092e+00,-1.604616175694e+00, 1.580196024530e+00
                  A,-1.688434190545e+00,-1.140511898463e+00,-9.777094334086e-01,                  B,-6.226658969035e-01, 7.486671915042e-01, 1.779480935587e-01,                  A, 6.727369203189e-01, 4.920185489783e-01, 3.456880354111e-01,                  B, 9.358253076805e-01,-1.643037384108e-02,-1.958224082700e+00
                  A, 1.086512343217e+00, 1.786660017192e-01, 1.330312212394e+00,                  B,-3.544604241796e-01, 2.207895214990e+00, 3.524351099506e+00,                  A, 6.403497591127e-01,-4.305294657242e-02, 1.161998147641e-02,                  B,-1.457981464217e+00,-2.123360758943e+00, 2.342766790236e-01
                  B,-9.834429638311e-02,-4.791550899330e-01,-5.623666991826e-02,                  B, 2.066033615102e+00,-1.510909387166e+00, 7.030834354432e-01,                  A,-7.060138966003e-01, 9.257554729669e-01,-1.676817674772e+00,                  A,-1.134668659002e+00,-1.788021671655e+00,-1.186832037317e+00
