#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-2.420022472675e+00,-1.476990922259e+00, 7.097724795236e-01,                  B,-3.809149816919e-01,-2.763645798840e-01,-6.321565835877e-01,                  B, 3.926525511484e-01,-2.046150715695e+00,-1.313070778094e+00,                  A, 2.630373647428e+00, 4.684751072110e-01, 9.818949596542e-01,                  A,-1.449448901331e+00,-2.795647704462e+00,-4.343818021110e-01,                  B,-3.503538771154e-01,-6.117845860169e-01,-1.977951843072e+00,                  A, 8.321521788959e-01,-1.514842481829e+00, 1.526313211875e+00,                  A,-7.824389576081e-02, 2.220675591684e-01, 5.508253621318e-01
                  A, 6.777092909947e-02,-4.477078921374e-01,-1.924796234670e-01,                  B, 1.998011780897e+00, 7.778413498121e-01,-7.855239229526e-01,                  A, 7.250806882215e-01, 5.613574457541e-01,-5.536491534994e-01,                  B, 1.277860422805e+00,-1.519612812207e-01,-2.875361639639e+00,                  B, 1.150624915403e+00, 1.010725235430e-01, 1.033683697225e+00,                  A, 1.966417619758e+00, 1.392453351611e+00, 9.366035525521e-01,                  A,-2.013281282280e+00,-1.695540248572e+00,-4.603902186285e-01,                  B,-7.734121307313e-01,-2.317431836079e+00,-7.577425135216e-01
                  B, 1.253309041850e+00, 6.072956682691e-01,-3.523777568946e+00,                  A,-5.049584469333e-01, 4.932021272429e-01, 4.923454064346e-01,                  A,-1.801584799278e+00, 2.286777601106e-02,-1.211152710035e-01,                  A,-8.965014467989e-01,-2.295666628746e+00,-1.589587050279e+00,                  B, 1.346430678043e-01, 7.457196588331e-01, 2.550060412551e+00,                  A,-1.655051844124e-01, 4.128251701630e-01, 3.235821943021e+00,                  B,-7.273889483358e-01,-1.104767976712e+00, 1.167890864298e+00,                  B, 1.226922149535e+00, 1.256554299136e+00,-9.092944357622e-01
                  B,-2.264969219301e-01,-9.460940816942e-01, 2.623990564287e+00,                  B,-2.017871613905e+00, 2.760900413218e+00, 2.554466016061e+00,                  A,-6.887471950654e-01,-8.925869510907e-02,-1.143062270115e+00,                  B, 1.218351955995e+00,-9.362402241899e-01,-1.366415574718e-01,                  B,-1.110179410517e+00,-6.795806508015e-01,-1.605652553392e-01,                  A,-2.323140053589e+00,-7.618797029557e-01, 3.572190223511e+00,                  A,-9.347160481032e-01, 2.582617924609e+00, 5.253733541027e-01,                  A, 1.977946435872e+00,-5.778864354071e-01, 6.283549875877e-01
                  B, 3.240057426752e+00,-3.069426549872e-02,-4.978188853130e-01,                  A, 4.901903353171e-01, 1.176650205528e+00,-9.781117159008e-01,                  A, 3.586305735804e+00,-2.378366864637e+00, 1.024712596060e+00,                  B, 6.005484996852e-01, 2.336824040853e-01,-2.017865543750e+00,                  B,-4.738156079631e+00,-8.777822217817e-01, 2.397160800386e+00,                  A,-1.326450174914e+00, 1.392362107957e+00, 2.558800862410e+00,                  B,-2.044690169661e+00, 2.932963003138e+00, 5.410701379937e-01,                  A, 9.167341885823e-02, 5.227169611245e-01, 1.325199523987e+00
