#         p0 flavor,              p0 x0,              p0 x1,          p1 flavor,              p1 x0,              p1 x1,          p2 flavor,              p2 x0,              p2 x1,          p3 flavor,              p3 x0,              p3 x1
                  A,-3.056072946703e+00,-4.813108135628e+00,                  B, 3.884110044101e+00,-3.028881751847e+00,                  A, 1.337914684251e-01,-3.938165523001e+00,                  B, 6.658401390714e-01,-8.004075529245e+00
                  B, 8.467817706821e-01,-2.219204497753e+00,                  A, 2.185769452733e+00,-6.215994165344e-01,                  B, 5.981574262108e+00,-5.202918458340e+00,                  A,-2.959774195703e+00,-5.419946268242e+00
                  A,-2.246440675974e+00, 7.389652557887e+00,                  B,-2.789626944385e+00,-1.491113316053e+00,                  B,-1.413711734170e-01,-2.156615607960e-02,                  A, 5.112018221675e+00,-3.359792648457e+00
                  B, 2.163995966320e+00, 4.120280276874e+00,                  B, 6.317056816153e+00,-3.650235207598e+00,                  A, 4.689867857680e+00,-5.895496530245e+00,                  A,-3.426775670481e+00, 1.796450024655e-01
                  A,-1.644411596176e+00, 2.047821512138e+00,                  B, 1.880461342732e+00, 2.980801700323e+00,                  A, 1.804817460760e+00,-3.136508698145e+00,                  B,-2.100709647690e+00,-4.774985908265e-01
