#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-1.156528014842e+00, 1.215278518364e+00, 4.283233860453e+00,                  B, 3.046849528319e+00, 1.065619702694e+00, 5.746589048795e+00
                  A, 3.907403004941e+00, 2.569768484911e+00,-3.579838308143e-02,                  B, 1.429788529549e+00,-1.149897725193e+00,-2.466933006364e+00
                  B, 1.224220455645e+00, 2.106522748917e+00, 7.777236478292e-01,                  A, 3.051188783059e+00, 2.834152047136e-01, 2.975864504570e+00
                  A,-9.514124486285e-03, 6.376169497792e-01,-4.266467899292e+00,                  B,-8.909574916274e-01,-3.046427927870e+00,-3.702431951968e+00
                  A,-7.478731422901e-01, 3.868736591723e+00,-6.661528852067e-01,                  B, 5.625784385409e-02,-1.314223708631e+00, 4.900316321814e+00
