#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-1.713057368306e-01,-1.582703263329e+00, 2.000774482533e-01,                  A, 1.887010124700e-01,-1.605928060166e+00,-8.998469506889e-01
                  B, 1.842547896914e+00, 2.212835169927e-01, 2.744335181687e+00,                  A,-1.814411753002e+00,-2.337275157975e+00,-2.000410607912e+00
                  A,-6.849544331193e-01,-3.566678578148e-01, 9.298498081782e-01,                  B,-2.145823502273e+00, 1.187365748872e+00,-5.793939928172e-01
                  A, 9.597532292117e-01,-2.688570984735e-02,-5.525254015923e-01,                  B,-1.173665204662e+00, 3.571309414462e-01,-1.102718499955e+00
                  A, 1.419595323295e+00,-1.197781163404e+00,-7.389637325902e-01,                  B,-9.206140895834e-01,-1.087243205713e+00,-2.652570342927e+00
