#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 1.151339080591e+00, 1.139170672413e+00, 9.894464045118e-01,                  B, 2.807482291196e-01,-1.354431641082e+00,-1.708252385467e+00,                  A,-7.747773265462e-01, 1.262594899885e+00,-1.184958169865e+00,                  B, 1.256376534557e+00,-4.482624664133e-01,-6.440637999964e-01,                  A, 2.200791500318e+00,-3.131194762452e-01,-8.099505839203e-01,                  A, 1.030967053798e+00, 5.426453011090e-01,-2.083118453794e+00,                  B,-1.108561525527e-01,-1.452396624646e-01,-8.222043490892e-01,                  A,-1.241966957302e+00, 1.554110688868e+00, 1.721090360619e+00
                  A, 2.247533611266e+00,-8.765755110743e-01,-2.371773764741e+00,                  B,-9.162616036443e-02,-9.482341946327e-01,-2.261422105039e+00,                  A, 6.446539239492e-01,-5.657425720924e-01, 3.217607140052e-01,                  A,-1.277166747060e+00, 1.180086392838e+00,-5.993551842406e-01,                  B, 1.787584263411e+00,-1.724909041512e+00, 4.283799571062e-02,                  B,-7.877129986511e-01, 7.648831740138e-01, 1.877210734231e+00,                  A,-7.796077529171e-01,-2.214834668683e+00, 1.498702555428e+00,                  B, 8.504108500140e-01, 1.139789061819e+00,-1.307390485039e-01
                  A,-1.943772601767e+00,-2.888492480010e+00, 6.896899296589e-01,                  A,-8.327269491809e-01, 3.510792599616e-02, 4.934620938694e-01,                  A,-5.455347540304e-01, 8.858094834802e-01,-3.002275877416e+00,                  B, 1.478450516784e+00, 9.709252254520e-01, 1.228231268715e-01,                  A,-2.638485843277e-01,-7.795014358744e-01,-4.517731031970e-01,                  B,-2.506714143194e-01, 1.072651591594e-01, 8.747110762274e-02,                  B,-2.426784900316e+00,-1.264433389430e+00,-3.108298232131e-01,                  B,-4.106490441464e-01, 1.909558841327e-01,-8.100236482620e-01
                  A,-2.470282645816e-01, 1.348831582845e+00,-5.247127029216e-01,                  B,-2.368400647138e-01,-2.344051732758e+00, 1.918812705876e+00,                  B, 3.083839765783e+00, 4.453475882245e-01,-4.359674257460e-01,                  B,-9.210759958962e-01,-1.414512304563e+00,-1.764494674176e+00,                  A,-3.569615111528e+00, 1.551010043953e+00,-1.121390229491e+00,                  A, 2.956284769377e-01,-2.397385792328e+00, 6.477381670915e-01,                  A, 3.250820138410e-01, 2.063159673445e+00, 2.237574092759e+00,                  B,-1.000844673531e+00,-1.158924040006e+00, 4.266341895551e-01
                  B, 2.112531873270e-01, 9.471799663289e-01, 7.847586801967e-01,                  A, 1.937637294107e+00, 2.941437648083e-01, 5.990149510918e-01,                  B, 3.029518866466e+00,-4.405580463955e-01, 6.835675768152e-01,                  A,-1.762651715656e+00,-4.396814200881e-01,-1.118261478743e+00,                  A, 1.715899181473e+00,-2.205856115771e+00,-1.100413243571e+00,                  B, 5.582959507780e-01,-6.322271659873e-01, 1.730316043918e+00,                  B, 9.361928426691e-01, 1.223495774903e+00,-1.573263682595e+00,                  A,-1.190634384813e+00,-2.695955557599e+00, 1.133817471315e+00
