#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 7.956506183146e-01,-1.125668576317e+00, 8.704118448836e-02,                  A,-6.311079251205e-01,-6.727991738757e-01, 1.860661453489e+00
                  B,-2.354766110989e+00,-2.122213303514e+00,-4.154191545244e-01,                  A,-2.812501159126e+00,-2.271030430915e-01,-8.497314757628e-01
                  B,-3.644721104701e+00,-1.266161007265e+00,-1.239345444219e+00,                  A,-1.534148958350e+00, 9.415511534251e-01,-3.479057690818e-01
                  B,-2.877058718944e+00, 5.261702933047e-01, 1.680719999895e+00,                  A, 1.428453034740e+00, 3.067358950906e-01, 8.747579241728e-01
                  A,-3.751166629096e+00,-2.933460983371e-01,-2.618632627752e-01,                  B, 1.864743546103e+00,-4.362245545200e-01,-1.714489741415e+00
