#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-5.269455281989e+00,-2.928919566439e+00, 8.744045570274e-01,                  B, 3.227972269878e-01, 8.712554296243e-01,-5.372089911415e+00
                  A, 4.822627276993e-01, 3.065258415421e+00, 6.488931726662e-01,                  B,-2.279955195008e+00, 1.539748470051e+00, 1.750436352776e+00
                  A, 6.649495760924e-01,-5.519420804010e-01,-2.039652959788e+00,                  B,-2.515272370833e+00,-2.604070547610e+00,-1.062325646318e+00
                  B, 1.375529145909e+00,-7.146501021149e-02, 2.417914085235e+00,                  A,-3.180415255897e-01, 1.667932371385e-01, 3.758884290354e-01
                  A, 1.249465439228e+00,-7.818270026377e-01,-2.160179783406e+00,                  B, 1.506780907218e+00, 6.440194054055e+00, 2.959015899701e-01
