#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-2.604486587046e-02, 4.446668831732e-02, 6.059449328494e-02,                  A,-8.670708688219e-01,-9.672478836891e-02, 8.426268242733e-01
                  A, 1.366289193527e+00, 9.621580987428e-01,-5.178425928690e-01,                  B, 3.897299927178e-01, 1.131125155573e+00, 6.249010047553e-02
                  B, 2.418999268162e+00,-2.059614300644e+00, 1.248625570623e+00,                  A,-1.546084552149e+00, 6.670186612412e-01,-6.045665239921e-01
                  A, 6.059923672571e-01, 6.539281767058e-01,-4.486488042125e-01,                  B, 1.213384529893e+00,-2.720647514088e-01, 1.278266843497e-01
                  A,-1.033122885372e-01, 4.454013120224e-01,-3.209422722035e-01,                  B, 2.940404144948e+00, 1.777718552760e-01,-6.461251136127e-01
