#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A, 1.524115202685e+00,-4.772881820187e-02,-3.138765736349e+00,                  B, 1.486206395686e+00,-7.940160592618e-01, 6.573976096241e+00,                  A,-1.869369473025e+00,-4.150562783413e+00, 2.161297163960e+00,                  B,-3.853811911851e+00,-2.693849268107e+00,-6.494014013550e+00
                  A, 3.074676815687e+00, 3.168826714892e-01, 1.242655898322e+00,                  A, 1.615178599346e+00, 2.047625791843e+00,-2.004003289387e-03,                  B, 2.361516469200e+00,-1.992639305320e+00, 7.587085319889e-01,                  B, 5.550593647028e+00, 4.883075116126e-01, 3.143262781712e+00
                  B,-4.721295579252e-01,-2.049232763997e+00,-9.990776889738e-01,                  A,-1.720594740339e+00, 3.204353240010e+00, 1.614726296082e-01,                  A, 1.118434947004e+00,-3.839745157782e+00, 5.651722834810e+00,                  B,-2.089851559623e-01,-4.835336191983e+00, 1.322735430388e+00
                  B,-5.915407551079e+00, 5.035985688396e-01,-6.176571875641e+00,                  B, 4.235442572785e+00,-4.217315389200e-01, 1.661284064005e+00,                  A, 9.476030845456e-01,-2.749259327193e+00,-1.662730585240e+00,                  A, 2.952029062514e+00, 3.878892306412e+00,-3.485299112038e+00
                  B,-5.836787052689e-01,-4.352295542154e+00, 3.763685209583e+00,                  B, 2.955134691856e-01,-1.898872994236e+00,-3.648708506425e+00,                  A,-1.236240434101e+00, 6.829188677721e+00,-5.509105343011e+00,                  A,-3.460095205666e-01, 4.150544231609e+00, 2.289179412637e+00
