#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 5.612207753347e+00,-9.329625441868e-01, 4.208501355451e+00,                  A,-3.974823634583e+00, 5.320552993297e-01, 8.764923890092e+00,                  B,-4.669267351662e+00,-3.478133740528e+00,-5.140544318008e-03,                  A,-4.448979493474e+00, 1.681504644391e+00,-3.244895574409e+00,                  A,-1.276876661802e+00, 2.614799588433e+00, 1.478776868184e+00,                  B, 2.189779431431e-01, 4.997298928783e+00, 2.528190285372e+00,                  A,-3.085152113161e+00, 4.906635651636e+00,-2.622576187952e+00,                  B,-2.883918197776e-01, 1.728732322415e-01,-2.872950596458e+00
                  B, 5.598866540655e+00, 6.051642091237e+00, 3.290171253713e+00,                  A,-4.893050047220e+00, 5.329451717806e+00, 7.716623624859e-02,                  B,-6.903220669205e+00,-6.036879776795e+00,-6.108378594532e-01,                  B,-1.478053016163e+00,-3.787176767964e+00,-4.467125013984e+00,                  A, 3.692984815394e+00,-1.676234263992e+00,-2.079027204935e+00,                  A, 1.479294192053e+00, 2.535148904601e-01, 5.835139249714e+00,                  A, 1.702397557640e+00,-1.503227108012e+00,-2.369254096167e+00,                  B, 9.086383413071e-01,-1.832551303887e+00, 1.639276590112e+00
                  A, 3.554822109754e+00, 4.587937684766e+00,-3.122535038388e+00,                  A,-2.889667837053e+00, 6.236801744355e-01, 4.746747523159e+00,                  B, 1.785504010239e+00, 1.638893987726e+00,-1.734132902743e+00,                  B, 1.959279932787e-01,-5.093428349963e-02, 1.493762368278e+00,                  B, 1.998880860040e+00,-1.143927373085e+00,-3.985754067017e+00,                  A, 3.877158934743e+00, 1.575965898844e+00,-4.623122670229e+00,                  B, 5.998321393247e+00, 1.888432811290e+00, 1.508482542234e+00,                  A, 1.247362501996e+00,-5.647982472062e+00, 4.257145310969e+00
                  A, 1.059449184836e+00,-4.850011352631e+00, 2.508447315182e+00,                  B, 1.455512904353e+00, 1.496387424276e+00, 6.953446031062e+00,                  A,-2.180335172187e+00, 3.072818330736e+00,-1.829264162978e+00,                  A, 7.089899611454e-01, 1.308881244878e-01, 1.446474931314e+00,                  A, 5.825882945559e+00,-2.985493362792e-02, 5.026755779093e+00,                  B,-6.578516558152e-01, 4.597299922812e-01,-1.361402094426e-02,                  B, 3.700881199144e+00, 8.626816773927e-01, 2.789912674822e+00,                  B,-2.393534945826e+00,-7.761615454402e-01, 2.424126040580e+00
                  A, 6.264172294261e+00, 2.646016762976e+00, 1.525236710842e+00,                  A,-1.781661822934e+00, 6.594156073470e-01,-4.494488835092e+00,                  B,-1.195852129263e+00, 2.538942460996e+00,-2.456925103230e-02,                  B, 3.503936956461e+00,-3.391959299098e+00,-2.089197215117e+00,                  B, 2.192251185822e-01,-1.279855811512e+00,-2.350378357818e+00,                  A,-3.268486205719e-01, 1.813984637395e+00,-2.530301910358e+00,                  A,-2.500354050492e+00, 1.972917159890e+00,-8.260774833544e-02,                  B, 1.071512060355e+00, 1.488269442260e+00,-2.759594077899e-01
