#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 5.625473457101e-01, 2.118189218860e+00,-9.874864189508e-01,                  A, 5.643985100502e-01,-6.111313675629e-02,-9.873562203780e-01,                  A, 1.770402335967e+00,-3.966429858163e-01, 1.862165913797e+00,                  B,-2.215513806994e+00,-1.026760827207e+00, 4.861245134112e-01,                  A, 3.476229792409e-01,-2.554662902383e+00, 1.251835590775e+00,                  A,-8.516298338408e-01,-1.066938347717e+00, 1.900259326684e-01,                  B, 1.081202345661e+00,-7.380556949989e-01,-1.153904186757e-01,                  B,-7.869854625586e-01, 1.379776369622e+00, 2.142689100524e-01
                  A,-1.385577709403e+00,-1.387427130044e+00, 8.721693396369e-01,                  B,-2.429039734247e-02,-1.388783740052e+00,-3.025574763959e-01,                  A,-8.162428543742e-01,-1.409949025926e-01,-2.526202730742e+00,                  A,-1.648112305271e+00, 1.249755870024e+00, 3.299946684891e-01,                  B,-4.512564206984e-01, 7.402995754637e-01,-2.392970378683e-01,                  A,-8.790499772963e-01, 2.338301110858e+00,-2.627288951121e-01,                  B, 5.681514185499e-02,-5.831031984935e-02, 1.322714653752e+00,                  B, 1.833673863731e+00,-2.290906707353e-01,-4.403209657297e-02
                  B, 1.689904935465e-01,-1.573032801885e+00, 4.021411187401e-01,                  A, 9.111906343788e-01, 2.462228443965e+00, 1.674501759303e+00,                  A, 5.513716200618e-01,-2.305306655823e+00,-9.339741046028e-01,                  B, 1.442698508737e+00, 5.168878552983e-01, 1.297620181255e+00,                  B, 1.401539293435e-02,-3.757119670766e-01,-1.107454956549e-01,                  B, 2.431984850026e+00,-4.893084489730e-01, 1.195868843663e+00,                  A,-9.519177082816e-01, 2.267476595092e-01,-1.229590929379e+00,                  A, 2.930113315984e-01, 3.956064458062e-01, 1.049121684445e+00
                  B, 9.216297919776e-01,-6.230178967553e-01, 1.977033072816e+00,                  A, 8.073296334678e-01,-1.663838018563e+00,-1.543157369713e+00,                  B,-6.134577028581e-02,-2.622941232779e+00,-8.385466130204e-01,                  A,-1.191673889056e+00,-1.100259131415e-01, 8.701342395863e-01,                  A, 2.651745030686e-01, 4.187473034189e-01,-1.518576525570e-01,                  A,-2.040984753913e+00, 9.605790253373e-01,-3.924348221585e-01,                  B, 2.492000740729e+00, 1.213696343415e+00,-3.203337118421e-01,                  B, 1.742177292685e+00, 2.005853118492e+00, 2.599705720686e-01
                  A,-1.111671588634e+00,-3.140903331618e-01,-1.299713740813e+00,                  A, 2.120786179725e+00,-4.574652569382e-01, 1.242608820542e+00,                  B, 1.220822667371e+00, 1.154493182826e+00,-1.033967406875e+00,                  B,-4.170685681372e-01,-1.225676453993e+00, 9.715509631914e-01,                  B, 8.762161614369e-01,-4.467483401776e-01,-7.209404564705e-01,                  A,-8.474177591917e-01, 2.571518329352e+00, 1.732255953242e+00,                  A,-2.092997918991e+00,-5.054576775690e-02, 2.724687224975e+00,                  B,-1.769394676751e-01, 2.270130409125e+00,-4.443905044739e-01
