#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 2.258777453559e+00, 5.882809945854e+00,-3.113312288379e+00,                  A, 1.475125617340e+00, 1.258388278503e+00, 4.559604596566e-01
                  B, 1.150079268377e+00,-1.281072846677e+00,-1.966273233391e+00,                  A,-2.047383362069e+00,-2.811402217387e+00, 2.626370189266e+00
                  B, 5.661483226595e+00,-5.171461099500e+00, 3.859899993558e+00,                  A,-2.119654505295e+00,-8.882552342711e-01,-5.838807369468e+00
                  A,-1.919803870618e+00, 3.850532736381e+00, 4.135754198119e+00,                  B,-8.231560165724e-01, 2.896537944132e+00,-5.239831621381e+00
                  A,-4.250439353898e+00, 4.873263540605e+00, 6.856453097330e+00,                  B, 4.356117695728e+00, 3.532602138328e+00,-4.111799780210e+00
