#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-5.922307809797e-02, 7.897180347063e-01, 3.699729747159e-01,                  A, 1.051408472965e+00, 1.051867416828e+00, 1.440656088660e+00,                  B, 8.542165165739e-01, 1.432838790247e+00, 6.998550293779e-01,                  B,-1.421801770604e+00, 8.235405333410e-01, 2.697459896824e+00
                  B,-1.089357684056e+00,-1.230301721178e+00,-2.399722689679e+00,                  A,-6.345144506260e-02,-6.538469411126e-01, 7.059780876241e-01,                  A, 1.122484738741e+00,-1.725700485568e+00,-1.855826314271e+00,                  B, 6.106746688560e-01,-1.980767109397e+00, 1.925478189611e+00
                  B,-8.953631907782e-01, 3.781208697041e+00,-1.647381436300e+00,                  A, 1.108700411617e+00, 3.415588272617e-01, 1.271458181147e-02,                  B, 4.434432766605e-02, 3.127098825935e+00, 3.382188746384e-01,                  A, 2.467724567033e+00,-9.456912902808e-01, 3.785907333678e+00
                  B,-4.229314558672e+00,-1.824712578436e+00, 1.109358440062e+00,                  B,-2.053738484376e+00, 9.646559281247e-01,-4.218479072574e-01,                  A, 7.616356290245e-01,-1.595041562810e+00, 5.812696298970e-02,                  A,-9.166306411387e-01,-2.492976019742e+00,-6.503593088414e-01
                  B,-3.175578757426e-01, 2.125176970204e+00, 4.645455488282e-01,                  B, 3.715519039641e+00, 1.701781817024e+00, 8.183605069164e-01,                  A,-9.870650357718e-01, 6.862325031668e-01,-1.677897480601e-01,                  A, 2.584112040052e-01, 1.590390222680e-01, 1.288091165172e+00
