#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-1.141229642565e+00, 1.097686154102e+00,-2.616764446024e+00,                  B,-1.613447666381e+00,-7.578304484468e-01,-6.026687556158e-01
                  B, 5.068235640716e-01,-9.981612886206e-01,-1.884625810222e+00,                  A,-2.602458457895e-01,-6.540516032045e-01,-6.671249718618e-01
                  A,-3.213646529855e-01, 7.912855018385e-01, 1.915214063448e+00,                  B,-6.630288417941e-01, 6.818087966225e-01,-2.372067010459e+00
                  A,-4.075660991161e-01, 8.893256708614e-02, 5.104403448299e-01,                  B,-2.121639268166e+00, 1.834133313779e+00,-8.555577953850e-01
                  B,-8.418100903092e-01,-1.123420879953e+00, 2.586044838392e+00,                  A, 4.959904257783e-01, 5.328427432130e-01,-2.303535588547e-01
