#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-2.268365203193e+00, 2.697647620362e+00, 1.723871480947e+00,                  A, 3.675366362072e+00,-4.161432288028e+00,-1.036341438589e+00
                  B, 9.317313482190e-01,-5.869479360255e-01, 1.664810543385e+00,                  A, 2.198745057990e+00,-2.656589145783e+00, 1.246379663673e+00
                  A, 1.873849064397e+00, 6.705281065848e-01, 6.883499486377e-01,                  B,-1.099340282608e-01,-2.701225395066e+00, 2.029063929214e+00
                  B, 7.394852217579e-01, 5.853478558004e-01, 9.384204578374e-01,                  A, 3.187126928235e+00,-4.920242650381e+00, 1.439713340331e+00
                  A, 2.619734893946e+00,-8.868907300404e-01,-1.688910219358e+00,                  B,-2.032933423024e+00,-3.616516732968e-01,-1.627099823434e+00
