#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B,-5.731464751084e-01,-1.076254050769e+00,-2.434544869541e-01,                  B,-1.664365799408e-02, 1.295592035645e+00,-1.316315610711e+00,                  A,-7.701492436652e-01,-7.224037941144e-01, 2.956447013381e+00,                  A, 1.571844796400e+00, 7.151855327866e-01, 1.981219611787e+00,                  A,-2.336062410140e+00, 7.772346399079e-01,-2.626566178008e+00,                  B, 4.451181780548e-01, 2.827468382040e+00, 1.447630175550e+00
                  B, 6.518340546519e-02, 2.191275250430e-01,-1.186745360072e-01,                  B,-2.745748802023e+00, 2.115039451290e+00, 2.757388554239e+00,                  A, 1.143329544935e+00,-4.375362322119e-01,-2.502447343831e+00,                  B,-2.904841984981e+00,-1.644457809417e+00,-1.887061380232e+00,                  A,-1.002403854390e+00,-1.323306883941e+00,-1.767759922259e-01,                  A, 8.903562035109e-01,-2.177759078713e+00,-1.422215874360e+00
                  A, 5.114444860918e-01, 3.169202434745e+00,-1.699490488328e-01,                  B, 3.771357556272e-01, 1.355175639977e-01, 1.756209338273e+00,                  A, 1.968930176582e+00,-1.581769425578e+00,-2.360071316286e+00,                  A, 4.625601584579e-01,-1.315252184533e+00, 6.533356314172e-01,                  B,-1.606613154946e+00, 1.671544184537e+00, 1.869749918475e+00,                  B, 6.593822799828e-01, 1.039314496569e+00,-6.273391289012e-01
                  A,-3.772562969091e+00,-2.742831116410e+00, 1.115248533278e+00,                  A, 1.568783767804e+00,-1.093016534009e+00,-1.885617403562e+00,                  A,-2.584829782411e+00, 7.967584364591e-01,-1.131297345203e+00,                  B,-5.039250503992e-02,-6.709575345733e-01, 1.878897393435e+00,                  B, 1.138664394449e+00, 2.918898032170e+00, 1.309569651582e-01,                  B,-4.133770221329e-01, 1.241067241821e+00, 1.266426072727e-01
                  A, 1.177332969832e+00,-2.748164144679e+00,-1.400539565465e+00,                  A, 2.118288461505e+00,-1.647129047413e+00,-2.751458993572e+00,                  B,-6.638812626415e-01,-2.006725400757e+00, 1.519486483267e+00,                  B, 9.977022316168e-01,-9.091762355551e-01, 1.700161970462e+00,                  B,-2.637038062677e+00,-6.143622954130e-01, 1.469570529289e+00,                  A, 2.358757363503e+00,-1.126290161230e-01, 6.491247860503e-02
