#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-1.694304007173e-01, 1.775653599520e+00,-6.061027292291e-01,                  A,-1.279260541956e+00, 5.294046391711e-02, 7.508207639686e-01
                  B, 4.526984086884e-01, 1.313247690052e+00,-4.551857287587e-01,                  A, 1.486273614739e+00, 1.569842538011e+00, 1.042843323592e+00
                  B, 3.625674287808e-01,-8.908274409238e-01,-1.097933026827e+00,                  A,-3.485072831999e-01, 4.737363800876e-01, 4.436229648838e-01
                  B, 2.274260602059e+00, 4.833062045583e-02,-1.679283145100e+00,                  A, 2.851352433534e+00, 2.915622106538e+00, 1.050718789400e+00
                  B, 2.719349812649e-01, 3.093231921576e-01,-1.030861559111e+00,                  A,-2.417658789444e+00, 1.572877391954e+00,-7.366189460355e-01
