#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-5.220463113753e+00, 1.714222908491e+00, 2.072343994449e+00,                  B,-5.493850861941e-01, 2.735829145643e+00,-6.386463388225e-01,                  A, 2.481891356367e+00,-1.202994290086e+00, 3.681186888941e-01,                  A,-2.202132487192e+00, 2.341347420675e-01, 7.056429148711e-01
                  B, 7.692807717759e-01,-3.370440070285e+00,-2.018905149368e-01,                  B, 2.843499576114e+00,-3.571809774463e+00, 1.125856828660e+00,                  A, 9.531750712347e-01,-4.746152817755e+00,-1.346950103940e+00,                  A,-4.414077241912e+00,-2.191861995460e+00, 3.825200280890e+00
                  B, 4.333805818910e+00, 2.855953813707e+00, 3.923061858423e-01,                  B, 2.503843171824e+00,-4.594682972557e-01, 2.520382724883e+00,                  A, 4.135021857826e-01,-1.380052338372e+00,-2.466690654541e+00,                  A,-7.327009107688e-01,-2.394870165961e+00, 5.549735212581e-01
                  A,-1.722170486328e+00, 4.033814088662e+00,-4.070463945982e-01,                  B,-2.733879809633e+00, 3.282557073241e+00, 1.859440275946e+00,                  B,-8.754071097358e-01, 6.605076338809e-01,-1.424569465438e+00,                  A,-3.575145812722e+00,-3.094334187180e+00,-3.132076831313e-01
                  B,-1.001336438295e+01, 5.141773294761e+00,-4.829271770401e-01,                  B,-7.234132428282e-01,-1.957453202739e+00,-1.163885309850e+00,                  A, 4.357653437753e+00, 2.047350143721e+00,-3.974689623593e+00,                  A,-4.149427606074e-01,-1.025621885363e+00, 2.380296732804e+00
