#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-1.580766326247e+00, 1.334257398963e+00,-2.556398982489e+00,                  B,-5.957447449590e-01,-3.277852803042e-02,-1.387226069898e+00
                  B,-6.748725213561e-01, 1.029549619724e+00, 6.432904639147e-02,                  A,-2.105479156243e-02, 1.231654709734e+00,-1.082283918836e+00
                  B, 1.321877460469e+00,-2.371895521173e+00,-1.517913196851e+00,                  A,-1.461961845298e+00, 1.154383085857e-01,-6.334591003682e-02
                  A,-5.886807080431e-01, 9.945699659757e-01,-1.166692862282e-01,                  B,-7.876027919124e-01, 1.097009199647e+00,-2.666040521599e+00
                  A,-7.038823566584e-02, 2.483787240903e-01,-1.181443230157e+00,                  B,-1.434207280685e+00,-7.982931083042e-01,-1.549920748282e+00
