#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-5.752206440129e+00,-1.115096094019e+00,-2.296308476123e+00,                  A,-2.520565745715e+00, 1.468123708998e+00, 1.470271504085e-01,                  A, 3.262563428890e+00,-1.692328629655e+00,-2.810783889861e+00,                  B, 1.882946483338e+00,-5.626605041201e+00, 1.037962661422e+00,                  A,-7.001132254253e-01,-1.720965287360e+00,-1.293970585646e+00,                  B,-1.605155948217e+00,-1.041550474764e+00,-3.349566676761e+00,                  A,-1.448790790345e-01,-1.807978800435e+00, 3.750615434144e+00,                  B,-5.688944535633e-01, 1.044585026660e+00, 1.849753663482e+00
                  B, 1.137417143320e-01, 6.755988114018e-01,-8.426358972763e-01,                  A, 1.016268834496e+00,-1.735314421871e+00, 2.886706124105e-01,                  A,-7.418073574072e-01, 2.933642843807e+00, 7.701347970513e-01,                  B,-2.138947874149e+00, 4.313451476737e+00,-5.103088044957e+00,                  A, 1.824503885663e+00,-2.311186249986e+00, 6.818399093378e-01,                  B,-1.186396471073e+00, 2.147481448837e+00, 1.755313841648e+00,                  B, 5.683128233736e-01,-2.407207985785e+00,-5.413939842833e+00,                  A,-1.837860513364e+00, 3.417426634784e+00,-1.472729066753e+00
                  B, 7.342759346975e-01, 1.437319515417e+00,-2.947742648065e+00,                  A, 7.353376333217e-01,-2.223884491707e+00, 2.482834157921e+00,                  A, 1.936694393846e+00, 2.019531504840e+00, 2.149717375824e+00,                  B,-1.337957164173e+00,-8.494717063413e-01,-7.605240434770e-01,                  B, 4.064926494575e+00,-1.977430730236e+00,-3.164546840279e-01,                  A, 3.378843549532e-01,-1.096116809482e+00, 6.806858759393e+00,                  A, 1.119793358352e+00,-1.749729345615e-01, 1.046463779468e+00,                  B, 3.801163900870e+00, 2.236911856203e+00,-1.895834327332e+00
                  B, 2.627065330304e-02,-2.321780884894e+00,-4.258456322325e+00,                  B, 1.227576479975e+00, 2.029651028392e+00, 2.059218887985e+00,                  B,-1.170749732229e-02,-3.312343517165e-01,-3.028215376467e+00,                  A,-4.610159415248e+00,-2.610064728284e+00,-3.109172360497e+00,                  B, 2.258345806239e-01, 1.081644872491e+00, 3.526058289835e+00,                  A, 4.633698941275e+00,-1.498995934629e+00,-2.817014365378e+00,                  A, 3.588020202303e+00, 1.790702211995e+00, 1.445220147589e+00,                  A, 4.837049139599e-01,-2.820789902416e+00, 2.382832727386e+00
                  B, 5.140903860338e-01,-8.213196863877e-01,-3.544500912536e+00,                  A, 1.438080998499e+00, 9.132943238829e-01, 9.741140025433e-01,                  A, 2.306143855597e+00,-1.588921044863e+00,-2.140171252902e+00,                  B, 1.941807178000e+00, 4.490523420980e+00,-1.363834554190e+00,                  B,-2.117180388731e+00,-2.806713200589e+00,-2.160987427519e+00,                  B,-1.282304490458e+00,-1.843398497952e-01,-5.564157816440e-01,                  A,-2.492405758488e+00,-2.584361389981e+00, 2.396939586708e+00,                  A, 2.838751600567e+00,-3.501932231609e+00, 3.111058646965e+00
