#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B,-2.340040937618e+00, 5.527190156117e-01, 1.125718760622e+00,                  A,-3.452726376257e+00,-5.926520764733e+00, 3.552573272070e+00
                  B, 2.941050540607e+00, 5.480383196800e-03,-2.023433225860e+00,                  A, 1.243972733680e+00,-6.715387823576e-02, 1.476033119659e+00
                  B, 4.155150020137e-01, 3.636411832662e+00, 4.123188213952e+00,                  A, 8.625377604714e-01,-5.736695578361e-01, 2.151179031527e+00
                  B,-1.843016456542e-01,-2.969719508428e+00, 1.096531004494e+00,                  A,-2.825694620561e-01, 1.917525152532e-01,-1.776393297053e+00
                  B,-2.929638004907e+00,-2.035878805512e+00, 6.408704881045e-01,                  A, 1.264859994790e+00,-1.274226180418e+00, 4.506165645235e+00
