#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B, 4.255865173363e-01,-1.149283101248e+00, 1.148579080241e-01,                  B,-1.977859462845e+00,-2.177592385079e+00,-3.164658634827e-01,                  A,-2.924802645784e-02, 1.389862185440e+00,-1.739246456375e-01,                  B, 1.473539934940e+00,-5.830533228661e-01, 4.053212248574e-01,                  A,-5.852713054914e-01,-2.006786428169e+00,-1.098018519649e+00,                  A, 2.078592724845e+00, 4.534888715490e-01, 6.924269353634e-01
                  A,-1.078345720549e-01,-1.238162648106e-01,-1.334144986085e+00,                  B,-1.251622245962e+00, 6.018335455274e-01,-1.491340198315e+00,                  B,-1.995242087787e+00,-4.969701818443e-01, 1.527900524015e+00,                  A,-2.357323894701e-01, 3.516283789761e-01, 4.111439666553e-01,                  A,-3.310100405859e-01,-1.695879756691e+00,-3.830335007648e-01,                  B, 6.899239950676e-01,-1.248950383813e+00, 2.258014252817e+00
                  A,-1.812222158478e-01, 6.979927147666e-01, 1.001430148964e+00,                  B,-9.812255303767e-01,-1.899420379940e+00, 2.019397875742e-01,                  A, 2.627017722302e+00, 6.667617570396e-01,-4.687305361092e-01,                  B,-9.519301475603e-01, 1.051579014771e+00, 8.331947664810e-02,                  A,-1.102866401309e+00, 7.575177497102e-02,-5.477066629950e-01,                  B, 1.242722136581e+00,-9.072179147290e-01,-9.848951847955e-02
                  A, 1.232501905928e+00, 5.563683674520e-01,-2.048627796272e+00,                  A, 7.055849152047e-01,-9.742391891802e-01,-2.589526904669e+00,                  B,-9.257595344599e-01,-2.448321238868e+00,-1.429592304780e+00,                  B, 4.105452286290e-01, 2.688197704989e+00, 1.288942695053e+00,                  A, 1.372577509653e+00, 4.533194218315e-01,-5.239433381613e-01,                  B,-1.663643646434e+00, 1.610975136656e+00,-8.728987953209e-01
                  B,-1.409099801311e-02, 1.275076404195e+00,-3.162077370581e-01,                  B,-1.119227854195e+00, 9.785775872025e-01,-1.216357086252e+00,                  A, 8.888405084078e-01, 9.230259555857e-01, 2.116977421246e+00,                  B, 1.114559176826e+00,-2.408330976332e-01, 1.157505813154e+00,                  A,-7.537977428264e-01,-1.667834930892e-01,-2.179606418841e+00,                  A, 2.443474363301e+00,-1.128144420561e+00, 1.117423172996e+00
