#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B, 5.153247609454e+00, 1.214505865554e+00,-7.872267314263e-01,                  B, 2.122688487604e+00,-4.609269175524e+00,-5.205345910763e+00,                  B,-1.002286532585e+00,-1.575165437427e-01,-1.605863986040e+00,                  A,-4.917579075671e-01,-8.777258288220e-01,-4.780160454970e+00,                  A,-2.669894260011e+00, 1.581013438285e+00,-6.523500110825e+00,                  A, 1.094509529145e+01,-3.721996805116e-01,-5.223892773147e-01
                  A,-3.579140547003e+00, 4.145239843952e+00, 1.223123931385e+00,                  A,-3.180875286020e+00,-1.521980422244e-01,-3.883827301259e+00,                  B,-1.010999286750e+00,-2.005583680678e+00,-2.665094355893e+00,                  B,-3.964284895082e-01,-2.535664350365e+00, 3.590947775562e-01,                  A, 1.542464843018e+00,-5.396526877112e+00, 6.495045536314e-01,                  B, 1.450089464574e+00, 1.067422040622e+00, 2.851692820605e+00
                  B, 9.836524952246e-01, 4.480837086209e+00, 7.052427809568e-01,                  B, 4.282426268210e+00, 3.524658460114e+00,-2.867519373676e+00,                  A, 1.167118789611e+00,-5.077831915711e+00, 2.891284670603e+00,                  A, 2.234925044990e+00, 4.612658424421e-01,-1.716090333529e+00,                  A, 5.478408276370e-01, 1.315042506952e+00,-2.625212006439e+00,                  B, 1.526809307521e+00,-1.008410662481e+00, 7.386591982039e-01
                  A,-4.064644435421e+00, 2.922847635105e+00, 1.796821033693e+00,                  A, 1.404590409184e+00, 1.310609100748e+00,-2.279412618023e+00,                  A,-1.000012383297e+00, 2.098659821778e+00, 1.135207580484e-03,                  B,-6.960622004005e-01,-4.106565177621e+00,-1.037566120375e+01,                  B, 1.971988789448e+00, 2.651936179137e+00, 3.914972006877e+00,                  B, 2.447236344730e+00, 4.456290878538e+00, 1.246956867361e+00
                  A, 1.162177237251e-01,-1.983724488182e+00, 2.243066400789e+00,                  B, 3.086612634062e-01,-3.714726382493e+00,-1.116120945388e+00,                  B,-2.090102191639e+00,-1.415575163231e+00, 4.120484917740e+00,                  B, 3.747651830176e-01,-1.747044951235e+00,-5.059923066329e+00,                  A, 2.865376405910e+00, 2.691452929539e+00,-1.240101223571e+00,                  A, 4.034937831826e+00, 7.075214784736e+00,-2.304681905686e+00
