#          thread_idx,                error,           selected_k
                    0,  1.3463892655810e-05,                    6
                    0,  1.5307300082394e-05,                    6
                    0,  1.7075331254535e-05,                    6
                    0,  1.8172985010516e-05,                    6
                    0,  1.8963209109568e-05,                    6
                    0,  1.9450930182794e-05,                    6
                    0,  1.9687840545286e-05,                    6
                    0,  1.9860751676471e-05,                    6
                    0,  1.9887244301019e-05,                    6
                    0,  1.9669535943483e-05,                    6
                    0,  1.9547784912615e-05,                    6
                    0,  1.9387822078568e-05,                    6
                    0,  1.9068825940927e-05,                    6
                    0,  1.9064073622378e-05,                    6
                    0,  1.9684718074113e-05,                    6
                    0,  1.8687402832557e-05,                    6
                    0,  2.0372703338543e-05,                    6
                    0,  2.0492556978711e-05,                    6
                    0,  2.2487153143480e-05,                    6
                    0,  1.8282951694221e-05,                    6
                    0,  1.3914773553924e-05,                    6
                    0,  3.2123687055241e-06,                    6
                    1,  1.4121985948364e-05,                    6
                    1,  1.6155158839335e-05,                    6
                    1,  1.7533209910668e-05,                    6
                    1,  1.8551025093512e-05,                    6
                    1,  1.9214401679090e-05,                    6
                    1,  1.9642062329573e-05,                    6
                    1,  1.9844312646601e-05,                    6
                    1,  1.9999242571758e-05,                    6
                    1,  1.9936246745550e-05,                    6
                    1,  2.0017031834972e-05,                    6
                    1,  1.9890849878306e-05,                    6
                    1,  1.9995830725219e-05,                    6
                    1,  1.9809194679150e-05,                    6
                    1,  1.9561363129945e-05,                    6
                    1,  1.9789041936998e-05,                    6
                    1,  1.9937956873738e-05,                    6
                    1,  1.9630266899879e-05,                    6
                    1,  1.8226963487728e-05,                    6
                    1,  2.0309431513470e-05,                    6
                    1,  2.1681001110742e-05,                    6
                    1,  2.4788127934317e-05,                    6
                    1,  1.5311407261245e-05,                    6
                    2,  1.4796281337061e-05,                    6
                    2,  1.6306019910321e-05,                    6
                    2,  1.7678462681044e-05,                    6
                    2,  1.8697096434445e-05,                    6
                    2,  1.9369505040649e-05,                    6
                    2,  1.9747463565466e-05,                    6
                    2,  1.9966601683481e-05,                    6
                    2,  1.9983639377591e-05,                    6
                    2,  2.0010113355843e-05,                    6
                    2,  1.9851115824085e-05,                    6
                    2,  1.9717264282857e-05,                    6
                    2,  1.9963150578332e-05,                    6
                    2,  1.9743180513286e-05,                    6
                    2,  1.9912128429539e-05,                    6
                    2,  1.9783479627340e-05,                    6
                    2,  2.0102255740493e-05,                    6
                    2,  1.9360771096774e-05,                    6
                    2,  1.8505184697923e-05,                    6
                    2,  1.5002724338046e-05,                    6
                    2,  1.1469556993475e-05,                    6
                    2,  9.3079728442096e-06,                    6
                    2,  4.8055177091424e-06,                    6
                    3,  1.3459727275399e-05,                    6
                    3,  1.5477772440800e-05,                    6
                    3,  1.7315745032305e-05,                    6
                    3,  1.8362541842375e-05,                    6
                    3,  1.9083382258683e-05,                    6
                    3,  1.9505377729940e-05,                    6
                    3,  1.9760513073320e-05,                    6
                    3,  1.9884605188467e-05,                    6
                    3,  1.9894906565854e-05,                    6
                    3,  1.9912361214135e-05,                    6
                    3,  1.9819374633382e-05,                    6
                    3,  1.9970538561500e-05,                    6
                    3,  1.9918952492828e-05,                    6
                    3,  2.0448545709389e-05,                    6
                    3,  2.0122794685120e-05,                    6
                    3,  1.9348608558528e-05,                    6
                    3,  1.9067995073487e-05,                    6
                    3,  1.9257979891269e-05,                    6
                    3,  1.7871255582249e-05,                    6
                    3,  8.9383187326840e-06,                    6
                    3,  1.0514489912349e-05,                    6
                    3,  6.1857745647003e-06,                    6
