#          thread_idx,                error,           selected_k
                    0,  2.1038733183191e-04,                    7
                    0,  2.8432654595204e-04,                    7
                    0,  3.7784698427377e-04,                    7
                    0,  4.7764335857518e-04,                    7
                    0,  5.6684012126182e-04,                    7
                    0,  6.3368227714917e-04,                    7
                    0,  6.7481395188330e-04,                    7
                    0,  6.9035124715717e-04,                    7
                    0,  6.9690966865646e-04,                    7
                    0,  7.0125082745071e-04,                    7
                    0,  6.9649273070619e-04,                    7
                    0,  6.8587096734099e-04,                    7
                    0,  6.9257908877728e-04,                    7
                    0,  7.0677126658412e-04,                    7
                    0,  6.8252054429708e-04,                    7
                    0,  6.8213010950392e-04,                    7
                    0,  7.1210458331935e-04,                    7
                    0,  7.3518837210440e-04,                    7
                    0,  8.0827929858444e-04,                    7
                    0,  6.7450069644986e-04,                    7
                    0,  4.8893379717589e-04,                    7
                    0,  6.7054724493315e-04,                    7
                    1,  2.1632332850085e-04,                    8
                    1,  2.9280440330081e-04,                    8
                    1,  3.9157625292996e-04,                    8
                    1,  4.9857473581194e-04,                    8
                    1,  6.1077574136446e-04,                    8
                    1,  6.9357022877725e-04,                    8
                    1,  7.2721354218187e-04,                    8
                    1,  7.4498600748577e-04,                    8
                    1,  7.5315613765287e-04,                    8
                    1,  7.5879306841359e-04,                    8
                    1,  7.6751869334715e-04,                    8
                    1,  7.5883366183757e-04,                    8
                    1,  7.6436811650198e-04,                    8
                    1,  7.6843386487362e-04,                    8
                    1,  7.7816502602043e-04,                    8
                    1,  8.2038939257509e-04,                    8
                    1,  7.4812611997702e-04,                    8
                    1,  7.0976320387271e-04,                    8
                    1,  7.3604916548548e-04,                    8
                    1,  3.9070464742038e-04,                    8
                    1,  3.8031061152224e-04,                    8
                    1,  3.1366463676890e-04,                    8
                    2,  2.0558340752306e-04,                    8
                    2,  2.7727746961028e-04,                    8
                    2,  3.6158418971002e-04,                    8
                    2,  4.6235724272502e-04,                    8
                    2,  5.4169015475283e-04,                    8
                    2,  6.1198571038407e-04,                    8
                    2,  6.3472742227178e-04,                    8
                    2,  6.4469636285076e-04,                    8
                    2,  6.5131944301465e-04,                    8
                    2,  6.5817755987670e-04,                    8
                    2,  6.5632194429018e-04,                    8
                    2,  6.5115092391118e-04,                    8
                    2,  6.4979420162459e-04,                    8
                    2,  6.4607998635667e-04,                    8
                    2,  6.3711110145213e-04,                    8
                    2,  6.6211514872692e-04,                    8
                    2,  6.4770225038168e-04,                    8
                    2,  6.8244180912562e-04,                    8
                    2,  6.1194715400558e-04,                    8
                    2,  6.2924434295247e-04,                    8
                    2,  4.3335561014692e-04,                    8
                    2,  5.4946332263114e-04,                    8
                    3,  1.9424578437421e-04,                    9
                    3,  2.6131896687398e-04,                    9
                    3,  3.4292320416188e-04,                    9
                    3,  4.3428275560026e-04,                    9
                    3,  5.1376704529984e-04,                    9
                    3,  5.6303561130280e-04,                    9
                    3,  5.9184846374962e-04,                    9
                    3,  6.1064827395780e-04,                    9
                    3,  6.1884206645638e-04,                    9
                    3,  6.2508716009591e-04,                    9
                    3,  6.3482303963435e-04,                    9
                    3,  6.3577481447156e-04,                    9
                    3,  6.3658704346482e-04,                    9
                    3,  6.5004674885497e-04,                    9
                    3,  6.4531567569291e-04,                    9
                    3,  6.5140188429893e-04,                    9
                    3,  6.3377403134094e-04,                    9
                    3,  6.4349112246592e-04,                    9
                    3,  7.1075793006808e-04,                    9
                    3,  7.2011141223495e-04,                    9
                    3,  7.0038552170179e-04,                    9
                    3,  3.0856712520804e-04,                    9
