#          thread_idx,                error,           selected_k
                    0,  7.2304169903137e-05,                    8
                    0,  8.9938493508839e-05,                    8
                    0,  1.0933529833192e-04,                    8
                    0,  1.2441209771002e-04,                    8
                    0,  1.3487863550689e-04,                    8
                    0,  1.3933156828404e-04,                    8
                    0,  1.4136794741583e-04,                    8
                    0,  1.4248221139419e-04,                    8
                    0,  1.4258214502874e-04,                    8
                    0,  1.4186204996029e-04,                    8
                    0,  1.4183133785578e-04,                    8
                    0,  1.4086995196145e-04,                    8
                    0,  1.3511073569106e-04,                    8
                    0,  1.3992248469350e-04,                    8
                    0,  1.4050079930462e-04,                    8
                    0,  1.4510115147268e-04,                    8
                    0,  1.3342199020321e-04,                    8
                    0,  1.3944220986361e-04,                    8
                    0,  1.1807578688962e-04,                    8
                    0,  9.1383471544168e-05,                    8
                    0,  8.1346922883731e-05,                    8
                    0,  7.2257277920407e-05,                    8
                    1,  7.2835294384383e-05,                    7
                    1,  9.2162236215951e-05,                    7
                    1,  1.1079235791085e-04,                    7
                    1,  1.2931572497684e-04,                    7
                    1,  1.3723473169463e-04,                    7
                    1,  1.4149544955514e-04,                    7
                    1,  1.4384136970075e-04,                    7
                    1,  1.4497450462186e-04,                    7
                    1,  1.4561542140304e-04,                    7
                    1,  1.4649554276784e-04,                    7
                    1,  1.4575855622933e-04,                    7
                    1,  1.4699980631565e-04,                    7
                    1,  1.4784139423093e-04,                    7
                    1,  1.5026248843333e-04,                    7
                    1,  1.4757864470095e-04,                    7
                    1,  1.4356397579187e-04,                    7
                    1,  1.4233379900298e-04,                    7
                    1,  1.3825772387822e-04,                    7
                    1,  1.3586633671026e-04,                    7
                    1,  1.1568799177780e-04,                    7
                    1,  2.2263673233506e-05,                    7
                    1,  8.6881263021777e-06,                    7
                    2,  7.4898649382890e-05,                    8
                    2,  9.2958688965157e-05,                    8
                    2,  1.1108813966770e-04,                    8
                    2,  1.2477667121295e-04,                    8
                    2,  1.3668992585924e-04,                    8
                    2,  1.4163314914940e-04,                    8
                    2,  1.4361852785521e-04,                    8
                    2,  1.4529957717496e-04,                    8
                    2,  1.4650803094855e-04,                    8
                    2,  1.4811334344569e-04,                    8
                    2,  1.4922762963171e-04,                    8
                    2,  1.5001339928423e-04,                    8
                    2,  1.5296203095940e-04,                    8
                    2,  1.5440425303818e-04,                    8
                    2,  1.5416446099194e-04,                    8
                    2,  1.6303622360176e-04,                    8
                    2,  1.5690870452587e-04,                    8
                    2,  1.6681412519454e-04,                    8
                    2,  1.2676010827959e-04,                    8
                    2,  1.0261712234936e-04,                    8
                    2,  1.0513811279086e-04,                    8
                    2,  5.6326650985229e-05,                    8
                    3,  6.6839015660053e-05,                    7
                    3,  8.3802469828758e-05,                    7
                    3,  1.0170218722147e-04,                    7
                    3,  1.1510932752997e-04,                    7
                    3,  1.2534343497644e-04,                    7
                    3,  1.3010881537207e-04,                    7
                    3,  1.3202822291631e-04,                    7
                    3,  1.3312629006369e-04,                    7
                    3,  1.3347013426007e-04,                    7
                    3,  1.3432767706424e-04,                    7
                    3,  1.3477605971434e-04,                    7
                    3,  1.3525880111593e-04,                    7
                    3,  1.3698957628463e-04,                    7
                    3,  1.3896234933908e-04,                    7
                    3,  1.2975262104262e-04,                    7
                    3,  1.2975816038040e-04,                    7
                    3,  1.2902164603568e-04,                    7
                    3,  1.3379203026198e-04,                    7
                    3,  1.6337052892620e-04,                    7
                    3,  1.7288009809339e-04,                    7
                    3,  1.3232376033128e-04,                    7
                    3,  7.2308749822874e-05,                    7
