#        thread_idx,              error,         selected_k
                  0, 3.022923849445e-10,                  9
                  0, 4.229014483361e-10,                  9
                  0, 5.885282431361e-10,                  9
                  0, 8.086581396370e-10,                  9
                  0, 1.084010945066e-09,                  9
                  0, 1.391537595540e-09,                  9
                  0, 1.672508037192e-09,                  9
                  0, 1.864459684251e-09,                  9
                  0, 1.982653671967e-09,                  9
                  0, 2.062430659503e-09,                  9
                  0, 2.107275397258e-09,                  9
                  0, 2.105396291599e-09,                  9
                  0, 2.104164591117e-09,                  9
                  0, 2.127508805984e-09,                  9
                  0, 2.080314234376e-09,                  9
                  0, 1.746338398844e-09,                  9
                  0, 1.587290102417e-09,                  9
                  0, 1.910728583958e-09,                  9
                  0, 1.955853059721e-09,                  9
                  0, 1.565039547985e-09,                  9
                  0, 9.340070438888e-10,                  9
                  1, 3.022551856404e-10,                 10
                  1, 4.229039510123e-10,                 10
                  1, 5.885523065384e-10,                 10
                  1, 8.087201843288e-10,                 10
                  1, 1.084312925748e-09,                 10
                  1, 1.392109146859e-09,                 10
                  1, 1.677510999680e-09,                 10
                  1, 1.867807103165e-09,                 10
                  1, 1.979045234552e-09,                 10
                  1, 2.037939476634e-09,                 10
                  1, 2.103437380568e-09,                 10
                  1, 2.028217242713e-09,                 10
                  1, 2.017604331242e-09,                 10
                  1, 2.112768368815e-09,                 10
                  1, 2.062274044809e-09,                 10
                  1, 1.869652341899e-09,                 10
                  1, 1.699246663587e-09,                 10
                  1, 1.630221210115e-09,                 10
                  1, 1.797505440148e-09,                 10
                  1, 1.261111995761e-09,                 10
                  1, 1.235282154950e-09,                 10
                  2, 3.020437705825e-10,                  9
                  2, 4.226777569802e-10,                  9
                  2, 5.884483649369e-10,                  9
                  2, 8.092079542260e-10,                  9
                  2, 1.086323472378e-09,                  9
                  2, 1.397090599990e-09,                  9
                  2, 1.682760675377e-09,                  9
                  2, 1.880478223535e-09,                  9
                  2, 1.986482057833e-09,                  9
                  2, 2.051202748337e-09,                  9
                  2, 2.087760226358e-09,                  9
                  2, 2.113173569920e-09,                  9
                  2, 2.142833309727e-09,                  9
                  2, 2.158962291087e-09,                  9
                  2, 2.170734322084e-09,                  9
                  2, 2.346150325744e-09,                  9
                  2, 2.603798541186e-09,                  9
                  2, 2.706609591831e-09,                  9
                  2, 2.573955638906e-09,                  9
                  2, 2.983629966753e-09,                  9
                  2, 1.430997693004e-09,                  9
                  3, 3.023324812831e-10,                  9
                  3, 4.228471143933e-10,                  9
                  3, 5.882131993642e-10,                  9
                  3, 8.077546571814e-10,                  9
                  3, 1.081270595598e-09,                  9
                  3, 1.384856315456e-09,                  9
                  3, 1.659021546828e-09,                  9
                  3, 1.848840330626e-09,                  9
                  3, 1.956417403809e-09,                  9
                  3, 1.991881741924e-09,                  9
                  3, 2.019890067936e-09,                  9
                  3, 2.062862668449e-09,                  9
                  3, 2.118369348194e-09,                  9
                  3, 2.082113881208e-09,                  9
                  3, 2.189254859353e-09,                  9
                  3, 2.397862805992e-09,                  9
                  3, 2.147096656559e-09,                  9
                  3, 2.143352659622e-09,                  9
                  3, 2.375430205388e-09,                  9
                  3, 2.798945345131e-09,                  9
                  3, 7.505398758474e-10,                  9
