# N, tildeAlpha,   alpha, beta_AA, beta_AB, E       , err
  6,       1.00,  3.7838,  1.1220,  1.1184, -0.01928, 0.00006
  8,       1.00,  2.8182,  1.1249,  1.1260, -0.1459 , 0.0001
 12,       1.00,  2.4242,  1.1291,  1.1286, -0.5561 , 0.0002
