#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 1.008729577163e-01, 1.160144340282e+00, 1.077099967636e-03, 3.015258990000e+00, 9.013310000000e-01,            1000000
 3.980000002008e+00, 1.019999999833e+00, 5.000000000000e+00, 1.069294272678e-01, 7.709227205316e-01, 8.780220501398e-04, 3.020717040000e+00, 9.087200000000e-01,            1000000
 3.959979410151e+00, 1.039382847222e+00, 5.000000000000e+00, 1.037961265709e-01, 3.735285762570e-01, 6.111698423982e-04, 3.322836826000e+00, 8.943360000000e-01,            1000000
 3.939912119903e+00, 1.055886063095e+00, 5.000000000000e+00, 1.269444895047e-01, 2.694802415472e-01, 5.191148635391e-04, 2.915658047000e+00, 9.054790000000e-01,            1000000
 3.919812919646e+00, 1.069785678487e+00, 5.000000000000e+00, 1.410835285353e-01, 1.738037478739e-01, 4.168977666933e-04, 2.933404895000e+00, 9.045920000000e-01,            1000000
 3.899706588888e+00, 1.080538924858e+00, 5.000000000000e+00, 1.517920524061e-01, 1.307986667093e-01, 3.616609831173e-04, 2.940938460000e+00, 9.057690000000e-01,            1000000
 3.879634285085e+00, 1.088218091180e+00, 5.000000000000e+00, 1.609621306908e-01, 1.040005758623e-01, 3.224912027674e-04, 2.926889805000e+00, 9.067620000000e-01,            1000000
 3.859601316647e+00, 1.092897674138e+00, 5.000000000000e+00, 1.684490662679e-01, 8.842935719965e-02, 2.973707403220e-04, 2.948712792000e+00, 9.038120000000e-01,            1000000
 3.839610221106e+00, 1.094812661993e+00, 5.000000000000e+00, 1.666881640897e-01, 8.640650703338e-02, 2.939498376141e-04, 3.294162176000e+00, 9.052340000000e-01,            1000000
 3.819676999834e+00, 1.094418998965e+00, 5.000000000000e+00, 1.642838581945e-01, 9.303061985188e-02, 3.050092127328e-04, 2.936298571000e+00, 9.048860000000e-01,            1000000
 3.799750318090e+00, 1.092119846188e+00, 5.000000000000e+00, 1.603418486400e-01, 9.016849330251e-02, 3.002806908586e-04, 2.911790779000e+00, 8.994670000000e-01,            1000000
 3.779811455188e+00, 1.088199398760e+00, 5.000000000000e+00, 1.479196091691e-01, 1.026681362919e-01, 3.204186890491e-04, 2.981515236000e+00, 8.979030000000e-01,            1000000
 3.759842512290e+00, 1.082991922528e+00, 5.000000000000e+00, 1.409390645966e-01, 1.454353152515e-01, 3.813598238560e-04, 2.998698527000e+00, 9.067540000000e-01,            1000000
