#                p[0],                 p[1],                 p[2],               energy,             variance,                error,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  4.0000000000000e+00,  0.0000000000000e+00,  9.5000000000000e-01,  1.6987722532511e-01,  3.6231413604834e-01,  6.0192535753890e-04, -7.9068115990455e-03, -1.4043073985181e-01,                 -nan,                 -nan, -2.4132028674470e-01, -7.1796255684208e+00,  4.1574430300000e-01,  9.0620900000000e-01,              1000000
  4.0499999373201e+00,                 -nan,  9.9999999795843e-01,  1.6138997965929e-01,  4.9368662603752e-02,  2.2219059971959e-04, -3.7600895207078e-03, -1.7498849445004e-02,                 -nan,                 -nan, -1.0218361505209e-01, -8.3134667597907e-01,  5.1430066600000e-01,  8.9664300000000e-01,              1000000
  4.0961899009413e+00,                 -nan,  1.0452810949271e+00,  1.5812623083179e-01,  3.7695049164838e-03,  6.1396293996330e-05, -1.9747579595182e-03, -1.3441855582861e-03,                 -nan,                 -nan, -3.5401588331796e-02, -2.7360787834328e-02,  4.2936771900000e-01,  9.0447600000000e-01,              1000000
  4.1380156133917e+00,                 -nan,  1.0842022408921e+00,  1.5750082483856e-01,  1.1542557228912e-02,  1.0743629381597e-04, -1.1433365379136e-03, -4.2768880566721e-03,                 -nan,                 -nan,  2.8092375615364e-04, -2.9809548070720e-01,  3.8094673500000e-01,  9.0493000000000e-01,              1000000
  4.1756613280629e+00,                 -nan,  1.1160697468953e+00,  1.5776622268031e-01,  1.6359347253505e-02,  1.2790366395653e-04, -6.8853209147333e-04, -7.3214474968376e-03,                 -nan,                 -nan,  1.3810609958128e-02, -3.2366518190282e-01,  4.6708867600000e-01,  9.0307500000000e-01,              1000000
  4.2094582621549e+00,                 -nan,  1.1415795402865e+00,  1.5832920596807e-01,  2.1670297207482e-02,  1.4720834625619e-04, -4.4133194239279e-04, -7.9650660035705e-03,                 -nan,                 -nan,  2.2126458048895e-02, -3.9505493482863e-01,  4.3046731300000e-01,  9.0210600000000e-01,              1000000
  4.2398256022192e+00,                 -nan,  1.1613599770418e+00,  1.5867455346878e-01,  3.6830569436164e-02,  1.9191292149348e-04, -2.5408058002960e-04, -1.5292835373391e-02,                 -nan,                 -nan,  3.2102205365259e-02, -8.3786119833292e-01,  4.6193290300000e-01,  9.0567900000000e-01,              1000000
  4.2670605619408e+00,                 -nan,  1.1755464536641e+00,  1.5916922873378e-01,  3.4100949219410e-02,  1.8466442326396e-04, -2.7531052645783e-04, -1.0561351807113e-02,                 -nan,                 -nan,  3.1215074041814e-02, -6.8098261848877e-01,  4.1280513500000e-01,  8.9703000000000e-01,              1000000
  4.2918204270368e+00,                 -nan,  1.1851564382497e+00,  1.5890077350888e-01,  6.5986696333582e-02,  2.5687875804274e-04,  2.6325025794257e-04, -2.3279693434606e-02,                 -nan,                 -nan,  4.8541205274857e-02, -1.6661108460707e+00,  4.1643203800000e-01,  9.1322700000000e-01,              1000000
  4.3131185959072e+00,                 -nan,  1.1893326532789e+00,  1.5966016534519e-01,  3.6572590633410e-02,  1.9123961575314e-04,  2.3594413648045e-04, -1.4125140852191e-02,                 -nan,                 -nan,  3.3944565676320e-02, -6.9911440070464e-01,  4.2608769500000e-01,  9.0226100000000e-01,              1000000
  4.3315132150044e+00,                 -nan,  1.1901028993759e+00,  1.5936185992524e-01,  3.3560059146520e-02,  1.8319404779228e-04,  3.2397006658278e-04, -1.0616700920399e-02,                 -nan,                 -nan,  3.6289181921525e-02, -5.7180133796940e-01,  4.3252901400000e-01,  9.1438600000000e-01,              1000000
  4.3471464628377e+00,                 -nan,  1.1876871376351e+00,  1.6008314606779e-01,  2.4317999831799e-02,  1.5594229648110e-04,  3.8776077541010e-04, -9.2446295115059e-03,                 -nan,                 -nan,  2.3715036506261e-02, -3.9777775556933e-01,  3.9158795400000e-01,  9.0083000000000e-01,              1000000
  4.3601802998702e+00,                 -nan,  1.1835067020692e+00,  1.5955160629795e-01,  2.9579872229974e-02,  1.7198800024994e-04,  6.8468551913808e-04, -1.1237617671144e-02,                 -nan,                 -nan,  3.0004439539471e-02, -5.2065807936391e-01,  4.4641982900000e-01,  9.0470500000000e-01,              1000000
  4.3701094586261e+00,                 -nan,  1.1772191132391e+00,  1.5937233221689e-01,  3.7253710287517e-02,  1.9301220243165e-04,  7.3968938359463e-04, -1.5177561337926e-02,                 -nan,                 -nan,  3.0942472407699e-02, -8.4062294751677e-01,  4.1965399000000e-01,  8.9955100000000e-01,              1000000
  4.3771217394472e+00,                 -nan,  1.1689706926431e+00,  1.5909293924744e-01,  2.7383252089088e-02,  1.6547885692465e-04,  8.7050232840178e-04, -1.0152657910073e-02,                 -nan,                 -nan,  2.7624916269099e-02, -5.0180141144516e-01,  4.1415997900000e-01,  9.0578400000000e-01,              1000000
  4.3811565072773e+00,                 -nan,  1.1592057570182e+00,  1.5859806138309e-01,  3.8524181567915e-02,  1.9627577937156e-04,  9.5182447366661e-04, -1.5608471323957e-02,                 -nan,                 -nan,  3.1931815076664e-02, -9.4323128905299e-01,  4.4260401500000e-01,  9.0336800000000e-01,              1000000
  4.3822992680782e+00,                 -nan,  1.1477241191556e+00,  1.5837004894946e-01,  2.5454702126167e-02,  1.5954529803842e-04,  1.0227514599644e-03, -8.8671212172043e-03,                 -nan,                 -nan,  2.4921128172541e-02, -5.0162183716480e-01,  4.1988808100000e-01,  9.0484700000000e-01,              1000000
  4.3806333158102e+00,                 -nan,  1.1352300691860e+00,  1.5840972688812e-01,  1.7627174352603e-02,  1.3276736930663e-04,  8.8917517610302e-04, -5.7906191583573e-03,                 -nan,                 -nan,  1.5433620242024e-02, -3.4543119597915e-01,  4.6680894400000e-01,  8.9738700000000e-01,              1000000
  4.3767697315201e+00,                 -nan,  1.1225811246136e+00,  1.5785575403446e-01,  1.9637874842468e-02,  1.4013520201030e-04,  1.0181047818654e-03, -5.7560222628694e-03,                 -nan,                 -nan,  1.7245773471813e-02, -4.2231166184062e-01,  4.7903775900000e-01,  9.0348900000000e-01,              1000000
  4.3705678704842e+00,                 -nan,  1.1096217551501e+00,  1.5778712236917e-01,  1.0934035659384e-02,  1.0456593928897e-04,  1.0411486097449e-03, -3.5790256188765e-03,                 -nan,                 -nan,  8.8018084601982e-03, -2.0030894108238e-01,  4.3273849200000e-01,  8.9741900000000e-01,              1000000
  4.3621746213830e+00,                 -nan,  1.0970763537007e+00,  1.5736250857196e-01,  1.9072064169061e-02,  1.3810164433873e-04,  8.9369399182212e-04, -2.8309482132324e-03,                 -nan,                 -nan,  1.2562941307648e-02, -4.9453251073217e-01,  4.1398866100000e-01,  9.0187900000000e-01,              1000000
  4.3521632742832e+00,                 -nan,  1.0845779867068e+00,  1.5731281823022e-01,  8.4036901080767e-03,  9.1671642878682e-05,  8.5654425698419e-04, -3.6526238285533e-03,                 -nan,                 -nan,  7.1053368277582e-04, -1.8788929104952e-01,  3.9858799700000e-01,  9.1618900000000e-01,              1000000
  4.3407635849900e+00,                 -nan,  1.0731462540561e+00,  1.5752168474544e-01,  5.2978445425880e-03,  7.2786293645081e-05,  6.6389212824351e-04, -1.9787270759783e-03,                 -nan,                 -nan, -7.2279018149255e-03, -9.7447321518434e-02,  4.7250739200000e-01,  9.1047900000000e-01,              1000000
  4.3285901183000e+00,                 -nan,  1.0634021065383e+00,  1.5753670915561e-01,  4.8385263690449e-03,  6.9559516739587e-05,  5.4578877951446e-04, -1.7941229569984e-03,                 -nan,                 -nan, -1.3749997653349e-02, -1.0642439661947e-01,  4.0057170000000e-01,  9.0937800000000e-01,              1000000
  4.3160108808147e+00,                 -nan,  1.0558058608409e+00,  1.5775043497921e-01,  2.6347760640574e-03,  5.1330069784264e-05,  2.8777490669031e-04, -8.6058643787846e-04,                 -nan,                 -nan, -2.2453713021677e-02, -2.2034148307194e-02,  4.5684530500000e-01,  9.0606300000000e-01,              1000000
  4.3037518689540e+00,                 -nan,  1.0509895462147e+00,  1.5798215337687e-01,  2.9431975923149e-03,  5.4251245076173e-05,  9.1514619019322e-05, -9.1548961145023e-04,                 -nan,                 -nan, -2.7564343572248e-02, -2.2405399616778e-02,  4.1711385000000e-01,  8.9081100000000e-01,              1000000
  4.2923258385324e+00,                 -nan,  1.0491970498326e+00,  1.5789366882258e-01,  3.5166791162436e-03,  5.9301594550598e-05,  1.4251069367359e-05, -1.3568898086585e-03,                 -nan,                 -nan, -2.8043948254008e-02, -4.5158751991015e-02,  4.0698973600000e-01,  9.0419600000000e-01,              1000000
  4.2818768008287e+00,                 -nan,  1.0502126470507e+00,  1.5790474718713e-01,  2.9773153679560e-03,  5.4564781388328e-05, -1.0536113186210e-04, -9.5715511246101e-04,                 -nan,                 -nan, -2.7539845768266e-02, -2.2428265122597e-02,  3.8919560900000e-01,  9.0387400000000e-01,              1000000
  4.2726649409414e+00,                 -nan,  1.0537468184577e+00,  1.5785678000637e-01,  2.6813095018718e-03,  5.1781362495321e-05, -1.0885530263980e-04, -8.8863836289238e-04,                 -nan,                 -nan, -2.5209027703109e-02, -2.0646371849087e-02,  4.0164832300000e-01,  9.0472400000000e-01,              1000000
  4.2645941586259e+00,                 -nan,  1.0593674087653e+00,  1.5770110442589e-01,  3.1973288776017e-03,  5.6544927956464e-05, -1.4845431598603e-04, -9.7067905630293e-04,                 -nan,                 -nan, -1.9779176898529e-02, -4.1944157415970e-02,  4.2310765000000e-01,  9.0923500000000e-01,              1000000
  4.2576856162110e+00,                 -nan,  1.0663898259261e+00,  1.5763390525882e-01,  3.4238817434698e-03,  5.8513944863338e-05, -1.7560909394267e-04, -1.2474868283244e-03,                 -nan,                 -nan, -1.5309888609263e-02, -5.0520634326991e-02,  5.0242442400000e-01,  9.0035300000000e-01,              1000000
  4.2519241740687e+00,                 -nan,  1.0742769187304e+00,  1.5742328854099e-01,  5.4076959262878e-03,  7.3537037785648e-05, -1.3185310740405e-04, -1.9353568561604e-03,                 -nan,                 -nan, -7.4767349500870e-03, -9.9986052956202e-02,  4.1767409900000e-01,  9.0603100000000e-01,              1000000
  4.2470814814632e+00,                 -nan,  1.0822037681363e+00,  1.5741903167565e-01,  8.2756803275089e-03,  9.0970766334625e-05, -8.5451185226578e-05, -3.1246995471658e-03,                 -nan,                 -nan, -1.6598331437658e-03, -1.7730689004001e-01,  4.1016237400000e-01,  9.0850200000000e-01,              1000000
  4.2429391557517e+00,                 -nan,  1.0895994799892e+00,  1.5767556258909e-01,  1.0762066277288e-02,  1.0374037920351e-04, -1.8528899988977e-04, -1.1228368656931e-03,                 -nan,                 -nan, -5.3642477656764e-04, -2.9134583839039e-01,  4.6154902000000e-01,  9.0474800000000e-01,              1000000
  4.2397479910389e+00,                 -nan,  1.0964049772873e+00,  1.5711418848794e-01,  2.5261432349398e-02,  1.5893845459611e-04,  6.2074597854859e-06, -1.0769667321925e-02,                 -nan,                 -nan,  1.4402924562520e-02, -8.1607941159030e-01,  3.8606820300000e-01,  9.0109700000000e-01,              1000000
  4.2368389914815e+00,                 -nan,  1.1011639174978e+00,  1.5731654846300e-01,  2.1631250358799e-02,  1.4707566202061e-04, -1.0153126325971e-04, -8.7284402176502e-03,                 -nan,                 -nan,  1.4085989020437e-02, -6.1439529649310e-01,  3.9124502300000e-01,  9.0519900000000e-01,              1000000
  4.2345291167480e+00,                 -nan,  1.1040676793674e+00,  1.5765549398536e-01,  1.1004882492894e-02,  1.0490415860629e-04, -2.4451316801655e-04, -4.8447201429577e-03,                 -nan,                 -nan,  6.0830100445407e-03, -2.1724620799821e-01,  4.0599621200000e-01,  8.9990500000000e-01,              1000000
  4.2332262341867e+00,                 -nan,  1.1060860510831e+00,  1.5746276318353e-01,  2.6428208641792e-02,  1.6256755101124e-04, -9.9891817895969e-05, -1.2247192322698e-02,                 -nan,                 -nan,  1.5848195250060e-02, -8.3029596797299e-01,  4.3550495500000e-01,  9.1196400000000e-01,              1000000
  4.2323873952009e+00,                 -nan,  1.1062899101200e+00,  1.5779318965238e-01,  1.0330680259524e-02,  1.0163995405117e-04, -2.9532738987153e-04, -3.6972640319363e-03,                 -nan,                 -nan,  5.7711423990491e-03, -1.8730321232102e-01,  4.0011319800000e-01,  9.1251000000000e-01,              1000000
  4.2326082675789e+00,                 -nan,  1.1058686117016e+00,  1.5739662859133e-01,  1.7229686090980e-02,  1.3126189885485e-04, -1.3444331803404e-04, -5.9180648564359e-03,                 -nan,                 -nan,  1.3483896947840e-02, -3.7969108063567e-01,  3.7714526100000e-01,  9.0732200000000e-01,              1000000
  4.2332693816739e+00,                 -nan,  1.1040500173832e+00,  1.5730279517448e-01,  2.2816632827979e-02,  1.5105175546143e-04, -1.5077371441379e-04, -7.6278311895261e-03,                 -nan,                 -nan,  1.6225415026154e-02, -6.4784460504675e-01,  4.2214892800000e-01,  9.0449000000000e-01,              1000000
  4.2343943019248e+00,                 -nan,  1.1006637039596e+00,  1.5746863993733e-01,  1.2726088598682e-02,  1.1280996675242e-04, -1.8687648826117e-04, -4.6567730441938e-03,                 -nan,                 -nan,  8.8895623720813e-03, -2.4980865201643e-01,  3.8425286900000e-01,  9.0391300000000e-01,              1000000
  4.2360651562448e+00,                 -nan,  1.0966181213156e+00,  1.5743347042307e-01,  1.2324708331618e-02,  1.1101670293978e-04, -1.5238078171738e-04, -4.7743837578865e-03,                 -nan,                 -nan,  6.3086985284058e-03, -2.6321867167979e-01,  3.8225615700000e-01,  9.0522600000000e-01,              1000000
  4.2381203761255e+00,                 -nan,  1.0922505068479e+00,  1.5725705743242e-01,  1.1153625542649e-02,  1.0561072645640e-04, -1.1703620400291e-04, -3.9113463642296e-03,                 -nan,                 -nan,  5.9953152711589e-03, -2.2788867138899e-01,  4.0580188900000e-01,  9.0786700000000e-01,              1000000
  4.2404056955650e+00,                 -nan,  1.0876165302923e+00,  1.5735485317369e-01,  1.1496674345067e-02,  1.0722254588037e-04, -1.3172476842885e-04, -3.7500067953989e-03,                 -nan,                 -nan,  3.8498834621402e-03, -2.5929732210063e-01,  4.1546240100000e-01,  9.0165100000000e-01,              1000000
  4.2429559063359e+00,                 -nan,  1.0829792201743e+00,  1.5751498965854e-01,  7.2435699799670e-03,  8.5109165076195e-05, -1.6544620030824e-04, -2.1967281185441e-03,                 -nan,                 -nan, -3.5507227137180e-03, -1.6485221126543e-01,  4.0286608100000e-01,  9.0056700000000e-01,              1000000
  4.2458689446598e+00,                 -nan,  1.0791798680545e+00,  1.5757519376906e-01,  8.2844102046883e-03,  9.1018735459730e-05, -1.9601153914346e-04, -2.0206475984008e-03,                 -nan,                 -nan, -4.0981180278669e-03, -1.9446858165896e-01,  4.4931534400000e-01,  8.9614300000000e-01,              1000000
  4.2492271427525e+00,                 -nan,  1.0762125568898e+00,  1.5761829113649e-01,  3.7488582472023e-03,  6.1227920487326e-05, -1.3876227905440e-04, -1.3699900689629e-03,                 -nan,                 -nan, -9.6227492235134e-03, -5.1049401160994e-02,  5.0534252200000e-01,  9.0376500000000e-01,              1000000
  4.2527874070496e+00,                 -nan,  1.0746467816088e+00,  1.5756946123012e-01,  5.4242102292711e-03,  7.3649237805092e-05, -1.7199367323682e-04, -1.4611588555159e-03,                 -nan,                 -nan, -8.8196789883298e-03, -1.0474396447203e-01,  4.1465369100000e-01,  9.0607700000000e-01,              1000000
  4.2566579961349e+00,                 -nan,  1.0742734995717e+00,  1.5739775716549e-01,  5.4826138180873e-03,  7.4044674474855e-05, -8.3988447351267e-05, -1.7939912747952e-03,                 -nan,                 -nan, -6.6373758515413e-03, -9.5744464650468e-02,  4.3955202400000e-01,  9.0693200000000e-01,              1000000
  4.2604907081148e+00,                 -nan,  1.0747325756347e+00,  1.5741094526431e-01,  8.4090355607836e-03,  9.1700793675865e-05,  1.2761310342769e-05, -3.5269476180145e-03,                 -nan,                 -nan, -4.9938953850108e-03, -2.2186460332199e-01,  4.1792259000000e-01,  8.9938700000000e-01,              1000000
  4.2639323251602e+00,                 -nan,  1.0757650255394e+00,  1.5745125287602e-01,  5.5206155821751e-03,  7.4300845097314e-05, -7.9782318306822e-06, -1.6351094680798e-03,                 -nan,                 -nan, -6.9581403395212e-03, -1.0840979550329e-01,  4.5660254200000e-01,  9.0771000000000e-01,              1000000
  4.2670926112838e+00,                 -nan,  1.0775559292152e+00,  1.5750885043343e-01,  6.5332266703226e-03,  8.0828377877591e-05,  3.8665595880706e-05, -2.3513039421847e-03,                 -nan,                 -nan, -5.0645925341592e-03, -1.3127300197431e-01,  4.3575709600000e-01,  9.0537800000000e-01,              1000000
  4.2698204021920e+00,                 -nan,  1.0798125469798e+00,  1.5745959117432e-01,  5.5615992572658e-03,  7.4576130613392e-05,  7.2131711263108e-05, -2.1409958294707e-03,                 -nan,                 -nan, -4.6954474945385e-03, -9.8086429266109e-02,  4.1491895700000e-01,  9.1134800000000e-01,              1000000
  4.2720241803167e+00,                 -nan,  1.0824499079809e+00,  1.5727303665754e-01,  1.1416041883578e-02,  1.0684587911369e-04,  1.6777432772108e-04, -3.5739691849635e-03,                 -nan,                 -nan,  2.2289143371341e-03, -2.8052649008076e-01,  4.7182663000000e-01,  9.0792800000000e-01,              1000000
