#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  4.9000000000000e+00,  1.1000000000000e+00,  9.4000000000000e-01,  7.0950939917032e-01,  5.3928028714667e-01,  2.1199062226639e-04,  8.3186892820000e+00,  9.0403225000000e-01,             12000000
  4.9299999654673e+00,  1.1299999987360e+00,  9.6999999954832e-01,  7.0954110344807e-01,  5.0350620728011e-01,  2.0483859647702e-04,  8.3261712840000e+00,  9.0205858333333e-01,             12000000
  4.9584696489490e+00,  1.1319348486931e+00,  9.9988310219708e-01,  7.1101217843079e-01,  5.3095925544170e-01,  2.1034876900078e-04,  8.2788342790000e+00,  9.0279050000000e-01,             12000000
  4.9867658122483e+00,  1.1226085146442e+00,  1.0295106309964e+00,  7.1228379337876e-01,  6.2918641162285e-01,  2.2898078733503e-04,  8.9356273950000e+00,  9.0401075000000e-01,             12000000
  5.0149123167598e+00,  1.1097606903477e+00,  1.0591652578675e+00,  7.1683963410503e-01,  6.7297787314753e-01,  2.3681530657658e-04,  1.2379952033000e+01,  9.0487358333333e-01,             12000000
  5.0431077152275e+00,  1.0997099124329e+00,  1.0887726769003e+00,  7.2221507337716e-01,  7.4527073491983e-01,  2.4921054266754e-04,  1.3389272134000e+01,  9.0684558333333e-01,             12000000
  5.0714765091292e+00,  1.0979188576599e+00,  1.1184088181357e+00,  7.2759499061770e-01,  7.5335648774825e-01,  2.5055879013189e-04,  1.4197645406000e+01,  9.0794991666667e-01,             12000000
  5.1001155237552e+00,  1.1027446861185e+00,  1.1478039610363e+00,  7.3269956783800e-01,  7.1835310642468e-01,  2.4466867161270e-04,  1.5172492654000e+01,  9.0663166666667e-01,             12000000
  5.1285134969664e+00,  1.1101176156121e+00,  1.1768511552027e+00,  7.3986366538074e-01,  7.3237463868788e-01,  2.4704497544103e-04,  1.5654797822000e+01,  9.0093025000000e-01,             12000000
  5.1552431300511e+00,  1.1171487207271e+00,  1.2058873665796e+00,  7.4730359969620e-01,  6.5510942297521e-01,  2.3365027694099e-04,  1.5837091362000e+01,  9.0060700000000e-01,             12000000
  5.1810093144430e+00,  1.1209386165074e+00,  1.2345906668213e+00,  7.5230004484222e-01,  7.3150305684648e-01,  2.4689793047035e-04,  1.5543260121000e+01,  9.0493483333333e-01,             12000000
  5.2053604429468e+00,  1.1208311278757e+00,  1.2633427016054e+00,  7.6017300302548e-01,  6.2851537194554e-01,  2.2885864850484e-04,  1.5526486911000e+01,  9.0306058333333e-01,             12000000
  5.2286581421073e+00,  1.1175565135948e+00,  1.2915939508606e+00,  7.6605090548731e-01,  6.6438656170212e-01,  2.3529884574411e-04,  1.8170424630000e+01,  9.0021266666667e-01,             12000000
  5.2521293599979e+00,  1.1121772984151e+00,  1.3195471506228e+00,  7.7269819627387e-01,  6.1647182751908e-01,  2.2665536016882e-04,  1.6410509840000e+01,  9.0430858333333e-01,             12000000
  5.2754009077267e+00,  1.1067010645707e+00,  1.3469544342348e+00,  7.7886710145543e-01,  5.9198721078431e-01,  2.2210868412865e-04,  1.5593577465000e+01,  9.0305216666667e-01,             12000000
  5.2978058547223e+00,  1.1030403271441e+00,  1.3736128297211e+00,  7.8317109795511e-01,  6.0660830833683e-01,  2.2483481127575e-04,  1.5424517284000e+01,  9.0560283333333e-01,             12000000
