#                p[0],                 p[1],                 p[2],               energy,             variance,                error,          energies[0],       energiesVar[0],          energies[1],       energiesVar[1],          energies[2],       energiesVar[2],          energies[3],       energiesVar[3],             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017285008815e-01,  1.7818348151459e-05,  1.3348538553512e-06,  1.5017285008815e-01,  1.7818348151459e-05,  7.1478911263963e-02,  1.6962363834143e-03,  7.8693938824187e-02,  2.0617565027827e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7385088560847e-03,  8.4914423768998e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.6160513430000e+00,  9.0251230000000e-01,             10000000
  4.1982614868982e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017272052779e-01,  1.7527850211373e-05,  1.3239278761085e-06,  1.5017272052779e-01,  1.7527850211373e-05,  7.1480506109467e-02,  1.6986956562746e-03,  7.8692214418320e-02,  2.0613291889538e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7255284123389e-03,  8.3376813926393e-06,                 -nan,                 -nan,                 -nan,                 -nan,  4.8086412660000e+00,  9.0966050000000e-01,             10000000
  4.1982614868982e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5016936393827e-01,  1.7521892270969e-05,  1.2083698478725e-06,  1.5016936393827e-01,  1.7521892270969e-05,  7.1513550039645e-02,  1.6981182479007e-03,  7.8655813898622e-02,  2.0606285168053e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7249418831682e-03,  8.3227621716832e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.6926188990000e+00,  9.1012975000000e-01,             12000000
  4.1982614868982e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017432563447e-01,  1.7613756861964e-05,  1.1059735800907e-06,  1.5017432563447e-01,  1.7613756861964e-05,  7.1464704644118e-02,  1.7070212211581e-03,  7.8709620990347e-02,  2.0714320757455e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7339854886270e-03,  8.4465472746080e-06,                 -nan,                 -nan,                 -nan,                 -nan,  6.9522339760000e+00,  9.0439298611111e-01,             14400000
  4.1982614868982e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018561933679e-01,  1.7609761445036e-05,  1.0094966156249e-06,  1.5018561933679e-01,  1.7609761445036e-05,  7.1353523843192e-02,  1.7066340089619e-03,  7.8832095493603e-02,  2.0709622024050e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7335921599905e-03,  8.3822552030727e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.7841235370000e+00,  9.0339646990741e-01,             17280000
  4.1999426405643e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018142730641e-01,  1.7893817751393e-05,  1.0176059456455e-06,  1.5018142730641e-01,  1.7893817751393e-05,  7.1395214719193e-02,  1.7044221990679e-03,  7.8786212587216e-02,  2.0715930999585e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7463854156957e-03,  8.5198497635198e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.7003787410000e+00,  9.0608952546296e-01,             17280000
  4.1999994264056e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018239289361e-01,  1.7891125783776e-05,  1.0175293978308e-06,  1.5018239289361e-01,  1.7891125783776e-05,  7.1385803451438e-02,  1.7031745348987e-03,  7.8796589442168e-02,  2.0701886180232e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7456147867039e-03,  8.5099085530368e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.0690050390000e+00,  9.0554803240741e-01,             17280000
  4.1999999942641e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018639550342e-01,  1.7887153371902e-05,  1.0174164292479e-06,  1.5018639550342e-01,  1.7887153371902e-05,  7.1346750725671e-02,  1.7027864687648e-03,  7.8839644777747e-02,  2.0697180475407e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7452221270200e-03,  8.5042995499135e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.0990270070000e+00,  8.9623767361111e-01,             17280000
  4.1999999999426e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017626235449e-01,  1.7873789484250e-05,  1.0170362910809e-06,  1.5017626235449e-01,  1.7873789484250e-05,  7.1445618305479e-02,  1.7015141803706e-03,  7.8730644049012e-02,  2.0681716063083e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7439181822669e-03,  8.5179561344820e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.6810520990000e+00,  9.0268668981481e-01,             17280000
  4.1999999999994e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018379642301e-01,  1.7851892866553e-05,  1.0164131305722e-06,  1.5018379642301e-01,  1.7851892866553e-05,  7.1372109556308e-02,  1.6994297078407e-03,  7.8811686866705e-02,  2.0656379531890e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7417817624090e-03,  8.4694198877392e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.1523717570000e+00,  9.0016047453704e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018297989347e-01,  1.7909833738513e-05,  1.0180612514577e-06,  1.5018297989347e-01,  1.7909833738513e-05,  7.1380076309573e-02,  1.7049454500462e-03,  7.8802903583902e-02,  2.0723422766389e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7474349642709e-03,  8.5548023209516e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.5506891520000e+00,  9.0579866898148e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017999849125e-01,  1.7867036490926e-05,  1.0168441469325e-06,  1.5017999849125e-01,  1.7867036490926e-05,  7.1409165393040e-02,  1.7008713210722e-03,  7.8770833098213e-02,  2.0673902180771e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7432593025699e-03,  8.5251146375813e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.9065281410000e+00,  9.0773252314815e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018429624973e-01,  1.7916283939680e-05,  1.0182445616108e-06,  1.5018429624973e-01,  1.7916283939680e-05,  7.1367232823853e-02,  1.7055594837266e-03,  7.8817063425873e-02,  2.0730886277641e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7480643004894e-03,  8.5449064845186e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.9866448210000e+00,  9.0493142361111e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018493574328e-01,  1.7888377634765e-05,  1.0174512465219e-06,  1.5018493574328e-01,  1.7888377634765e-05,  7.1360993383491e-02,  1.7029029136946e-03,  7.8823942359788e-02,  2.0698595963673e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7453415251897e-03,  8.5214874240771e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.0769168090000e+00,  9.0659982638889e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017552528204e-01,  1.7816243400100e-05,  1.0153977566316e-06,  1.5017552528204e-01,  1.7816243400100e-05,  7.1452809808105e-02,  1.6960360193965e-03,  7.8722715473939e-02,  2.0615129625423e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7383034987284e-03,  8.4587163683026e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.1918888840000e+00,  9.0710387731481e-01,             17280000
