#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 1.600000000000e+01, 1.000000000000e+00, 1.000000000000e+00, 1.239475968273e-01, 5.662864985937e-01, 2.660560323019e-04, 3.085648166000e+00, 9.054193750000e-01,            8000000
 1.680000000000e+01, 1.000000000000e+00, 1.000000000000e+00, 1.236011296804e-01, 6.957007928912e-01, 2.948942168158e-04, 3.239310052000e+00, 9.043403750000e-01,            8000000
 1.600000000000e+01, 1.050000000000e+00, 1.000000000000e+00, 1.180813776105e-01, 1.861811069382e-01, 1.525537228889e-04, 3.262328693000e+00, 9.000916250000e-01,            8000000
 1.600000000000e+01, 1.050000000000e+00, 1.050000000000e+00, 1.186724121205e-01, 1.584666429927e-01, 1.407420703773e-04, 3.247430096000e+00, 9.078003750000e-01,            8000000
 1.520000000000e+01, 1.066666666667e+00, 1.033333333333e+00, 1.175173637979e-01, 1.176293750336e-01, 1.212586981589e-04, 3.384948507000e+00, 9.031161250000e-01,            8000000
 1.440000000000e+01, 1.100000000000e+00, 1.050000000000e+00, 1.182737841230e-01, 9.345796313066e-02, 1.080844363973e-04, 3.356347298000e+00, 9.059947500000e-01,            8000000
 1.493333333333e+01, 1.133333333333e+00, 1.066666666667e+00, 1.184596733271e-01, 8.136188747159e-02, 1.008475876457e-04, 3.484136795000e+00, 9.081282500000e-01,            8000000
 1.440000000000e+01, 1.200000000000e+00, 1.100000000000e+00, 1.237762510636e-01, 1.086526094517e-01, 1.165400196562e-04, 3.418484450000e+00, 9.078377500000e-01,            8000000
 1.422222222222e+01, 1.138888888889e+00, 1.111111111111e+00, 1.205227872434e-01, 9.613775395853e-02, 1.096230780667e-04, 3.589449700000e+00, 9.046001250000e-01,            8000000
 1.303703703704e+01, 1.198148148148e+00, 1.101851851852e+00, 1.268038520008e-01, 1.470564218889e-01, 1.355804290306e-04, 3.859660183000e+00, 9.055047500000e-01,            8000000
 1.525925925926e+01, 1.087037037037e+00, 1.062962962963e+00, 1.177172206244e-01, 9.275637368473e-02, 1.076779769061e-04, 5.443258312000e+00, 9.052927500000e-01,            8000000
 1.550617283951e+01, 1.074691358025e+00, 1.008641975309e+00, 1.166913113944e-01, 1.021430567240e-01, 1.129950533895e-04, 5.475582635000e+00, 9.035927500000e-01,            8000000
 1.614814814815e+01, 1.042592592593e+00, 9.574074074074e-01, 1.179801001878e-01, 1.644019773956e-01, 1.433535739856e-04, 5.695904986000e+00, 9.080096250000e-01,            8000000
 1.606584362140e+01, 1.096707818930e+00, 1.042181069959e+00, 1.165431741275e-01, 9.526424215080e-02, 1.091239216160e-04, 5.801943168000e+00, 9.044353750000e-01,            8000000
 1.689876543210e+01, 1.095061728395e+00, 1.038271604938e+00, 1.163613774718e-01, 8.721868744526e-02, 1.044142515687e-04, 5.918390032000e+00, 9.058427500000e-01,            8000000
 1.684279835391e+01, 1.037860082305e+00, 1.006584362140e+00, 1.184258890526e-01, 2.091089208918e-01, 1.616744108122e-04, 5.931345516000e+00, 9.067743750000e-01,            8000000
 1.541069958848e+01, 1.109465020576e+00, 1.051646090535e+00, 1.174065876150e-01, 8.702563134091e-02, 1.042986285510e-04, 6.375060116000e+00, 9.064540000000e-01,            8000000
 1.661783264746e+01, 1.099108367627e+00, 1.002743484225e+00, 1.157868629849e-01, 8.382238732379e-02, 1.023611176936e-04, 6.579815617000e+00, 9.024080000000e-01,            8000000
 1.729711934156e+01, 1.105144032922e+00, 9.726337448560e-01, 1.158070368286e-01, 4.602943378439e-02, 7.585301063932e-05, 6.405210267000e+00, 9.008345000000e-01,            8000000
 1.756488340192e+01, 1.131755829904e+00, 1.033058984911e+00, 1.167987590071e-01, 7.660866141832e-02, 9.785746102005e-05, 6.214369843000e+00, 9.013183750000e-01,            8000000
 1.909647919524e+01, 1.111842706904e+00, 9.776634659351e-01, 1.173025288315e-01, 3.245177251066e-02, 6.369043541877e-05, 6.393638465000e+00, 9.037755000000e-01,            8000000
 1.907355586039e+01, 1.137433318092e+00, 9.506325255296e-01, 1.176512756835e-01, 4.222754378959e-02, 7.265289377374e-05, 6.477760379000e+00, 9.049473750000e-01,            8000000
 1.941321952954e+01, 1.104524208708e+00, 9.008941726363e-01, 1.181924848652e-01, 2.743620365383e-02, 5.856215037657e-05, 6.426730584000e+00, 9.008271250000e-01,            8000000
 1.813098951718e+01, 1.076907314264e+00, 9.501617300886e-01, 1.164893451531e-01, 9.325385807700e-02, 1.079663478109e-04, 6.454614138000e+00, 9.049247500000e-01,            8000000
 1.883791427459e+01, 1.122301817135e+00, 9.505148266694e-01, 1.166426800237e-01, 6.859898488644e-02, 9.260061074747e-05, 6.520661092000e+00, 9.012991250000e-01,            8000000
 1.819679926840e+01, 1.108493369913e+00, 9.751486053955e-01, 1.164894749678e-01, 3.996700160321e-02, 7.068150536315e-05, 6.214864498000e+00, 9.016810000000e-01,            8000000
 1.818533760098e+01, 1.121288675507e+00, 9.616331351928e-01, 1.166459180724e-01, 3.470201612052e-02, 6.586161260602e-05, 6.146799327000e+00, 9.064757500000e-01,            8000000
 1.835516943555e+01, 1.104834120815e+00, 9.367639587461e-01, 1.166846116816e-01, 3.442993959240e-02, 6.560291494324e-05, 6.394725010000e+00, 9.040247500000e-01,            8000000
 1.769495165032e+01, 1.112351182916e+00, 9.388719538011e-01, 1.164003396437e-01, 3.638422212307e-02, 6.743906705600e-05, 6.372574991000e+00, 9.002392500000e-01,            8000000
 1.709643629302e+01, 1.121021806748e+00, 9.786619304871e-01, 1.160578222639e-01, 6.636164618858e-02, 9.107802025501e-05, 6.351590995000e+00, 9.052100000000e-01,            8000000
 1.804048614992e+01, 1.108881042298e+00, 9.472384516814e-01, 1.164219069153e-01, 8.832107114843e-02, 1.050720414456e-04, 6.270466846000e+00, 9.032497500000e-01,            8000000
 1.749603549594e+01, 1.108747607919e+00, 9.557528493285e-01, 1.161281717018e-01, 3.906322686605e-02, 6.987777442260e-05, 6.351177785000e+00, 9.038795000000e-01,            8000000
 1.774122847127e+01, 1.113216354214e+00, 9.671334400244e-01, 1.165325558238e-01, 3.056468507888e-02, 6.181088605464e-05, 6.322475508000e+00, 8.999457500000e-01,            8000000
 1.782614438856e+01, 1.104989076868e+00, 9.546988518010e-01, 1.162385714494e-01, 5.072466341210e-02, 7.962777735509e-05, 6.196556319000e+00, 9.067013750000e-01,            8000000
 1.719677781729e+01, 1.113082919835e+00, 9.756478376715e-01, 1.159476533329e-01, 4.675685311636e-02, 7.645002707354e-05, 6.240157943000e+00, 9.045068750000e-01,            8000000
 1.735411946011e+01, 1.111059459093e+00, 9.704105912039e-01, 1.163147802248e-01, 3.521358851770e-02, 6.634529798495e-05, 6.605451217000e+00, 9.058227500000e-01,            8000000
 1.776380294332e+01, 1.116871581229e+00, 9.562308421819e-01, 1.165824477061e-01, 3.889910222293e-02, 6.973082372858e-05, 6.534646649000e+00, 9.077697500000e-01,            8000000
 1.741379024200e+01, 1.108075919999e+00, 9.685330191875e-01, 1.158765080317e-01, 5.338464412346e-02, 8.168892529243e-05, 7.821064075000e+00, 9.063612500000e-01,            8000000
 1.761863198361e+01, 1.110981981067e+00, 9.614431446765e-01, 1.161950804581e-01, 4.114400757384e-02, 7.171471917766e-05, 6.857886654000e+00, 9.054297500000e-01,            8000000
 1.754767396569e+01, 1.112137906654e+00, 9.687720156142e-01, 1.160601475308e-01, 4.614488233106e-02, 7.594807628494e-05, 6.676901744000e+00, 9.045148750000e-01,            8000000
 1.751917390642e+01, 1.109180193568e+00, 9.698835924402e-01, 1.162889240707e-01, 4.111910165886e-02, 7.169301017085e-05, 6.455065029000e+00, 9.032585000000e-01,            8000000
 1.770501560851e+01, 1.110114445912e+00, 9.635347691465e-01, 1.163208527932e-01, 3.788494287520e-02, 6.881582564644e-05, 6.563737734000e+00, 9.034905000000e-01,            8000000
