#                p[0],                 p[1],                 p[2],               energy,             variance,                error,          energies[0],       energiesVar[0],          energies[1],       energiesVar[1],          energies[2],       energiesVar[2],          energies[3],       energiesVar[3],             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017478074236e-01,  1.7883376088446e-05,  1.3372874069715e-06,  1.5017478074236e-01,  1.7883376088446e-05,  7.1460074167421e-02,  1.7024267862347e-03,  7.8714706574940e-02,  2.0692808687229e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7448535319985e-03,  8.5036205410419e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.7857343360000e+00,  9.1190170000000e-01,             10000000
  4.1982551422162e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017845471613e-01,  1.7595168998903e-05,  1.3264678284415e-06,  1.5017845471613e-01,  1.7595168998903e-05,  7.1424054799197e-02,  1.7053315874193e-03,  7.8754399916934e-02,  2.0693692334894e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7322123853561e-03,  8.3994605530435e-06,                 -nan,                 -nan,                 -nan,                 -nan,  4.7311076560000e+00,  9.0693520000000e-01,             10000000
  4.1982551422162e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017361123960e-01,  1.7519901364773e-05,  1.2083011960591e-06,  1.5017361123960e-01,  1.7519901364773e-05,  7.1471737944726e-02,  1.6980366149184e-03,  7.8701873294872e-02,  2.0605170010181e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7248024236747e-03,  8.2962062472332e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.6699527640000e+00,  9.0859250000000e-01,             12000000
  4.1982551422162e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017270852713e-01,  1.7520637630621e-05,  1.1030462123460e-06,  1.5017270852713e-01,  1.7520637630621e-05,  7.1480624984803e-02,  1.6981079741309e-03,  7.8692083542325e-02,  2.0606035933031e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7248749077081e-03,  8.3084041730045e-06,                 -nan,                 -nan,                 -nan,                 -nan,  6.6488649760000e+00,  9.0494680555556e-01,             14400000
  4.1982551422162e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017898097666e-01,  1.7575766419739e-05,  1.0085217460488e-06,  1.5017898097666e-01,  1.7575766419739e-05,  7.1418873859983e-02,  1.7034510808363e-03,  7.8760107116680e-02,  2.0670872946014e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7303022367270e-03,  8.3727757366997e-06,                 -nan,                 -nan,                 -nan,                 -nan,  7.9291378930000e+00,  9.1077094907407e-01,             17280000
  4.1998676051849e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018005875487e-01,  1.7837645105645e-05,  1.0160074452478e-06,  1.5018005875487e-01,  1.7837645105645e-05,  7.1408563077948e-02,  1.7003788405201e-03,  7.8771495676918e-02,  2.0665310233777e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7415726887601e-03,  8.4810332699039e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.8149917000000e+00,  9.0002829861111e-01,             17280000
  4.1999986760518e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017648104757e-01,  1.7857183690545e-05,  1.0165637382592e-06,  1.5017648104757e-01,  1.7857183690545e-05,  7.1443484651793e-02,  1.6999564303880e-03,  7.8732996395774e-02,  2.0662755732268e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7423097957415e-03,  8.4826846146053e-06,                 -nan,                 -nan,                 -nan,                 -nan,  1.0654075061000e+01,  9.0255653935185e-01,             17280000
  4.1999999867605e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017865884707e-01,  1.7887480905759e-05,  1.0174257442237e-06,  1.5017865884707e-01,  1.7887480905759e-05,  7.1422236095140e-02,  1.7028177795929e-03,  7.8756422751926e-02,  2.0697560907137e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7452541510752e-03,  8.5388573346641e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.0381829060000e+00,  9.0735752314815e-01,             17280000
  4.1999999998676e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017937614243e-01,  1.7863233762871e-05,  1.0167359312377e-06,  1.5017937614243e-01,  1.7863233762871e-05,  7.1415237554917e-02,  1.7005093186844e-03,  7.8764138587511e-02,  2.0669502079308e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7428882774178e-03,  8.4883758365583e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.9034972710000e+00,  8.9532835648148e-01,             17280000
  4.1999999999987e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017927178864e-01,  1.7851624432139e-05,  1.0164054887694e-06,  1.5017927178864e-01,  1.7851624432139e-05,  7.1416255718751e-02,  1.6994041539578e-03,  7.8763016069893e-02,  2.0656068927265e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7417555716826e-03,  8.4972848278807e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.0813896530000e+00,  8.9547523148148e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017836437197e-01,  1.7872448663945e-05,  1.0169981433650e-06,  1.5017836437197e-01,  1.7872448663945e-05,  7.1425109243880e-02,  1.7013865385725e-03,  7.8753255128087e-02,  2.0680164592318e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7437873599772e-03,  8.5156438415052e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.3968730310000e+00,  8.9932714120370e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017976667787e-01,  1.7867042483466e-05,  1.0168443174554e-06,  1.5017976667787e-01,  1.7867042483466e-05,  7.1411427160647e-02,  1.7008718915383e-03,  7.8768339517219e-02,  2.0673909114723e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7432598872528e-03,  8.4977349753170e-06,                 -nan,                 -nan,                 -nan,                 -nan,  8.9175086600000e+00,  9.1138535879630e-01,             17280000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017267827495e-01,  1.7847121560174e-05,  1.0162772922447e-06,  1.5017267827495e-01,  1.7847121560174e-05,  7.1480587618968e-02,  1.6989754983040e-03,  7.8692090655981e-02,  2.0650858665382e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7413162333701e-03,  8.4982273177982e-06,                 -nan,                 -nan,                 -nan,                 -nan,  9.8623814680000e+00,  9.0780711805556e-01,             17280000
