#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 1.264905586703e-01, 1.170883959136e-02, 3.421818170412e-05, 3.715724065000e+00, 9.424174000000e-01,           10000000
 3.991842708781e+00, 9.980833973627e-01, 5.000000000000e+00, 1.264821127401e-01, 1.067779072005e-02, 3.267688895849e-05, 3.086573522000e+00, 9.364621000000e-01,           10000000
 3.971968465214e+00, 9.934138291676e-01, 5.000000000000e+00, 1.259609028590e-01, 1.170410921292e-02, 3.123047284960e-05, 4.251857789000e+00, 9.356192500000e-01,           12000000
 3.969165311736e+00, 9.927552120844e-01, 5.000000000000e+00, 1.257947863967e-01, 1.172705823117e-02, 3.126107567882e-05, 4.215560600000e+00, 9.357303333333e-01,           12000000
 3.966081842909e+00, 9.920307332928e-01, 5.000000000000e+00, 1.257220388074e-01, 1.555094758038e-02, 3.599878190112e-05, 4.207722894000e+00, 9.448350833333e-01,           12000000
 3.954812753466e+00, 9.893829957085e-01, 5.000000000000e+00, 1.254972841277e-01, 1.514781545613e-02, 3.552911418369e-05, 4.653720694000e+00, 9.416080833333e-01,           12000000
 3.950294028813e+00, 9.883212952794e-01, 5.000000000000e+00, 1.253454364991e-01, 1.496187116685e-02, 3.531037520670e-05, 4.974611537000e+00, 9.410333333333e-01,           12000000
 3.945323431694e+00, 9.871534248073e-01, 5.000000000000e+00, 1.252945755758e-01, 1.712655470535e-02, 3.777847127814e-05, 3.968401474000e+00, 9.432027500000e-01,           12000000
 3.559149285526e+00, 9.646361939447e-01, 5.000000000000e+00, 1.210237182009e-01, 3.632919062710e-02, 5.502210966746e-05, 4.009088631000e+00, 9.374497500000e-01,           12000000
 3.277041568507e+00, 1.003234324669e+00, 5.000000000000e+00, 1.203652873894e-01, 1.871678871402e-02, 3.949344746708e-05, 4.090769425000e+00, 9.358383333333e-01,           12000000
 3.331155980038e+00, 1.019532749368e+00, 5.000000000000e+00, 1.219750224945e-01, 1.311623525813e-02, 3.306084700736e-05, 4.318863347000e+00, 9.416621666667e-01,           12000000
 3.278375627799e+00, 1.003636122717e+00, 5.000000000000e+00, 1.207235128462e-01, 1.939882386861e-02, 4.020657478221e-05, 4.119566287000e+00, 9.400595000000e-01,           12000000
 3.277054909100e+00, 1.003238342650e+00, 5.000000000000e+00, 1.210366015811e-01, 2.161813527132e-02, 4.244421365286e-05, 3.745131821000e+00, 9.428138333333e-01,           12000000
 3.277041701913e+00, 1.003234364849e+00, 5.000000000000e+00, 1.206392877433e-01, 1.983442740371e-02, 4.065549102285e-05, 3.901174484000e+00, 9.388813333333e-01,           12000000
 3.277041569841e+00, 1.003234325071e+00, 5.000000000000e+00, 1.207544450514e-01, 2.074408843079e-02, 4.157732598303e-05, 4.544316290000e+00, 9.395739166667e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.200910544030e-01, 1.723601839200e-02, 3.789900877332e-05, 4.086640570000e+00, 9.334248333333e-01,           12000000
 3.363129825894e+00, 1.002089118003e+00, 5.000000000000e+00, 1.211598664946e-01, 2.026344416869e-02, 4.109282598448e-05, 3.605575079000e+00, 9.381441666667e-01,           12000000
 3.278002156582e+00, 1.003221546254e+00, 5.000000000000e+00, 1.205899781374e-01, 1.958574790727e-02, 4.039982251123e-05, 4.038751862000e+00, 9.378831666667e-01,           12000000
 3.277051174401e+00, 1.003234196889e+00, 5.000000000000e+00, 1.209267525516e-01, 2.115492097011e-02, 4.198702276707e-05, 4.014258655000e+00, 9.410751666667e-01,           12000000
 3.277041664579e+00, 1.003234323395e+00, 5.000000000000e+00, 1.204390786398e-01, 1.874045714070e-02, 3.951841041496e-05, 4.275083100000e+00, 9.377073333333e-01,           12000000
 3.277041569481e+00, 1.003234324660e+00, 5.000000000000e+00, 1.211190335924e-01, 2.342942241513e-02, 4.418655754782e-05, 4.015280746000e+00, 9.426320000000e-01,           12000000
 3.277041568530e+00, 1.003234324673e+00, 5.000000000000e+00, 1.206826257790e-01, 2.007875046881e-02, 4.090512444345e-05, 4.042981241000e+00, 9.386561666667e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.206708141751e-01, 1.999655435005e-02, 4.082131219315e-05, 4.403458504000e+00, 9.401667500000e-01,           12000000
 3.278111184710e+00, 1.010246961761e+00, 5.000000000000e+00, 1.210600406278e-01, 1.679320572765e-02, 3.740900707901e-05, 4.122948063000e+00, 9.394937500000e-01,           12000000
 3.277052264682e+00, 1.003304451044e+00, 5.000000000000e+00, 1.206087236096e-01, 2.018273467527e-02, 4.101090777187e-05, 4.074117044000e+00, 9.395480833333e-01,           12000000
 3.277041675482e+00, 1.003235025937e+00, 5.000000000000e+00, 1.205000995677e-01, 1.950943567710e-02, 4.032104049284e-05, 5.002923870000e+00, 9.383825833333e-01,           12000000
 3.277041569590e+00, 1.003234331686e+00, 5.000000000000e+00, 1.207326373151e-01, 2.012948578403e-02, 4.095677170712e-05, 4.662684367000e+00, 9.400835833333e-01,           12000000
 3.277041568531e+00, 1.003234324743e+00, 5.000000000000e+00, 1.205583899614e-01, 1.908576421091e-02, 3.988082685840e-05, 4.576464153000e+00, 9.382134166667e-01,           12000000
 3.277041568520e+00, 1.003234324674e+00, 5.000000000000e+00, 1.202407839725e-01, 1.774170626154e-02, 3.845094955648e-05, 4.365421146000e+00, 9.354972500000e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.206471686794e-01, 2.007689721959e-02, 4.090323664821e-05, 4.812789688000e+00, 9.383589166667e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.206058294664e-01, 1.955882336707e-02, 4.037204413026e-05, 4.399327419000e+00, 9.391305833333e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.201848782424e-01, 1.778316227183e-02, 3.849584639048e-05, 4.302009875000e+00, 9.352817500000e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.208863607493e-01, 2.202369042517e-02, 4.284048943968e-05, 4.628312256000e+00, 9.397292500000e-01,           12000000
 3.277041568520e+00, 1.003234324673e+00, 5.000000000000e+00, 1.208430661160e-01, 2.086000626412e-02, 4.169333106557e-05, 4.452525707000e+00, 9.409325000000e-01,           12000000
