#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993003479e-01, 1.867752539567e-13, 1.440583423311e-10, 4.439577198000e+00, 9.073986666667e-01,            9000000
 4.000000261767e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992893258e-01, 1.880025659101e-13, 1.445308755595e-10, 4.821785655000e+00, 8.949822222222e-01,            9000000
 4.000000287943e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992971525e-01, 1.831437105530e-13, 1.426509767669e-10, 4.352044777000e+00, 9.022331111111e-01,            9000000
 4.000001352432e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993068108e-01, 1.575875269777e-13, 1.323243183234e-10, 4.169573710000e+00, 8.983058888889e-01,            9000000
 4.000000394392e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993041846e-01, 1.772203138728e-13, 1.403251438120e-10, 4.113037798000e+00, 9.083105555556e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992918802e-01, 1.859818920526e-13, 1.437520597157e-10, 4.230312032000e+00, 8.962831111111e-01,            9000000
 4.000000564815e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992994194e-01, 1.763963623988e-13, 1.399985565000e-10, 4.620076939000e+00, 9.013091111111e-01,            9000000
 4.000000301250e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993034336e-01, 1.794616726843e-13, 1.412097229436e-10, 4.581349510000e+00, 9.080508888889e-01,            9000000
 4.000000298615e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993012935e-01, 1.808276458763e-13, 1.417461133609e-10, 4.308719658000e+00, 9.063086666667e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992950107e-01, 1.837373245075e-13, 1.428819732458e-10, 4.175231235000e+00, 8.997888888889e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993058681e-01, 1.779636782404e-13, 1.406191381950e-10, 4.317994967000e+00, 9.079723333333e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993024282e-01, 1.797127419779e-13, 1.413084655709e-10, 4.818801082000e+00, 9.069303333333e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992948731e-01, 1.846528866432e-13, 1.432375209392e-10, 4.252658972000e+00, 9.011722222222e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499993033356e-01, 1.796796274696e-13, 1.412954459711e-10, 4.185756608000e+00, 9.071764444444e-01,            9000000
 4.000000298588e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499992863382e-01, 1.893288018579e-13, 1.450397653741e-10, 4.340036520000e+00, 8.918283333333e-01,            9000000
