#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  4.7000000000000e+00,  1.1200000000000e+00,  1.0000000000000e+00,  3.4255091551495e-01,  1.4411765029751e-01,  1.3421887455641e-04,  1.7944620550000e+00,  9.0610575000000e-01,              8000000
  5.2000000000000e+00,  1.1200000000000e+00,  1.0000000000000e+00,  3.4434535263990e-01,  1.8618895498873e-01,  1.5255693813652e-04,  1.6410782000000e+00,  9.0425362500000e-01,              8000000
  4.7000000000000e+00,  1.1700000000000e+00,  1.0000000000000e+00,  3.4552368498597e-01,  1.9487867111876e-01,  1.5607637197810e-04,  1.6458383570000e+00,  9.0694100000000e-01,              8000000
  4.7000000000000e+00,  1.1200000000000e+00,  1.0500000000000e+00,  3.4441566275254e-01,  2.3144865825652e-01,  1.7009139390947e-04,  1.6158533370000e+00,  9.0558300000000e-01,              8000000
  5.0333333333333e+00,  1.1533333333333e+00,  9.5000000000000e-01,  3.4526551208575e-01,  1.2144567288651e-01,  1.2321002033444e-04,  1.5945676420000e+00,  9.0289312500000e-01,              8000000
  5.2555555555556e+00,  1.0922222222222e+00,  9.6666666666667e-01,  3.4452828376956e-01,  1.4994744839549e-01,  1.3690665085903e-04,  1.6276296370000e+00,  9.0387725000000e-01,              8000000
  4.7925925925926e+00,  1.1237037037037e+00,  9.4444444444444e-01,  3.4297794173819e-01,  1.1905918550136e-01,  1.2199343501874e-04,  1.6278147350000e+00,  9.0064687500000e-01,              8000000
  4.5888888888889e+00,  1.1255555555556e+00,  9.1666666666667e-01,  3.4535178845206e-01,  8.6045449723833e-02,  1.0370960040169e-04,  1.5775569940000e+00,  9.0164625000000e-01,              8000000
  4.4283950617284e+00,  1.1724691358025e+00,  9.6296296296296e-01,  3.4645211414711e-01,  1.6690779277047e-01,  1.4444194022620e-04,  1.6619465880000e+00,  9.0539075000000e-01,              8000000
  5.0487654320988e+00,  1.1122839506173e+00,  9.6574074074074e-01,  3.4337734568143e-01,  1.4107887127153e-01,  1.3279630608169e-04,  1.7814900770000e+00,  9.0616525000000e-01,              8000000
  4.6609053497942e+00,  1.0839917695473e+00,  9.9012345679012e-01,  3.4208391687276e-01,  2.3964841967184e-01,  1.7307816863770e-04,  1.7170877220000e+00,  9.0616887500000e-01,              8000000
  4.9402263374486e+00,  1.1359979423868e+00,  9.6003086419753e-01,  3.4380009623101e-01,  1.2399109681484e-01,  1.2449452639315e-04,  1.7810568180000e+00,  9.0506812500000e-01,              8000000
  4.5731138545953e+00,  1.1408504801097e+00,  9.7057613168724e-01,  3.4334307988622e-01,  1.4016146614015e-01,  1.3236382915101e-04,  1.7871241120000e+00,  9.0172462500000e-01,              8000000
  4.6920267489712e+00,  1.1337088477366e+00,  9.6936728395062e-01,  3.4258797679456e-01,  1.5173193648951e-01,  1.3771888781568e-04,  1.8437399090000e+00,  9.0500687500000e-01,              8000000
  4.9298525377229e+00,  1.1194255829904e+00,  9.6694958847737e-01,  3.4296670874517e-01,  1.2004139055005e-01,  1.2249560734474e-04,  1.8055525180000e+00,  9.0704262500000e-01,              8000000
  4.6747370827618e+00,  1.1060882487426e+00,  9.8089849108368e-01,  3.4172488041620e-01,  1.7608974678610e-01,  1.4836178196646e-04,  2.2872851330000e+00,  9.0307087500000e-01,              8000000
  4.8738540237769e+00,  1.1285205189758e+00,  9.6524777091907e-01,  3.4327922074343e-01,  1.2932881201335e-01,  1.2714598500019e-04,  2.7457656960000e+00,  9.0696462500000e-01,              8000000
  5.0308661027282e+00,  1.1277665371132e+00,  9.1776120256059e-01,  3.4579271048134e-01,  7.4156927440472e-02,  9.6278844665165e-05,  2.6887674380000e+00,  8.9957625000000e-01,              8000000
