#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  4.3000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.6576061104173e-01,  1.6995743363267e+00,  4.6091950711684e-04,  6.7286382830000e+00,  8.9570787500000e-01,              8000000
  4.3500000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.6389999393462e-01,  1.6112111061282e+00,  4.4877766016818e-04,  6.6420073060000e+00,  9.1081287500000e-01,              8000000
  4.3500000000000e+00,  1.0500000000000e+00,  1.0000000000000e+00,  3.4911484830892e-01,  4.7572538227366e-01,  2.4385584426912e-04,  5.9320938500000e+00,  9.0140325000000e-01,              8000000
  4.3500000000000e+00,  1.0500000000000e+00,  1.0500000000000e+00,  3.4998400988727e-01,  5.0652259949945e-01,  2.5162536624401e-04,  5.3539645860000e+00,  9.0421325000000e-01,              8000000
  4.4000000000000e+00,  1.0666666666667e+00,  1.0333333333333e+00,  3.4657325598896e-01,  3.4628525921100e-01,  2.0805205454735e-04,  5.3706301200000e+00,  9.0642000000000e-01,              8000000
  4.4500000000000e+00,  1.1000000000000e+00,  1.0500000000000e+00,  3.4431064796784e-01,  2.7574534992845e-01,  1.8565604956763e-04,  5.4241498790000e+00,  9.0216950000000e-01,              8000000
  4.4166666666667e+00,  1.1333333333333e+00,  1.0666666666667e+00,  3.4602095342111e-01,  2.2129758360172e-01,  1.6631956574683e-04,  5.5143053050000e+00,  9.0474975000000e-01,              8000000
  4.4500000000000e+00,  1.2000000000000e+00,  1.1000000000000e+00,  3.5364855781722e-01,  2.5231591795955e-01,  1.7759360840116e-04,  5.3381845390000e+00,  9.1262325000000e-01,              8000000
  4.4611111111111e+00,  1.1388888888889e+00,  1.0277777777778e+00,  3.4450662407686e-01,  2.1618922079983e-01,  1.6438872406579e-04,  5.4510557540000e+00,  9.0560062500000e-01,              8000000
  4.5166666666667e+00,  1.1833333333333e+00,  1.0166666666667e+00,  3.4741093935997e-01,  2.3384516154200e-01,  1.7096972010491e-04,  6.9847300580000e+00,  9.1222437500000e-01,              8000000
  4.5351851851852e+00,  1.1981481481481e+00,  1.0962962962963e+00,  3.5268508292925e-01,  3.0619002204856e-01,  1.9563678783928e-04,  5.5145247750000e+00,  9.0173512500000e-01,              8000000
  4.4888888888889e+00,  1.1611111111111e+00,  1.0722222222222e+00,  3.4801160664940e-01,  2.0495893443765e-01,  1.6006207172440e-04,  5.7207713390000e+00,  9.0799287500000e-01,              8000000
  4.3962962962963e+00,  1.0870370370370e+00,  1.0240740740741e+00,  3.4460952157744e-01,  2.2032944285679e-01,  1.6595535651825e-04,  5.7404308290000e+00,  9.0263012500000e-01,              8000000
  4.3993827160494e+00,  1.1395061728395e+00,  1.0290123456790e+00,  3.4521381343281e-01,  1.7625325943991e-01,  1.4843064855342e-04,  5.6014412090000e+00,  9.0192662500000e-01,              8000000
  4.3740740740741e+00,  1.1592592592593e+00,  1.0185185185185e+00,  3.4575631859249e-01,  2.1373595100255e-01,  1.6345333852607e-04,  5.6497024680000e+00,  9.0527512500000e-01,              8000000
  4.4211934156379e+00,  1.1102880658436e+00,  9.8724279835391e-01,  3.4325157784145e-01,  1.7634811260432e-01,  1.4847058319930e-04,  6.6458210310000e+00,  9.1379262500000e-01,              8000000
  4.4234567901235e+00,  1.0987654320988e+00,  9.4753086419753e-01,  3.4365686840196e-01,  1.5248587524938e-01,  1.3806061859260e-04,  8.5942392150000e+00,  8.9130125000000e-01,              8000000
  4.4596707818930e+00,  1.1644032921811e+00,  9.7880658436214e-01,  3.4497940286222e-01,  1.9079327871707e-01,  1.5443173197123e-04,  6.0882930430000e+00,  9.0726775000000e-01,              8000000
  4.3938957475994e+00,  1.1295610425240e+00,  9.4245541838134e-01,  3.4426230324021e-01,  1.3773193767036e-01,  1.3121163137769e-04,  5.5552015050000e+00,  9.0038850000000e-01,              8000000
  4.3602880658436e+00,  1.1248971193416e+00,  8.9979423868313e-01,  3.4881250863212e-01,  8.5986061644418e-02,  1.0367380433626e-04,  5.7173615490000e+00,  9.0430262500000e-01,              8000000
  4.3514860539552e+00,  1.0808184727938e+00,  9.6719250114312e-01,  3.4414795026925e-01,  2.2049243606537e-01,  1.6601672960329e-04,  5.8719856840000e+00,  9.0335000000000e-01,              8000000
  4.4326245999085e+00,  1.1435070873342e+00,  9.7590306355738e-01,  3.4378356078203e-01,  1.6827392078948e-01,  1.4503185890929e-04,  5.9244577790000e+00,  8.9913312500000e-01,              8000000
  4.4339353757049e+00,  1.1083828684652e+00,  8.8158055174516e-01,  3.5129502927768e-01,  8.2234323479940e-02,  1.0138683560992e-04,  5.5579005440000e+00,  9.1131275000000e-01,              8000000
  4.4080208809633e+00,  1.1317253467459e+00,  9.9215439719555e-01,  3.4385984183531e-01,  1.6484393712859e-01,  1.4354613244903e-04,  5.4546914570000e+00,  9.1016962500000e-01,              8000000
  4.3842910125489e+00,  1.0965274602449e+00,  9.4552405629223e-01,  3.4429509736517e-01,  1.7240641914363e-01,  1.4680191549484e-04,  5.5483276820000e+00,  9.0141725000000e-01,              8000000
  4.4205412030686e+00,  1.1317621805619e+00,  9.6830831174110e-01,  3.4369905538007e-01,  1.5431250517420e-01,  1.3888507172038e-04,  5.6129355510000e+00,  9.0676362500000e-01,              8000000
