#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 2.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.688517165669e-01, 6.242909428733e-03, 4.561764800576e-05, 1.650409125000e+00, 9.090846666667e-01,            3000000
 2.079999990339e+00, 0.000000000000e+00, 0.000000000000e+00, 1.650180170506e-01, 5.543342420389e-03, 4.298582099712e-05, 1.594341179000e+00, 9.043896666667e-01,            3000000
 2.159728034505e+00, 0.000000000000e+00, 0.000000000000e+00, 1.618673172074e-01, 4.900006765071e-03, 4.041454674195e-05, 1.402712833000e+00, 9.067293333333e-01,            3000000
 2.238992041623e+00, 0.000000000000e+00, 0.000000000000e+00, 1.595464621364e-01, 4.295544622237e-03, 3.783977018181e-05, 1.398791495000e+00, 9.102023333333e-01,            3000000
 2.317574079096e+00, 0.000000000000e+00, 0.000000000000e+00, 1.561577199699e-01, 3.863671651271e-03, 3.588719201085e-05, 1.411978092000e+00, 9.013236666667e-01,            3000000
 2.395428790432e+00, 0.000000000000e+00, 0.000000000000e+00, 1.542850396639e-01, 3.407995864921e-03, 3.370457864505e-05, 1.376016606000e+00, 9.033480000000e-01,            3000000
 2.472377754017e+00, 0.000000000000e+00, 0.000000000000e+00, 1.542097030671e-01, 2.873700728337e-03, 3.094996353437e-05, 1.413565623000e+00, 9.168006666667e-01,            3000000
 2.548026221580e+00, 0.000000000000e+00, 0.000000000000e+00, 1.516349999038e-01, 2.592476227861e-03, 2.939657705619e-05, 1.465433133000e+00, 9.099300000000e-01,            3000000
 2.622421263394e+00, 0.000000000000e+00, 0.000000000000e+00, 1.488173177607e-01, 2.366851616256e-03, 2.808826336305e-05, 1.575011697000e+00, 8.950850000000e-01,            3000000
 2.695640057660e+00, 0.000000000000e+00, 0.000000000000e+00, 1.492274402990e-01, 1.986493165934e-03, 2.573255503530e-05, 1.848223882000e+00, 9.092396666667e-01,            3000000
 2.767318921001e+00, 0.000000000000e+00, 0.000000000000e+00, 1.481133298620e-01, 1.752949735477e-03, 2.417264111537e-05, 1.616506252000e+00, 9.074306666667e-01,            3000000
 2.837408195151e+00, 0.000000000000e+00, 0.000000000000e+00, 1.475688292756e-01, 1.512523887739e-03, 2.245383328624e-05, 1.735632192000e+00, 9.095990000000e-01,            3000000
 2.905767450002e+00, 0.000000000000e+00, 0.000000000000e+00, 1.468025930062e-01, 1.325696095066e-03, 2.102138668964e-05, 2.069888881000e+00, 9.073246666667e-01,            3000000
 2.972353808202e+00, 0.000000000000e+00, 0.000000000000e+00, 1.464779716324e-01, 1.138539245748e-03, 1.948109550092e-05, 2.416652308000e+00, 9.095070000000e-01,            3000000
 3.037056034021e+00, 0.000000000000e+00, 0.000000000000e+00, 1.456853205595e-01, 1.006583331509e-03, 1.831741731713e-05, 2.901376682000e+00, 9.029416666667e-01,            3000000
 3.099901980321e+00, 0.000000000000e+00, 0.000000000000e+00, 1.457342974539e-01, 8.552408968667e-04, 1.688432109845e-05, 1.916654957000e+00, 9.074020000000e-01,            3000000
 3.160779886730e+00, 0.000000000000e+00, 0.000000000000e+00, 1.451755105459e-01, 7.452952708906e-04, 1.576171808413e-05, 2.113615332000e+00, 8.985653333333e-01,            3000000
 3.219696988852e+00, 0.000000000000e+00, 0.000000000000e+00, 1.454643991187e-01, 6.254228317481e-04, 1.443863834471e-05, 2.502977068000e+00, 9.069370000000e-01,            3000000
 3.276552311756e+00, 0.000000000000e+00, 0.000000000000e+00, 1.450887137425e-01, 5.428430166093e-04, 1.345167915924e-05, 2.807513399000e+00, 8.984520000000e-01,            3000000
 3.331379497541e+00, 0.000000000000e+00, 0.000000000000e+00, 1.452660410547e-01, 4.586485188347e-04, 1.236458004186e-05, 2.037869521000e+00, 9.005643333333e-01,            3000000
 3.384146244341e+00, 0.000000000000e+00, 0.000000000000e+00, 1.458302262900e-01, 3.714983757346e-04, 1.112801832815e-05, 2.203121080000e+00, 9.098776666667e-01,            3000000
 3.434738186523e+00, 0.000000000000e+00, 0.000000000000e+00, 1.458829534295e-01, 3.127172640724e-04, 1.020975455259e-05, 1.879592318000e+00, 9.083720000000e-01,            3000000
 3.483175355803e+00, 0.000000000000e+00, 0.000000000000e+00, 1.458529607082e-01, 2.636937101600e-04, 9.375388172587e-06, 2.206814430000e+00, 9.023826666667e-01,            3000000
