#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.5907022691225e+00,  1.2198653604999e+00,  1.2248838782770e+00,  2.2867505494089e-01,  3.4120866569560e-01,  1.8471834389026e-04,  4.5318540084290e-01,  1.6955026297336e-01,  4.5392841112158e-01,  1.9127567218794e+00, -1.3048590223754e-02, -1.9991573813173e-01,  2.0198004028467e-01, -2.1901061294333e+00,  4.1707421110184e-01, -4.7198926576172e+00,  7.0171617950000e+00,  9.1039930000000e-01,             10000000
  2.5981812308519e+00,  1.2204732975517e+00,  1.2253108584084e+00,  2.2956184548131e-01,  3.1821871856754e-01,  1.7838686010117e-04,  4.5116410045080e-01,  1.6713246785474e-01,  4.5067887497357e-01,  1.8059134834471e+00, -1.3578169023972e-02, -1.6835862150740e-01,  2.0259391236021e-01, -2.0039159337518e+00,  4.0252540866721e-01, -4.0065355778773e+00,  7.7340418870000e+00,  9.1234570000000e-01,             10000000
  2.6056024395138e+00,  1.2207808062071e+00,  1.2254226544485e+00,  2.2929703595536e-01,  3.4505934459460e-01,  1.8575773055101e-04,  4.4981930397300e-01,  1.6738183016006e-01,  4.4998014977912e-01,  1.9110024187599e+00, -1.2668353012551e-02, -1.8778299514083e-01,  2.0551072725727e-01, -2.7708790817153e+00,  4.0940172194921e-01, -4.3175609536217e+00,  6.8131261310000e+00,  9.0648960000000e-01,             10000000
  2.6129809800257e+00,  1.2208980194323e+00,  1.2252561785182e+00,  2.2883919197810e-01,  3.3215134618086e-01,  1.8225019785472e-04,  4.4864516027195e-01,  1.6728895076510e-01,  4.4928108547671e-01,  1.8622350444768e+00, -1.2614988979928e-02, -1.7431946476500e-01,  2.0110690093136e-01, -2.0806442430461e+00,  4.1303247610029e-01, -4.3922796749747e+00,  6.9012964570000e+00,  9.0180000000000e-01,             10000000
  2.6203082612550e+00,  1.2207658178939e+00,  1.2248331465515e+00,  2.2870601688380e-01,  3.4097531147818e-01,  1.8465516821313e-04,  4.4749134764296e-01,  1.6658229306310e-01,  4.4765417358754e-01,  1.8927170731870e+00, -1.2042595870833e-02, -1.7062399399898e-01,  2.0072102787968e-01, -2.1113868233470e+00,  4.1139473650108e-01, -4.8436639629179e+00,  6.8247397710000e+00,  9.0358820000000e-01,             10000000
  2.6275749442046e+00,  1.2204082862267e+00,  1.2242074467266e+00,  2.2854347121492e-01,  3.2434044722235e-01,  1.8009454384360e-04,  4.4537209510700e-01,  1.6517251727621e-01,  4.4556151485715e-01,  1.8346654727310e+00, -1.2144104598842e-02, -1.7880570393163e-01,  1.9922822471236e-01, -2.2253985612232e+00,  4.0227149269231e-01, -4.1490121769345e+00,  6.6262146120000e+00,  9.0347050000000e-01,             10000000
  2.6348084040462e+00,  1.2198606991307e+00,  1.2233573643805e+00,  2.2782015379147e-01,  3.3219381307590e-01,  1.8226184819536e-04,  4.4392417146280e-01,  1.6492914773254e-01,  4.4435365517316e-01,  1.8799236073372e+00, -1.0789042347074e-02, -1.9271472255263e-01,  2.0593066386958e-01, -2.6481968793172e+00,  4.0015211734109e-01, -4.0610797441267e+00,  7.2804434120000e+00,  9.1427370000000e-01,             10000000
  2.6419996521436e+00,  1.2191740808998e+00,  1.2222961308788e+00,  2.2712476858027e-01,  3.1373469821005e-01,  1.7712557641686e-04,  4.4307082568811e-01,  1.6464546812777e-01,  4.4316839355825e-01,  1.8167934314836e+00, -1.0963353387657e-02, -1.6340398674765e-01,  1.9999138150446e-01, -2.1509816724518e+00,  3.9852937326169e-01, -3.8738943408179e+00,  6.6269370860000e+00,  8.9918890000000e-01,             10000000
  2.6491212946344e+00,  1.2183096246974e+00,  1.2210276775221e+00,  2.2687591529874e-01,  2.9265878863336e-01,  1.7107272974772e-04,  4.4063906435688e-01,  1.6284339569294e-01,  4.4053171936959e-01,  1.7373909323725e+00, -1.0192049254248e-02, -1.7001798754369e-01,  1.8909078894660e-01, -1.7203436572690e+00,  3.9329068469193e-01, -3.7887762712788e+00,  6.6801192150000e+00,  9.0786230000000e-01,             10000000
  2.6561728325271e+00,  1.2172524828438e+00,  1.2195683005548e+00,  2.2569659351760e-01,  3.1051011579861e-01,  1.7621297222356e-04,  4.3984428447352e-01,  1.6375586359955e-01,  4.3987932235515e-01,  1.8395712533562e+00, -8.8975204403914e-03, -1.9128379723659e-01,  1.9409619457692e-01, -1.8613384516651e+00,  3.9766645200248e-01, -4.3837791712646e+00,  6.8996323580000e+00,  9.0366640000000e-01,             10000000
