#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.3000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.7649187181484e-01,  1.1692841957328e+01,  1.0813344513761e-03,  4.9369150781336e-01,  2.5737925058610e-01,  4.9378217316234e-01,  2.7864481694507e+00, -1.5696968555103e-01, -7.4000860530153e+00, -1.3362962818220e+00, -8.4114523396312e+01, -2.6667288104526e+00, -1.7531206831025e+02,  8.3964652300000e+00,  9.0101290000000e-01,             10000000
  2.3921901109565e+00,  1.9695348844133e+00,  3.0000000000000e+00,  6.6949715721257e-01,  3.6590413669561e-01,  1.9128620878035e-04,  5.3255820946560e-01,  6.3006468340952e-02,  5.3281689286881e-01,  7.6516078227901e-01, -1.6582320000151e-01, -2.1338132569300e-01,  7.9221800788043e-02, -2.0274105441531e+00,  4.7957910615465e-02, -1.6086049289510e+00,  6.9403440790000e+00,  9.0458430000000e-01,             10000000
  2.4235572519257e+00,  1.9743812262454e+00,  3.0000000000000e+00,  6.6466397581693e-01,  3.4716555029631e-01,  1.8632379083099e-04,  5.2553016345418e-01,  6.1695552770354e-02,  5.2580998001587e-01,  7.3390844404328e-01, -1.6138697647511e-01, -2.0005841891792e-01,  7.1251986217897e-02, -1.8775921523122e+00,  4.9039451286377e-02, -1.4870460523702e+00,  7.8978266680000e+00,  8.9966160000000e-01,             10000000
  2.4743422484744e+00,  1.9822277001545e+00,  3.0000000000000e+00,  6.5720039486772e-01,  3.4495956823290e-01,  1.8573087202533e-04,  5.1434297127555e-01,  6.0031529135765e-02,  5.1434781660930e-01,  7.2522740762191e-01, -1.5281510949693e-01, -2.0316007593443e-01,  7.6911595869531e-02, -2.0794253506244e+00,  4.3788969688412e-02, -1.3808115996223e+00,  7.5918761720000e+00,  9.0759750000000e-01,             10000000
  3.5722334622743e+00,  2.1518560421764e+00,  3.0000000000000e+00,  5.6213309063376e-01,  1.8688265022822e-01,  1.3670502925211e-04,  3.5548082763576e-01,  3.6415813717381e-02,  3.5511918184356e-01,  4.2255945671934e-01, -5.6284987081080e-02, -7.6162304299475e-02,  4.6651711191282e-02, -9.0586907636302e-01,  4.9604963554520e-02, -8.5849668149500e-01,  8.0898909710000e+00,  9.0391400000000e-01,             10000000
  4.1626085261095e+00,  2.2346256103119e+00,  3.0000000000000e+00,  5.3907875222575e-01,  1.5818592785877e-01,  1.2577198728603e-04,  3.0413487312406e-01,  2.9781994477466e-02,  3.0504653145568e-01,  3.5930339175196e-01, -3.1649009050297e-02, -5.7378878745787e-02,  4.9981322442256e-02, -9.6336211048479e-01,  5.1746980208266e-02, -6.5327580362174e-01,  6.7655130510000e+00,  9.0355670000000e-01,             10000000
  4.9516369682901e+00,  2.3421940752821e+00,  3.0000000000000e+00,  5.2745313372346e-01,  1.0971244336059e-01,  1.0474370785903e-04,  2.5451195785913e-01,  2.3083024615974e-02,  2.5425193733116e-01,  2.6259033460859e-01, -1.2037851130803e-02, -3.4020705587829e-02,  3.4472590841915e-02, -4.9665350194123e-01,  5.4204791483026e-02, -5.3794668187084e-01,  7.5942560110000e+00,  9.0579870000000e-01,             10000000
  5.5439212312255e+00,  9.8754984422993e-01,  0.0000000000000e+00,  2.8354879705072e+18,  5.7981572510831e+43,  2.4079363054456e+18,  1.3337211313923e-01,  2.6611476987254e-02,  1.3364306006026e-01,  3.1410595280225e-01, -1.1734149501480e+18, -2.4951551281969e+43,  4.0657227144347e+17,  7.8846958409849e+42,                 -nan,                 -nan,  8.2952853250000e+00,  9.0973980000000e-01,             10000000
  5.2477790997578e+00,  1.6648719597560e+00,  1.5000000000000e+00,  3.6617631243139e-01,  2.0004091985302e-01,  1.4143582285016e-04,  2.1742174805354e-01,  4.7211652287919e-02,  2.1699007428849e-01,  4.9342065703804e-01,  8.0522482108136e-03, -5.5809314232008e-02,  6.6497956263877e-02, -8.8768641232681e-01,  1.6696116080117e-01, -2.1586003622098e+00,  7.8739039070000e+00,  9.0584020000000e-01,             10000000
  5.2425173172586e+00,  1.6427583241085e+00,  1.4409688573093e+00,  3.5363404249892e-01,  2.3191351980515e-01,  1.5228707095652e-04,  2.1599807604702e-01,  4.9413011805271e-02,  2.1592216147746e-01,  5.5450515580156e-01,  1.0191749336313e-02, -5.7198149263927e-02,  7.6912474198455e-02, -1.3460286160931e+00,  1.8331650805713e-01, -2.6050568170960e+00,  6.6785700130000e+00,  9.0174380000000e-01,             10000000
